ROI ID,Total Intensity,Time,Frame Id
1A,4234959,0,t001_0_1
2A,3799295,0,t001_0_1
3A,2992799,0,t001_0_1
4A,2062050,0,t001_0_1
5A,1091093,0,t001_0_1
6A,870074,0,t001_0_1
7A,969405,0,t001_0_1
8A,998118,0,t001_0_1
9A,1070168,0,t001_0_1
10A,1211039,0,t001_0_1
11A,1260137,0,t001_0_1
12A,1275036,0,t001_0_1
13A,1170910,0,t001_0_1
14A,910202,0,t001_0_1
15A,557923,0,t001_0_1
16A,638210,0,t001_0_1
17A,371246,0,t001_0_1
18A,320710,0,t001_0_1
19A,343274,0,t001_0_1
20A,375888,0,t001_0_1
1A,4266384,0.592548,t002_0_1
2A,3747528,0.592548,t002_0_1
3A,2987115,0.592548,t002_0_1
4A,1998966,0.592548,t002_0_1
5A,960874,0.592548,t002_0_1
6A,870322,0.592548,t002_0_1
7A,982822,0.592548,t002_0_1
8A,1009445,0.592548,t002_0_1
9A,1078886,0.592548,t002_0_1
10A,1208559,0.592548,t002_0_1
11A,1259839,0.592548,t002_0_1
12A,1272519,0.592548,t002_0_1
13A,1163361,0.592548,t002_0_1
14A,911250,0.592548,t002_0_1
15A,563683,0.592548,t002_0_1
16A,642663,0.592548,t002_0_1
17A,369479,0.592548,t002_0_1
18A,321009,0.592548,t002_0_1
19A,338913,0.592548,t002_0_1
20A,378809,0.592548,t002_0_1
1A,4287454,1.185096,t003_0_1
2A,3702442,1.185096,t003_0_1
3A,2965291,1.185096,t003_0_1
4A,1714084,1.185096,t003_0_1
5A,896534,1.185096,t003_0_1
6A,898230,1.185096,t003_0_1
7A,966004,1.185096,t003_0_1
8A,991690,1.185096,t003_0_1
9A,1069954,1.185096,t003_0_1
10A,1195026,1.185096,t003_0_1
11A,1254726,1.185096,t003_0_1
12A,1248597,1.185096,t003_0_1
13A,1151503,1.185096,t003_0_1
14A,899156,1.185096,t003_0_1
15A,573008,1.185096,t003_0_1
16A,644891,1.185096,t003_0_1
17A,364895,1.185096,t003_0_1
18A,319818,1.185096,t003_0_1
19A,345289,1.185096,t003_0_1
20A,374800,1.185096,t003_0_1
1A,4314822,1.777644,t004_0_1
2A,3757451,1.777644,t004_0_1
3A,2981847,1.777644,t004_0_1
4A,1403649,1.777644,t004_0_1
5A,883279,1.777644,t004_0_1
6A,956683,1.777644,t004_0_1
7A,975850,1.777644,t004_0_1
8A,997660,1.777644,t004_0_1
9A,1068282,1.777644,t004_0_1
10A,1203409,1.777644,t004_0_1
11A,1240275,1.777644,t004_0_1
12A,1268545,1.777644,t004_0_1
13A,1162746,1.777644,t004_0_1
14A,897429,1.777644,t004_0_1
15A,573904,1.777644,t004_0_1
16A,653502,1.777644,t004_0_1
17A,366281,1.777644,t004_0_1
18A,320759,1.777644,t004_0_1
19A,340750,1.777644,t004_0_1
20A,374087,1.777644,t004_0_1
1A,4350975,2.370192,t005_0_1
2A,3814255,2.370192,t005_0_1
3A,2648193,2.370192,t005_0_1
4A,1272773,2.370192,t005_0_1
5A,905722,2.370192,t005_0_1
6A,996009,2.370192,t005_0_1
7A,978799,2.370192,t005_0_1
8A,995758,2.370192,t005_0_1
9A,1070168,2.370192,t005_0_1
10A,1191108,2.370192,t005_0_1
11A,1254747,2.370192,t005_0_1
12A,1264152,2.370192,t005_0_1
13A,1152855,2.370192,t005_0_1
14A,890206,2.370192,t005_0_1
15A,579803,2.370192,t005_0_1
16A,649054,2.370192,t005_0_1
17A,364515,2.370192,t005_0_1
18A,320607,2.370192,t005_0_1
19A,341745,2.370192,t005_0_1
20A,376840,2.370192,t005_0_1
1A,4389742,2.96274,t006_0_1
2A,3747478,2.96274,t006_0_1
3A,1880485,2.96274,t006_0_1
4A,1217523,2.96274,t006_0_1
5A,925767,2.96274,t006_0_1
6A,1037826,2.96274,t006_0_1
7A,991987,2.96274,t006_0_1
8A,999149,2.96274,t006_0_1
9A,1073491,2.96274,t006_0_1
10A,1202334,2.96274,t006_0_1
11A,1252718,2.96274,t006_0_1
12A,1263403,2.96274,t006_0_1
13A,1154048,2.96274,t006_0_1
14A,898842,2.96274,t006_0_1
15A,587629,2.96274,t006_0_1
16A,651155,2.96274,t006_0_1
17A,363543,2.96274,t006_0_1
18A,318351,2.96274,t006_0_1
19A,341609,2.96274,t006_0_1
20A,378240,2.96274,t006_0_1
1A,4427100,3.555288,t007_0_1
2A,3435226,3.555288,t007_0_1
3A,1493577,3.555288,t007_0_1
4A,1265024,3.555288,t007_0_1
5A,995169,3.555288,t007_0_1
6A,1091738,3.555288,t007_0_1
7A,1013093,3.555288,t007_0_1
8A,1007369,3.555288,t007_0_1
9A,1097623,3.555288,t007_0_1
10A,1207690,3.555288,t007_0_1
11A,1260151,3.555288,t007_0_1
12A,1265491,3.555288,t007_0_1
13A,1153849,3.555288,t007_0_1
14A,906399,3.555288,t007_0_1
15A,590088,3.555288,t007_0_1
16A,650470,3.555288,t007_0_1
17A,365449,3.555288,t007_0_1
18A,319817,3.555288,t007_0_1
19A,337711,3.555288,t007_0_1
20A,376203,3.555288,t007_0_1
1A,4436515,4.147836,t008_0_1
2A,2666680,4.147836,t008_0_1
3A,1349339,4.147836,t008_0_1
4A,1357874,4.147836,t008_0_1
5A,1068206,4.147836,t008_0_1
6A,1146947,4.147836,t008_0_1
7A,1034223,4.147836,t008_0_1
8A,1027938,4.147836,t008_0_1
9A,1109021,4.147836,t008_0_1
10A,1216727,4.147836,t008_0_1
11A,1261272,4.147836,t008_0_1
12A,1241531,4.147836,t008_0_1
13A,1165772,4.147836,t008_0_1
14A,906170,4.147836,t008_0_1
15A,592765,4.147836,t008_0_1
16A,655028,4.147836,t008_0_1
17A,361055,4.147836,t008_0_1
18A,318021,4.147836,t008_0_1
19A,343137,4.147836,t008_0_1
20A,377732,4.147836,t008_0_1
1A,4451229,4.740384,t009_0_1
2A,1964906,4.740384,t009_0_1
3A,1313839,4.740384,t009_0_1
4A,1433257,4.740384,t009_0_1
5A,1129616,4.740384,t009_0_1
6A,1167264,4.740384,t009_0_1
7A,1029334,4.740384,t009_0_1
8A,1031473,4.740384,t009_0_1
9A,1099056,4.740384,t009_0_1
10A,1210315,4.740384,t009_0_1
11A,1222666,4.740384,t009_0_1
12A,1228103,4.740384,t009_0_1
13A,1157115,4.740384,t009_0_1
14A,907965,4.740384,t009_0_1
15A,592287,4.740384,t009_0_1
16A,651293,4.740384,t009_0_1
17A,364940,4.740384,t009_0_1
18A,320873,4.740384,t009_0_1
19A,343247,4.740384,t009_0_1
20A,376867,4.740384,t009_0_1
1A,4331951,5.332932,t010_0_1
2A,1675595,5.332932,t010_0_1
3A,1352919,5.332932,t010_0_1
4A,1501884,5.332932,t010_0_1
5A,1141954,5.332932,t010_0_1
6A,1147049,5.332932,t010_0_1
7A,1005900,5.332932,t010_0_1
8A,1021065,5.332932,t010_0_1
9A,1084155,5.332932,t010_0_1
10A,1183882,5.332932,t010_0_1
11A,1230610,5.332932,t010_0_1
12A,1257734,5.332932,t010_0_1
13A,1150092,5.332932,t010_0_1
14A,897254,5.332932,t010_0_1
15A,591067,5.332932,t010_0_1
16A,658891,5.332932,t010_0_1
17A,364733,5.332932,t010_0_1
18A,319128,5.332932,t010_0_1
19A,340865,5.332932,t010_0_1
20A,375945,5.332932,t010_0_1
1A,3824664,5.92548,t011_0_1
2A,1599191,5.92548,t011_0_1
3A,1451146,5.92548,t011_0_1
4A,1569215,5.92548,t011_0_1
5A,1153981,5.92548,t011_0_1
6A,1139264,5.92548,t011_0_1
7A,964741,5.92548,t011_0_1
8A,1026808,5.92548,t011_0_1
9A,1101123,5.92548,t011_0_1
10A,1196349,5.92548,t011_0_1
11A,1244344,5.92548,t011_0_1
12A,1254311,5.92548,t011_0_1
13A,1139497,5.92548,t011_0_1
14A,886494,5.92548,t011_0_1
15A,589099,5.92548,t011_0_1
16A,656903,5.92548,t011_0_1
17A,359715,5.92548,t011_0_1
18A,318125,5.92548,t011_0_1
19A,341574,5.92548,t011_0_1
20A,375169,5.92548,t011_0_1
1A,3426517,6.518028,t012_0_1
2A,1630063,6.518028,t012_0_1
3A,1587873,6.518028,t012_0_1
4A,1644026,6.518028,t012_0_1
5A,1207364,6.518028,t012_0_1
6A,1178673,6.518028,t012_0_1
7A,911164,6.518028,t012_0_1
8A,1035750,6.518028,t012_0_1
9A,1085623,6.518028,t012_0_1
10A,1205127,6.518028,t012_0_1
11A,1262827,6.518028,t012_0_1
12A,1223218,6.518028,t012_0_1
13A,1167133,6.518028,t012_0_1
14A,891008,6.518028,t012_0_1
15A,576126,6.518028,t012_0_1
16A,650486,6.518028,t012_0_1
17A,364942,6.518028,t012_0_1
18A,317690,6.518028,t012_0_1
19A,339005,6.518028,t012_0_1
20A,374532,6.518028,t012_0_1
1A,2966370,7.110576,t013_0_1
2A,1764203,7.110576,t013_0_1
3A,1719626,7.110576,t013_0_1
4A,1740993,7.110576,t013_0_1
5A,1246759,7.110576,t013_0_1
6A,1189902,7.110576,t013_0_1
7A,809652,7.110576,t013_0_1
8A,1038181,7.110576,t013_0_1
9A,1101275,7.110576,t013_0_1
10A,1194135,7.110576,t013_0_1
11A,1233320,7.110576,t013_0_1
12A,1249128,7.110576,t013_0_1
13A,1129905,7.110576,t013_0_1
14A,877199,7.110576,t013_0_1
15A,573386,7.110576,t013_0_1
16A,649615,7.110576,t013_0_1
17A,360447,7.110576,t013_0_1
18A,320820,7.110576,t013_0_1
19A,342510,7.110576,t013_0_1
20A,375389,7.110576,t013_0_1
1A,2650959,7.703124,t014_0_1
2A,2027108,7.703124,t014_0_1
3A,1909582,7.703124,t014_0_1
4A,1851888,7.703124,t014_0_1
5A,1289575,7.703124,t014_0_1
6A,1185173,7.703124,t014_0_1
7A,738984,7.703124,t014_0_1
8A,1050518,7.703124,t014_0_1
9A,1108416,7.703124,t014_0_1
10A,1187534,7.703124,t014_0_1
11A,1252815,7.703124,t014_0_1
12A,1228683,7.703124,t014_0_1
13A,1138692,7.703124,t014_0_1
14A,891457,7.703124,t014_0_1
15A,586329,7.703124,t014_0_1
16A,651797,7.703124,t014_0_1
17A,359949,7.703124,t014_0_1
18A,318147,7.703124,t014_0_1
19A,340268,7.703124,t014_0_1
20A,374834,7.703124,t014_0_1
1A,2270666,8.295672,t015_0_1
2A,2405402,8.295672,t015_0_1
3A,2131225,8.295672,t015_0_1
4A,1928263,8.295672,t015_0_1
5A,1334174,8.295672,t015_0_1
6A,1164268,8.295672,t015_0_1
7A,705067,8.295672,t015_0_1
8A,1047947,8.295672,t015_0_1
9A,1130155,8.295672,t015_0_1
10A,1203966,8.295672,t015_0_1
11A,1233637,8.295672,t015_0_1
12A,1238149,8.295672,t015_0_1
13A,1135551,8.295672,t015_0_1
14A,881838,8.295672,t015_0_1
15A,591117,8.295672,t015_0_1
16A,639829,8.295672,t015_0_1
17A,360905,8.295672,t015_0_1
18A,318311,8.295672,t015_0_1
19A,340232,8.295672,t015_0_1
20A,376329,8.295672,t015_0_1
1A,2134586,8.88822,t016_0_1
2A,2723745,8.88822,t016_0_1
3A,2322121,8.88822,t016_0_1
4A,2025368,8.88822,t016_0_1
5A,1345322,8.88822,t016_0_1
6A,1105425,8.88822,t016_0_1
7A,683048,8.88822,t016_0_1
8A,1049988,8.88822,t016_0_1
9A,1137339,8.88822,t016_0_1
10A,1194520,8.88822,t016_0_1
11A,1235599,8.88822,t016_0_1
12A,1245457,8.88822,t016_0_1
13A,1136904,8.88822,t016_0_1
14A,873603,8.88822,t016_0_1
15A,581045,8.88822,t016_0_1
16A,637066,8.88822,t016_0_1
17A,361267,8.88822,t016_0_1
18A,318224,8.88822,t016_0_1
19A,342169,8.88822,t016_0_1
20A,373490,8.88822,t016_0_1
1A,2172667,9.480768,t017_0_1
2A,3075893,9.480768,t017_0_1
3A,2505013,9.480768,t017_0_1
4A,2085712,9.480768,t017_0_1
5A,1357871,9.480768,t017_0_1
6A,974985,9.480768,t017_0_1
7A,682828,9.480768,t017_0_1
8A,1063159,9.480768,t017_0_1
9A,1142280,9.480768,t017_0_1
10A,1196264,9.480768,t017_0_1
11A,1249083,9.480768,t017_0_1
12A,1238313,9.480768,t017_0_1
13A,1132701,9.480768,t017_0_1
14A,877262,9.480768,t017_0_1
15A,582381,9.480768,t017_0_1
16A,636671,9.480768,t017_0_1
17A,363418,9.480768,t017_0_1
18A,316060,9.480768,t017_0_1
19A,343767,9.480768,t017_0_1
20A,378084,9.480768,t017_0_1
1A,2222487,10.073316,t018_0_1
2A,3391218,10.073316,t018_0_1
3A,2731336,10.073316,t018_0_1
4A,2218024,10.073316,t018_0_1
5A,1340027,10.073316,t018_0_1
6A,814026,10.073316,t018_0_1
7A,703776,10.073316,t018_0_1
8A,1040600,10.073316,t018_0_1
9A,1162582,10.073316,t018_0_1
10A,1173959,10.073316,t018_0_1
11A,1243443,10.073316,t018_0_1
12A,1232034,10.073316,t018_0_1
13A,1132841,10.073316,t018_0_1
14A,861484,10.073316,t018_0_1
15A,580284,10.073316,t018_0_1
16A,630961,10.073316,t018_0_1
17A,364881,10.073316,t018_0_1
18A,318332,10.073316,t018_0_1
19A,342292,10.073316,t018_0_1
20A,375542,10.073316,t018_0_1
1A,2425687,10.665864,t019_0_1
2A,3663400,10.665864,t019_0_1
3A,2912248,10.665864,t019_0_1
4A,2295343,10.665864,t019_0_1
5A,1336291,10.665864,t019_0_1
6A,746439,10.665864,t019_0_1
7A,714300,10.665864,t019_0_1
8A,1039666,10.665864,t019_0_1
9A,1162238,10.665864,t019_0_1
10A,1177383,10.665864,t019_0_1
11A,1238287,10.665864,t019_0_1
12A,1214578,10.665864,t019_0_1
13A,1134748,10.665864,t019_0_1
14A,864387,10.665864,t019_0_1
15A,575021,10.665864,t019_0_1
16A,629131,10.665864,t019_0_1
17A,362438,10.665864,t019_0_1
18A,318318,10.665864,t019_0_1
19A,341748,10.665864,t019_0_1
20A,376841,10.665864,t019_0_1
1A,2769560,11.258412,t020_0_1
2A,3845702,11.258412,t020_0_1
3A,3079425,11.258412,t020_0_1
4A,2382873,11.258412,t020_0_1
5A,1343189,11.258412,t020_0_1
6A,740740,11.258412,t020_0_1
7A,746987,11.258412,t020_0_1
8A,1040406,11.258412,t020_0_1
9A,1158230,11.258412,t020_0_1
10A,1190435,11.258412,t020_0_1
11A,1249429,11.258412,t020_0_1
12A,1239725,11.258412,t020_0_1
13A,1127454,11.258412,t020_0_1
14A,884568,11.258412,t020_0_1
15A,578267,11.258412,t020_0_1
16A,637788,11.258412,t020_0_1
17A,363856,11.258412,t020_0_1
18A,316575,11.258412,t020_0_1
19A,339371,11.258412,t020_0_1
20A,378274,11.258412,t020_0_1
1A,3173314,11.85096,t021_0_1
2A,3931026,11.85096,t021_0_1
3A,3132792,11.85096,t021_0_1
4A,2408581,11.85096,t021_0_1
5A,1360011,11.85096,t021_0_1
6A,744319,11.85096,t021_0_1
7A,773661,11.85096,t021_0_1
8A,1034735,11.85096,t021_0_1
9A,1157333,11.85096,t021_0_1
10A,1175297,11.85096,t021_0_1
11A,1246603,11.85096,t021_0_1
12A,1235505,11.85096,t021_0_1
13A,1132015,11.85096,t021_0_1
14A,879428,11.85096,t021_0_1
15A,580399,11.85096,t021_0_1
16A,644601,11.85096,t021_0_1
17A,362372,11.85096,t021_0_1
18A,320718,11.85096,t021_0_1
19A,340054,11.85096,t021_0_1
20A,375627,11.85096,t021_0_1
1A,3464223,12.443508,t022_0_1
2A,4004363,12.443508,t022_0_1
3A,3180576,12.443508,t022_0_1
4A,2435307,12.443508,t022_0_1
5A,1355577,12.443508,t022_0_1
6A,755883,12.443508,t022_0_1
7A,792369,12.443508,t022_0_1
8A,1035344,12.443508,t022_0_1
9A,1170484,12.443508,t022_0_1
10A,1159204,12.443508,t022_0_1
11A,1258212,12.443508,t022_0_1
12A,1228616,12.443508,t022_0_1
13A,1144993,12.443508,t022_0_1
