ROI ID,Total Intensity,Time,Frame Id
1A,328926,0,t001_0_1
2A,473315,0,t001_0_1
3A,802982,0,t001_0_1
4A,1538145,0,t001_0_1
5A,1955983,0,t001_0_1
6A,2027545,0,t001_0_1
7A,871857,0,t001_0_1
8A,1257488,0,t001_0_1
9A,1381933,0,t001_0_1
10A,1164518,0,t001_0_1
11A,1693883,0,t001_0_1
12A,2010414,0,t001_0_1
13A,1988175,0,t001_0_1
14A,1910954,0,t001_0_1
15A,1760533,0,t001_0_1
16A,1953369,0,t001_0_1
17A,1836234,0,t001_0_1
18A,1825255,0,t001_0_1
19A,683308,0,t001_0_1
20A,141905,0,t001_0_1
1A,327281,0.6282,t002_0_1
2A,456401,0.6282,t002_0_1
3A,809609,0.6282,t002_0_1
4A,1577970,0.6282,t002_0_1
5A,2026623,0.6282,t002_0_1
6A,2055451,0.6282,t002_0_1
7A,886225,0.6282,t002_0_1
8A,1254506,0.6282,t002_0_1
9A,1379078,0.6282,t002_0_1
10A,1164153,0.6282,t002_0_1
11A,1676928,0.6282,t002_0_1
12A,2008738,0.6282,t002_0_1
13A,1979182,0.6282,t002_0_1
14A,1907726,0.6282,t002_0_1
15A,1747223,0.6282,t002_0_1
16A,1956292,0.6282,t002_0_1
17A,1833221,0.6282,t002_0_1
18A,1831958,0.6282,t002_0_1
19A,704984,0.6282,t002_0_1
20A,141985,0.6282,t002_0_1
1A,327318,1.2564,t003_0_1
2A,446909,1.2564,t003_0_1
3A,833203,1.2564,t003_0_1
4A,1643658,1.2564,t003_0_1
5A,2071648,1.2564,t003_0_1
6A,2119878,1.2564,t003_0_1
7A,931860,1.2564,t003_0_1
8A,1259528,1.2564,t003_0_1
9A,1384925,1.2564,t003_0_1
10A,1163949,1.2564,t003_0_1
11A,1664803,1.2564,t003_0_1
12A,2001152,1.2564,t003_0_1
13A,1975736,1.2564,t003_0_1
14A,1897152,1.2564,t003_0_1
15A,1747301,1.2564,t003_0_1
16A,1948634,1.2564,t003_0_1
17A,1832848,1.2564,t003_0_1
18A,1821766,1.2564,t003_0_1
19A,750086,1.2564,t003_0_1
20A,141333,1.2564,t003_0_1
1A,320265,1.8846,t004_0_1
2A,447072,1.8846,t004_0_1
3A,854250,1.8846,t004_0_1
4A,1685411,1.8846,t004_0_1
5A,2106233,1.8846,t004_0_1
6A,2218723,1.8846,t004_0_1
7A,982108,1.8846,t004_0_1
8A,1268805,1.8846,t004_0_1
9A,1385624,1.8846,t004_0_1
10A,1162024,1.8846,t004_0_1
11A,1672520,1.8846,t004_0_1
12A,2006878,1.8846,t004_0_1
13A,1975887,1.8846,t004_0_1
14A,1894762,1.8846,t004_0_1
15A,1744075,1.8846,t004_0_1
16A,1956122,1.8846,t004_0_1
17A,1826679,1.8846,t004_0_1
18A,1821353,1.8846,t004_0_1
19A,810838,1.8846,t004_0_1
20A,141503,1.8846,t004_0_1
1A,319968,2.5128,t005_0_1
2A,449740,2.5128,t005_0_1
3A,864328,2.5128,t005_0_1
4A,1694369,2.5128,t005_0_1
5A,2130333,2.5128,t005_0_1
6A,2340291,2.5128,t005_0_1
7A,1053506,2.5128,t005_0_1
8A,1256145,2.5128,t005_0_1
9A,1388002,2.5128,t005_0_1
10A,1166174,2.5128,t005_0_1
11A,1656638,2.5128,t005_0_1
12A,1994581,2.5128,t005_0_1
13A,1963845,2.5128,t005_0_1
14A,1893286,2.5128,t005_0_1
15A,1740481,2.5128,t005_0_1
16A,1943375,2.5128,t005_0_1
17A,1822197,2.5128,t005_0_1
18A,1818851,2.5128,t005_0_1
19A,842882,2.5128,t005_0_1
20A,143626,2.5128,t005_0_1
1A,319609,3.141,t006_0_1
2A,458439,3.141,t006_0_1
3A,869422,3.141,t006_0_1
4A,1700035,3.141,t006_0_1
5A,2140902,3.141,t006_0_1
6A,2429306,3.141,t006_0_1
7A,1098336,3.141,t006_0_1
8A,1241590,3.141,t006_0_1
9A,1394314,3.141,t006_0_1
10A,1176103,3.141,t006_0_1
11A,1655875,3.141,t006_0_1
12A,1991700,3.141,t006_0_1
13A,1978154,3.141,t006_0_1
14A,1895714,3.141,t006_0_1
15A,1738653,3.141,t006_0_1
16A,1941397,3.141,t006_0_1
17A,1828612,3.141,t006_0_1
18A,1810112,3.141,t006_0_1
19A,859028,3.141,t006_0_1
20A,141877,3.141,t006_0_1
1A,319138,3.7692,t007_0_1
2A,463604,3.7692,t007_0_1
3A,865927,3.7692,t007_0_1
4A,1705955,3.7692,t007_0_1
5A,2156112,3.7692,t007_0_1
6A,2489876,3.7692,t007_0_1
7A,1124299,3.7692,t007_0_1
8A,1202991,3.7692,t007_0_1
9A,1388554,3.7692,t007_0_1
10A,1189106,3.7692,t007_0_1
11A,1657256,3.7692,t007_0_1
12A,1997439,3.7692,t007_0_1
13A,1974245,3.7692,t007_0_1
14A,1886434,3.7692,t007_0_1
15A,1740932,3.7692,t007_0_1
16A,1940252,3.7692,t007_0_1
17A,1819089,3.7692,t007_0_1
18A,1807854,3.7692,t007_0_1
19A,866721,3.7692,t007_0_1
20A,141619,3.7692,t007_0_1
1A,317978,4.3974,t008_0_1
2A,462556,4.3974,t008_0_1
3A,869954,4.3974,t008_0_1
4A,1721396,4.3974,t008_0_1
5A,2165768,4.3974,t008_0_1
6A,2538802,4.3974,t008_0_1
7A,1164583,4.3974,t008_0_1
8A,1174906,4.3974,t008_0_1
9A,1361466,4.3974,t008_0_1
10A,1213159,4.3974,t008_0_1
11A,1661398,4.3974,t008_0_1
12A,2000836,4.3974,t008_0_1
13A,1972266,4.3974,t008_0_1
14A,1899751,4.3974,t008_0_1
15A,1748761,4.3974,t008_0_1
16A,1944050,4.3974,t008_0_1
