ROI ID,Total Intensity,Time,Frame Id
1A,866547,0,t001_0_1
2A,1000669,0,t001_0_1
3A,1314891,0,t001_0_1
4A,2790270,0,t001_0_1
5A,2945708,0,t001_0_1
6A,2209729,0,t001_0_1
7A,1846190,0,t001_0_1
8A,1659048,0,t001_0_1
9A,1446880,0,t001_0_1
10A,929040,0,t001_0_1
11A,1013495,0,t001_0_1
12A,1247698,0,t001_0_1
13A,884656,0,t001_0_1
14A,756501,0,t001_0_1
15A,808735,0,t001_0_1
16A,587067,0,t001_0_1
17A,482638,0,t001_0_1
18A,675733,0,t001_0_1
19A,682415,0,t001_0_1
20A,262216,0,t001_0_1
1A,868811,0.659448,t002_0_1
2A,1020597,0.659448,t002_0_1
3A,1311395,0.659448,t002_0_1
4A,2801574,0.659448,t002_0_1
5A,2943259,0.659448,t002_0_1
6A,2222517,0.659448,t002_0_1
7A,1860449,0.659448,t002_0_1
8A,1656582,0.659448,t002_0_1
9A,1457275,0.659448,t002_0_1
10A,922818,0.659448,t002_0_1
11A,997284,0.659448,t002_0_1
12A,1254764,0.659448,t002_0_1
13A,904694,0.659448,t002_0_1
14A,758982,0.659448,t002_0_1
15A,811151,0.659448,t002_0_1
16A,586048,0.659448,t002_0_1
17A,480389,0.659448,t002_0_1
18A,682324,0.659448,t002_0_1
19A,689969,0.659448,t002_0_1
20A,261601,0.659448,t002_0_1
1A,887538,1.318896,t003_0_1
2A,1033591,1.318896,t003_0_1
3A,1314573,1.318896,t003_0_1
4A,2805359,1.318896,t003_0_1
5A,2950120,1.318896,t003_0_1
6A,2237114,1.318896,t003_0_1
7A,1860851,1.318896,t003_0_1
8A,1672861,1.318896,t003_0_1
9A,1458931,1.318896,t003_0_1
10A,911579,1.318896,t003_0_1
11A,1010027,1.318896,t003_0_1
12A,1253791,1.318896,t003_0_1
13A,896193,1.318896,t003_0_1
14A,761483,1.318896,t003_0_1
15A,823662,1.318896,t003_0_1
16A,587685,1.318896,t003_0_1
17A,480197,1.318896,t003_0_1
18A,671067,1.318896,t003_0_1
19A,677781,1.318896,t003_0_1
20A,262743,1.318896,t003_0_1
1A,893894,1.978344,t004_0_1
2A,1041380,1.978344,t004_0_1
3A,1296224,1.978344,t004_0_1
4A,2814918,1.978344,t004_0_1
5A,2951147,1.978344,t004_0_1
6A,2234398,1.978344,t004_0_1
7A,1865311,1.978344,t004_0_1
8A,1675635,1.978344,t004_0_1
9A,1442099,1.978344,t004_0_1
10A,914759,1.978344,t004_0_1
11A,989897,1.978344,t004_0_1
12A,1248209,1.978344,t004_0_1
13A,893653,1.978344,t004_0_1
14A,758572,1.978344,t004_0_1
15A,807004,1.978344,t004_0_1
16A,581230,1.978344,t004_0_1
17A,482374,1.978344,t004_0_1
18A,644640,1.978344,t004_0_1
19A,684029,1.978344,t004_0_1
20A,262276,1.978344,t004_0_1
1A,915283,2.637792,t005_0_1
2A,1039303,2.637792,t005_0_1
3A,1259825,2.637792,t005_0_1
4A,2801606,2.637792,t005_0_1
5A,2943018,2.637792,t005_0_1
6A,2238335,2.637792,t005_0_1
7A,1860284,2.637792,t005_0_1
8A,1688354,2.637792,t005_0_1
9A,1441623,2.637792,t005_0_1
10A,916105,2.637792,t005_0_1
11A,1005166,2.637792,t005_0_1
12A,1255131,2.637792,t005_0_1
13A,892067,2.637792,t005_0_1
14A,762546,2.637792,t005_0_1
15A,812780,2.637792,t005_0_1
16A,590121,2.637792,t005_0_1
17A,491732,2.637792,t005_0_1
18A,638164,2.637792,t005_0_1
19A,688023,2.637792,t005_0_1
20A,262994,2.637792,t005_0_1
1A,920190,3.29724,t006_0_1
2A,1045674,3.29724,t006_0_1
3A,1225493,3.29724,t006_0_1
4A,2793837,3.29724,t006_0_1
5A,2945484,3.29724,t006_0_1
6A,2237460,3.29724,t006_0_1
7A,1848434,3.29724,t006_0_1
8A,1687106,3.29724,t006_0_1
9A,1417081,3.29724,t006_0_1
10A,920799,3.29724,t006_0_1
11A,999006,3.29724,t006_0_1
12A,1254959,3.29724,t006_0_1
13A,873762,3.29724,t006_0_1
14A,758598,3.29724,t006_0_1
15A,805539,3.29724,t006_0_1
16A,587599,3.29724,t006_0_1
17A,490422,3.29724,t006_0_1
18A,629859,3.29724,t006_0_1
19A,703369,3.29724,t006_0_1
20A,261758,3.29724,t006_0_1
1A,928230,3.956688,t007_0_1
2A,1049931,3.956688,t007_0_1
3A,1198184,3.956688,t007_0_1
4A,2766345,3.956688,t007_0_1
5A,2940906,3.956688,t007_0_1
6A,2228362,3.956688,t007_0_1
7A,1856944,3.956688,t007_0_1
8A,1689253,3.956688,t007_0_1
9A,1426767,3.956688,t007_0_1
10A,923751,3.956688,t007_0_1
11A,1004206,3.956688,t007_0_1
12A,1245418,3.956688,t007_0_1
13A,887584,3.956688,t007_0_1
14A,748435,3.956688,t007_0_1
15A,810509,3.956688,t007_0_1
16A,586817,3.956688,t007_0_1
17A,492916,3.956688,t007_0_1
18A,622515,3.956688,t007_0_1
19A,701092,3.956688,t007_0_1
20A,261968,3.956688,t007_0_1
1A,939841,4.616136,t008_0_1
2A,1053660,4.616136,t008_0_1
3A,1171230,4.616136,t008_0_1
4A,2724036,4.616136,t008_0_1
5A,2935262,4.616136,t008_0_1
6A,2229110,4.616136,t008_0_1
7A,1824611,4.616136,t008_0_1
8A,1702309,4.616136,t008_0_1
9A,1416401,4.616136,t008_0_1
10A,926427,4.616136,t008_0_1
11A,1003894,4.616136,t008_0_1
12A,1266116,4.616136,t008_0_1
13A,883645,4.616136,t008_0_1
14A,758232,4.616136,t008_0_1
15A,816641,4.616136,t008_0_1
16A,585232,4.616136,t008_0_1
17A,497535,4.616136,t008_0_1
18A,631833,4.616136,t008_0_1
19A,676340,4.616136,t008_0_1
20A,262183,4.616136,t008_0_1
1A,951485,5.275584,t009_0_1
2A,1045395,5.275584,t009_0_1
3A,1146373,5.275584,t009_0_1
4A,2673616,5.275584,t009_0_1
5A,2934111,5.275584,t009_0_1
6A,2240306,5.275584,t009_0_1
7A,1733644,5.275584,t009_0_1
8A,1696994,5.275584,t009_0_1
9A,1406655,5.275584,t009_0_1
10A,922027,5.275584,t009_0_1
11A,1009481,5.275584,t009_0_1
12A,1247860,5.275584,t009_0_1
13A,879179,5.275584,t009_0_1
14A,757138,5.275584,t009_0_1
15A,821082,5.275584,t009_0_1
16A,583189,5.275584,t009_0_1
17A,506804,5.275584,t009_0_1
18A,629733,5.275584,t009_0_1
19A,648023,5.275584,t009_0_1
20A,262882,5.275584,t009_0_1
1A,950079,5.935032,t010_0_1
2A,1056516,5.935032,t010_0_1
3A,1140073,5.935032,t010_0_1
4A,2620368,5.935032,t010_0_1
5A,2930017,5.935032,t010_0_1
6A,2230063,5.935032,t010_0_1
7A,1708155,5.935032,t010_0_1
8A,1694412,5.935032,t010_0_1
9A,1405053,5.935032,t010_0_1
10A,911761,5.935032,t010_0_1
11A,1000454,5.935032,t010_0_1
12A,1245613,5.935032,t010_0_1
13A,879824,5.935032,t010_0_1
14A,751627,5.935032,t010_0_1
15A,814344,5.935032,t010_0_1
16A,575632,5.935032,t010_0_1
17A,501234,5.935032,t010_0_1
18A,630816,5.935032,t010_0_1
19A,617417,5.935032,t010_0_1
20A,261237,5.935032,t010_0_1
1A,962071,6.59448,t011_0_1
2A,1059332,6.59448,t011_0_1
3A,1127704,6.59448,t011_0_1
4A,2539996,6.59448,t011_0_1
5A,2912220,6.59448,t011_0_1
6A,2213287,6.59448,t011_0_1
7A,1678347,6.59448,t011_0_1
8A,1699097,6.59448,t011_0_1
9A,1420298,6.59448,t011_0_1
10A,915891,6.59448,t011_0_1
11A,1006297,6.59448,t011_0_1
12A,1249356,6.59448,t011_0_1
13A,870363,6.59448,t011_0_1
14A,754747,6.59448,t011_0_1
15A,815522,6.59448,t011_0_1
16A,574176,6.59448,t011_0_1
17A,509024,6.59448,t011_0_1
18A,627069,6.59448,t011_0_1
19A,620183,6.59448,t011_0_1
20A,262506,6.59448,t011_0_1
1A,961950,7.253928,t012_0_1
2A,1054106,7.253928,t012_0_1
3A,1123187,7.253928,t012_0_1
4A,2418471,7.253928,t012_0_1
5A,2855203,7.253928,t012_0_1
6A,2177854,7.253928,t012_0_1
7A,1692118,7.253928,t012_0_1
8A,1676554,7.253928,t012_0_1
9A,1389775,7.253928,t012_0_1
10A,917968,7.253928,t012_0_1
11A,1002805,7.253928,t012_0_1
12A,1248457,7.253928,t012_0_1
13A,889247,7.253928,t012_0_1
14A,758697,7.253928,t012_0_1
15A,813617,7.253928,t012_0_1
16A,582903,7.253928,t012_0_1
17A,513967,7.253928,t012_0_1
18A,634278,7.253928,t012_0_1
19A,621673,7.253928,t012_0_1
20A,262641,7.253928,t012_0_1
1A,964122,7.913376,t013_0_1
2A,1069382,7.913376,t013_0_1
3A,1127635,7.913376,t013_0_1
4A,2262974,7.913376,t013_0_1
5A,2794441,7.913376,t013_0_1
6A,2056126,7.913376,t013_0_1
7A,1724719,7.913376,t013_0_1
8A,1656090,7.913376,t013_0_1
9A,1404013,7.913376,t013_0_1
10A,913742,7.913376,t013_0_1
11A,1005822,7.913376,t013_0_1
12A,1239240,7.913376,t013_0_1
13A,882034,7.913376,t013_0_1
14A,757578,7.913376,t013_0_1
15A,804245,7.913376,t013_0_1
16A,574272,7.913376,t013_0_1
17A,513874,7.913376,t013_0_1
18A,628051,7.913376,t013_0_1
19A,617695,7.913376,t013_0_1
20A,262228,7.913376,t013_0_1
1A,969010,8.572824,t014_0_1
2A,1068555,8.572824,t014_0_1
3A,1126200,8.572824,t014_0_1
4A,2071321,8.572824,t014_0_1
5A,2692151,8.572824,t014_0_1
6A,1927142,8.572824,t014_0_1
7A,1725648,8.572824,t014_0_1
8A,1662445,8.572824,t014_0_1
9A,1393939,8.572824,t014_0_1
10A,915673,8.572824,t014_0_1
11A,1012381,8.572824,t014_0_1
12A,1220121,8.572824,t014_0_1
13A,883015,8.572824,t014_0_1
14A,752003,8.572824,t014_0_1
15A,815469,8.572824,t014_0_1
16A,576537,8.572824,t014_0_1
17A,521349,8.572824,t014_0_1
18A,630731,8.572824,t014_0_1
19A,625939,8.572824,t014_0_1
20A,261994,8.572824,t014_0_1
1A,964337,9.232272,t015_0_1
2A,1071458,9.232272,t015_0_1
3A,1140178,9.232272,t015_0_1
4A,1923479,9.232272,t015_0_1
5A,2478248,9.232272,t015_0_1
6A,1810739,9.232272,t015_0_1
7A,1739299,9.232272,t015_0_1
8A,1648262,9.232272,t015_0_1
9A,1388420,9.232272,t015_0_1
10A,895993,9.232272,t015_0_1
11A,1009210,9.232272,t015_0_1
12A,1229500,9.232272,t015_0_1
13A,872816,9.232272,t015_0_1
14A,755521,9.232272,t015_0_1
15A,802327,9.232272,t015_0_1
16A,577877,9.232272,t015_0_1
17A,511874,9.232272,t015_0_1
18A,626670,9.232272,t015_0_1
19A,634773,9.232272,t015_0_1
20A,262887,9.232272,t015_0_1
1A,970366,9.89172,t016_0_1
2A,1084245,9.89172,t016_0_1
3A,1157055,9.89172,t016_0_1
4A,1817052,9.89172,t016_0_1
5A,2154838,9.89172,t016_0_1
6A,1760500,9.89172,t016_0_1
7A,1752734,9.89172,t016_0_1
8A,1657554,9.89172,t016_0_1
9A,1394326,9.89172,t016_0_1
10A,896467,9.89172,t016_0_1
11A,1010585,9.89172,t016_0_1
12A,1238249,9.89172,t016_0_1
13A,867544,9.89172,t016_0_1
14A,751502,9.89172,t016_0_1
15A,809699,9.89172,t016_0_1
16A,579333,9.89172,t016_0_1
17A,513489,9.89172,t016_0_1
18A,631242,9.89172,t016_0_1
19A,641245,9.89172,t016_0_1
20A,262083,9.89172,t016_0_1
1A,980327,10.551168,t017_0_1
2A,1085492,10.551168,t017_0_1
3A,1167520,10.551168,t017_0_1
4A,1755803,10.551168,t017_0_1
5A,1803896,10.551168,t017_0_1
6A,1718040,10.551168,t017_0_1
7A,1750687,10.551168,t017_0_1
8A,1652825,10.551168,t017_0_1
9A,1380555,10.551168,t017_0_1
10A,891887,10.551168,t017_0_1
11A,994635,10.551168,t017_0_1
12A,1226643,10.551168,t017_0_1
13A,872083,10.551168,t017_0_1
14A,750645,10.551168,t017_0_1
15A,794396,10.551168,t017_0_1
16A,575411,10.551168,t017_0_1
17A,510997,10.551168,t017_0_1
18A,622263,10.551168,t017_0_1
19A,624629,10.551168,t017_0_1
20A,262267,10.551168,t017_0_1
1A,986653,11.210616,t018_0_1
2A,1097004,11.210616,t018_0_1
3A,1183726,11.210616,t018_0_1
4A,1695693,11.210616,t018_0_1
5A,1577546,11.210616,t018_0_1
6A,1679812,11.210616,t018_0_1
7A,1764593,11.210616,t018_0_1
8A,1660872,11.210616,t018_0_1
9A,1388293,11.210616,t018_0_1
10A,897117,11.210616,t018_0_1
11A,1012311,11.210616,t018_0_1
12A,1234409,11.210616,t018_0_1
13A,869971,11.210616,t018_0_1
