ROI ID,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Range:CH2,SD:CH2,3SD:CH2,Total Intensity:CH3,Average:CH3,Max Intensity:CH3,Min Intensity:CH3,Range:CH3,SD:CH3,3SD:CH3,Time,Frame Id
1A,672283.000000,401.602748,1234.000000,149.000000,1085.000000,233.139239,699.417718,592932.000000,354.200717,566.000000,213.000000,353.000000,74.935849,224.807547,0.000000,t001_0_1
2A,931026.000000,556.168459,2999.000000,151.000000,2848.000000,394.101636,1182.304908,591630.000000,353.422939,588.000000,122.000000,466.000000,98.894827,296.684480,0.000000,t001_0_1
3A,1745597.000000,1042.770012,3250.000000,148.000000,3102.000000,813.238533,2439.715600,679281.000000,405.783154,577.000000,140.000000,437.000000,82.707219,248.121656,0.000000,t001_0_1
4A,2274358.000000,1358.636798,4095.000000,150.000000,3945.000000,1470.392585,4411.177754,737298.000000,440.440860,592.000000,191.000000,401.000000,91.388417,274.165250,0.000000,t001_0_1
5A,1918538.000000,1146.080048,4095.000000,151.000000,3944.000000,1305.739310,3917.217930,735383.000000,439.296894,603.000000,147.000000,456.000000,109.756174,329.268523,0.000000,t001_0_1
6A,972392.000000,580.879331,3226.000000,149.000000,3077.000000,496.002539,1488.007616,711115.000000,424.799881,604.000000,135.000000,469.000000,139.965045,419.895135,0.000000,t001_0_1
7A,1038336.000000,620.272401,4011.000000,151.000000,3860.000000,601.566522,1804.699567,695887.000000,415.703106,610.000000,114.000000,496.000000,155.440172,466.320517,0.000000,t001_0_1
8A,1123236.000000,670.989247,4068.000000,153.000000,3915.000000,629.210103,1887.630309,618774.000000,369.637993,609.000000,115.000000,494.000000,174.714573,524.143719,0.000000,t001_0_1
9A,1013681.000000,605.544205,4095.000000,153.000000,3942.000000,594.290658,1782.871975,613797.000000,366.664875,606.000000,116.000000,490.000000,164.492836,493.478508,0.000000,t001_0_1
10A,806322.000000,481.673835,4095.000000,151.000000,3944.000000,471.729433,1415.188300,719164.000000,429.608124,610.000000,119.000000,491.000000,157.559977,472.679931,0.000000,t001_0_1
11A,1398697.000000,835.541816,4095.000000,151.000000,3944.000000,896.056913,2688.170739,753988.000000,450.410992,609.000000,127.000000,482.000000,139.794505,419.383516,0.000000,t001_0_1
12A,1352524.000000,807.959379,4095.000000,152.000000,3943.000000,908.147635,2724.442906,737938.000000,440.823178,607.000000,116.000000,491.000000,149.119971,447.359912,0.000000,t001_0_1
13A,1083331.000000,647.151135,3514.000000,152.000000,3362.000000,653.487506,1960.462518,740329.000000,442.251493,606.000000,120.000000,486.000000,145.622302,436.866907,0.000000,t001_0_1
14A,997042.000000,595.604540,3226.000000,151.000000,3075.000000,546.595773,1639.787319,769489.000000,459.670848,608.000000,115.000000,493.000000,142.957203,428.871610,0.000000,t001_0_1
15A,651717.000000,389.317204,2280.000000,151.000000,2129.000000,250.264492,750.793475,718914.000000,429.458781,610.000000,120.000000,490.000000,164.634390,493.903171,0.000000,t001_0_1
16A,611001.000000,364.994624,1389.000000,149.000000,1240.000000,230.686385,692.059156,813446.000000,485.929510,607.000000,121.000000,486.000000,133.497738,400.493215,0.000000,t001_0_1
17A,483349.000000,288.738949,836.000000,151.000000,685.000000,110.857866,332.573599,794411.000000,474.558542,610.000000,125.000000,485.000000,148.518182,445.554546,0.000000,t001_0_1
18A,551545.000000,329.477300,1125.000000,152.000000,973.000000,169.131751,507.395254,852979.000000,509.545400,609.000000,143.000000,466.000000,107.577549,322.732646,0.000000,t001_0_1
19A,559182.000000,334.039427,1102.000000,150.000000,952.000000,155.484842,466.454526,905064.000000,540.659498,603.000000,352.000000,251.000000,51.197989,153.593968,0.000000,t001_0_1
20A,262993.000000,157.104540,228.000000,149.000000,79.000000,9.707943,29.123828,998751.000000,596.625448,612.000000,579.000000,33.000000,4.633662,13.900985,0.000000,t001_0_1
1A,677042.000000,404.445639,1318.000000,149.000000,1169.000000,240.074841,720.224523,590512.000000,352.755078,565.000000,217.000000,348.000000,73.877605,221.632816,0.592548,t002_0_1
2A,990437.000000,591.658901,2617.000000,150.000000,2467.000000,418.645790,1255.937371,587363.000000,350.873955,588.000000,122.000000,466.000000,97.755829,293.267488,0.592548,t002_0_1
3A,1756218.000000,1049.114695,3586.000000,148.000000,3438.000000,819.630536,2458.891609,678761.000000,405.472521,575.000000,143.000000,432.000000,83.704590,251.113769,0.592548,t002_0_1
4A,2309067.000000,1379.370968,4095.000000,150.000000,3945.000000,1493.754252,4481.262757,738244.000000,441.005974,592.000000,187.000000,405.000000,89.753266,269.259797,0.592548,t002_0_1
5A,1920743.000000,1147.397252,4095.000000,150.000000,3945.000000,1307.715524,3923.146572,730883.000000,436.608722,598.000000,148.000000,450.000000,110.339432,331.018295,0.592548,t002_0_1
6A,974333.000000,582.038829,3146.000000,151.000000,2995.000000,505.414709,1516.244126,706758.000000,422.197133,605.000000,134.000000,471.000000,140.341138,421.023414,0.592548,t002_0_1
7A,1056709.000000,631.247909,3946.000000,152.000000,3794.000000,622.165453,1866.496359,692550.000000,413.709677,609.000000,117.000000,492.000000,155.936208,467.808623,0.592548,t002_0_1
8A,1136944.000000,679.178017,4095.000000,151.000000,3944.000000,652.594154,1957.782461,618383.000000,369.404421,610.000000,116.000000,494.000000,174.468401,523.405203,0.592548,t002_0_1
9A,986497.000000,589.305257,4095.000000,151.000000,3944.000000,567.016604,1701.049813,610175.000000,364.501195,608.000000,118.000000,490.000000,165.328532,495.985597,0.592548,t002_0_1
10A,804398.000000,480.524492,4095.000000,152.000000,3943.000000,456.800577,1370.401730,717398.000000,428.553166,608.000000,118.000000,490.000000,157.505680,472.517041,0.592548,t002_0_1
11A,1493931.000000,892.431900,4095.000000,151.000000,3944.000000,968.002064,2904.006193,755009.000000,451.020908,608.000000,127.000000,481.000000,140.221544,420.664632,0.592548,t002_0_1
12A,1369420.000000,818.052569,4095.000000,151.000000,3944.000000,923.548933,2770.646799,736605.000000,440.026882,607.000000,118.000000,489.000000,149.925222,449.775666,0.592548,t002_0_1
13A,1053306.000000,629.215054,3444.000000,152.000000,3292.000000,638.534073,1915.602219,740704.000000,442.475508,607.000000,116.000000,491.000000,146.859415,440.578246,0.592548,t002_0_1
14A,959782.000000,573.346476,2712.000000,150.000000,2562.000000,506.415943,1519.247828,772836.000000,461.670251,609.000000,113.000000,496.000000,143.489991,430.469973,0.592548,t002_0_1
15A,668030.000000,399.062127,2160.000000,151.000000,2009.000000,263.643560,790.930681,718657.000000,429.305257,611.000000,117.000000,494.000000,165.440372,496.321116,0.592548,t002_0_1
16A,611148.000000,365.082437,1520.000000,151.000000,1369.000000,224.309229,672.927686,815464.000000,487.135006,610.000000,116.000000,494.000000,134.035261,402.105784,0.592548,t002_0_1
17A,485838.000000,290.225806,867.000000,150.000000,717.000000,107.868362,323.605085,794123.000000,474.386499,611.000000,122.000000,489.000000,149.578210,448.734630,0.592548,t002_0_1
18A,553367.000000,330.565711,1196.000000,151.000000,1045.000000,166.914735,500.744206,854731.000000,510.591995,610.000000,136.000000,474.000000,107.763509,323.290528,0.592548,t002_0_1
19A,561877.000000,335.649343,1162.000000,151.000000,1011.000000,160.903990,482.711969,906698.000000,541.635603,605.000000,351.000000,254.000000,50.966195,152.898584,0.592548,t002_0_1
20A,262414.000000,156.758662,241.000000,149.000000,92.000000,9.382630,28.147891,997494.000000,595.874552,610.000000,580.000000,30.000000,4.460878,13.382635,0.592548,t002_0_1
1A,702860.000000,419.868578,1468.000000,148.000000,1320.000000,253.880946,761.642838,585537.000000,349.783154,563.000000,217.000000,346.000000,73.357972,220.073916,1.185096,t003_0_1
2A,1049890.000000,627.174432,2483.000000,149.000000,2334.000000,448.960175,1346.880524,582252.000000,347.820789,590.000000,122.000000,468.000000,97.109818,291.329454,1.185096,t003_0_1
3A,1730087.000000,1033.504779,3606.000000,149.000000,3457.000000,805.395562,2416.186686,675103.000000,403.287336,584.000000,141.000000,443.000000,84.290229,252.870688,1.185096,t003_0_1
4A,2351235.000000,1404.560932,4095.000000,150.000000,3945.000000,1516.760906,4550.282719,733868.000000,438.391876,590.000000,191.000000,399.000000,90.280688,270.842065,1.185096,t003_0_1
5A,1925702.000000,1150.359618,4095.000000,150.000000,3945.000000,1307.903705,3923.711115,730466.000000,436.359618,600.000000,144.000000,456.000000,109.345636,328.036907,1.185096,t003_0_1
6A,1000823.000000,597.863202,3437.000000,151.000000,3286.000000,517.404455,1552.213365,705661.000000,421.541816,606.000000,135.000000,471.000000,139.587050,418.761150,1.185096,t003_0_1
7A,1059752.000000,633.065711,4095.000000,152.000000,3943.000000,636.888302,1910.664905,689525.000000,411.902628,606.000000,115.000000,491.000000,154.063729,462.191188,1.185096,t003_0_1
