ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Time,Frame Id
1A,1621606.000000,736.758746,2507.000000,25.000000,2743627.000000,1246.536574,2134.000000,426.000000,0.000000,t001_0_1
2A,1876572.000000,852.599727,2652.000000,25.000000,3195302.000000,1451.750114,2153.000000,553.000000,0.000000,t001_0_1
3A,2668077.000000,1212.211268,4095.000000,23.000000,3504014.000000,1592.009995,2150.000000,911.000000,0.000000,t001_0_1
4A,3548980.000000,1612.439800,4095.000000,27.000000,3349177.000000,1521.661517,2124.000000,741.000000,0.000000,t001_0_1
5A,1915955.000000,870.492958,3853.000000,29.000000,3272936.000000,1487.022263,2138.000000,645.000000,0.000000,t001_0_1
6A,2962710.000000,1346.074512,4095.000000,28.000000,3411081.000000,1549.786915,2101.000000,592.000000,0.000000,t001_0_1
7A,3297919.000000,1498.373012,4073.000000,30.000000,3437856.000000,1561.951840,2072.000000,624.000000,0.000000,t001_0_1
8A,2226687.000000,1011.670604,3004.000000,32.000000,3070850.000000,1395.206724,2025.000000,302.000000,0.000000,t001_0_1
9A,1661180.000000,754.738755,3088.000000,30.000000,3141140.000000,1427.142208,1988.000000,514.000000,0.000000,t001_0_1
10A,1018387.000000,462.692867,2623.000000,34.000000,2868168.000000,1303.120400,1956.000000,342.000000,0.000000,t001_0_1
11A,902439.000000,410.013176,2526.000000,28.000000,3019066.000000,1371.679237,1980.000000,330.000000,0.000000,t001_0_1
12A,604959.000000,274.856429,2213.000000,32.000000,3039579.000000,1380.999091,1984.000000,478.000000,0.000000,t001_0_1
13A,672838.000000,305.696502,1807.000000,37.000000,3017002.000000,1370.741481,2022.000000,289.000000,0.000000,t001_0_1
14A,703599.000000,319.672422,1689.000000,39.000000,2986294.000000,1356.789641,2015.000000,305.000000,0.000000,t001_0_1
15A,777382.000000,353.194911,1835.000000,38.000000,2903806.000000,1319.312131,2036.000000,262.000000,0.000000,t001_0_1
16A,766564.000000,348.279873,1840.000000,46.000000,3086222.000000,1402.190822,2040.000000,287.000000,0.000000,t001_0_1
17A,529328.000000,240.494321,1396.000000,39.000000,3221574.000000,1463.686506,2051.000000,344.000000,0.000000,t001_0_1
18A,394937.000000,179.435257,1201.000000,32.000000,3185371.000000,1447.238074,2061.000000,309.000000,0.000000,t001_0_1
19A,275055.000000,124.968196,2251.000000,29.000000,3348671.000000,1521.431622,2051.000000,371.000000,0.000000,t001_0_1
20A,121168.000000,55.051340,125.000000,26.000000,4401582.000000,1999.810086,2047.000000,1948.000000,0.000000,t001_0_1
1A,1577227.000000,716.595638,2455.000000,24.000000,2721287.000000,1236.386642,2133.000000,426.000000,0.690664,t002_0_1
2A,2058012.000000,935.034984,3106.000000,24.000000,3205199.000000,1456.246706,2148.000000,551.000000,0.690664,t002_0_1
3A,2587396.000000,1175.554748,4095.000000,25.000000,3499847.000000,1590.116765,2149.000000,904.000000,0.690664,t002_0_1
4A,3595578.000000,1633.611086,4095.000000,27.000000,3364843.000000,1528.779191,2133.000000,761.000000,0.690664,t002_0_1
5A,1914830.000000,869.981826,3974.000000,29.000000,3288391.000000,1494.044071,2133.000000,636.000000,0.690664,t002_0_1
6A,2951167.000000,1340.830077,4095.000000,25.000000,3405472.000000,1547.238528,2102.000000,555.000000,0.690664,t002_0_1
7A,3271077.000000,1486.177647,3931.000000,27.000000,3445529.000000,1565.437983,2071.000000,641.000000,0.690664,t002_0_1
8A,2214274.000000,1006.030895,3197.000000,30.000000,3073812.000000,1396.552476,2020.000000,291.000000,0.690664,t002_0_1
9A,1656334.000000,752.537029,3087.000000,29.000000,3141150.000000,1427.146751,1991.000000,499.000000,0.690664,t002_0_1
10A,1021044.000000,463.900045,2617.000000,30.000000,2884552.000000,1310.564289,1952.000000,338.000000,0.690664,t002_0_1
11A,882775.000000,401.079055,2371.000000,30.000000,3015601.000000,1370.104952,1993.000000,321.000000,0.690664,t002_0_1
12A,613249.000000,278.622899,2167.000000,33.000000,3056794.000000,1388.820536,1987.000000,477.000000,0.690664,t002_0_1
13A,678195.000000,308.130395,1761.000000,31.000000,2977442.000000,1352.767833,2014.000000,296.000000,0.690664,t002_0_1
14A,703182.000000,319.482962,1658.000000,36.000000,2984615.000000,1356.026806,2017.000000,303.000000,0.690664,t002_0_1
15A,772915.000000,351.165379,1896.000000,36.000000,2946747.000000,1338.821899,2032.000000,255.000000,0.690664,t002_0_1
16A,763167.000000,346.736483,1941.000000,41.000000,3065569.000000,1392.807360,2045.000000,282.000000,0.690664,t002_0_1
17A,534550.000000,242.866879,1354.000000,38.000000,3228458.000000,1466.814175,2051.000000,352.000000,0.690664,t002_0_1
18A,400431.000000,181.931395,1388.000000,33.000000,3206937.000000,1457.036347,2054.000000,267.000000,0.690664,t002_0_1
19A,275556.000000,125.195820,2451.000000,28.000000,3312911.000000,1505.184462,2049.000000,375.000000,0.690664,t002_0_1
20A,119375.000000,54.236711,119.000000,24.000000,4402683.000000,2000.310313,2052.000000,1952.000000,0.690664,t002_0_1
1A,1599086.000000,726.527033,2515.000000,26.000000,2735135.000000,1242.678328,2141.000000,423.000000,1.381328,t003_0_1
2A,2029983.000000,922.300318,2961.000000,25.000000,3214734.000000,1460.578828,2152.000000,555.000000,1.381328,t003_0_1
3A,2735824.000000,1242.991368,4095.000000,23.000000,3527423.000000,1602.645616,2159.000000,907.000000,1.381328,t003_0_1
4A,3566205.000000,1620.265788,4095.000000,28.000000,3355521.000000,1524.543844,2136.000000,742.000000,1.381328,t003_0_1
5A,1915853.000000,870.446615,3988.000000,28.000000,3288686.000000,1494.178101,2132.000000,652.000000,1.381328,t003_0_1
6A,2959586.000000,1344.655157,4093.000000,27.000000,3425485.000000,1556.331213,2093.000000,599.000000,1.381328,t003_0_1
7A,3299250.000000,1498.977737,3987.000000,30.000000,3460973.000000,1572.454793,2072.000000,649.000000,1.381328,t003_0_1
8A,2219410.000000,1008.364380,3133.000000,33.000000,3052958.000000,1387.077692,2020.000000,298.000000,1.381328,t003_0_1
9A,1666960.000000,757.364834,3034.000000,31.000000,3174343.000000,1442.227624,1985.000000,503.000000,1.381328,t003_0_1
10A,1012539.000000,460.035893,2547.000000,26.000000,2873047.000000,1305.337119,1958.000000,337.000000,1.381328,t003_0_1
11A,892944.000000,405.699228,2505.000000,27.000000,3004863.000000,1365.226261,1980.000000,321.000000,1.381328,t003_0_1
12A,623426.000000,283.246706,2280.000000,34.000000,3033984.000000,1378.457065,1987.000000,481.000000,1.381328,t003_0_1
13A,676827.000000,307.508860,1760.000000,36.000000,2990142.000000,1358.537937,2019.000000,302.000000,1.381328,t003_0_1
14A,704469.000000,320.067697,1822.000000,36.000000,2966120.000000,1347.623807,2015.000000,310.000000,1.381328,t003_0_1
15A,776568.000000,352.825080,1868.000000,45.000000,2891690.000000,1313.807360,2032.000000,258.000000,1.381328,t003_0_1
16A,758963.000000,344.826443,1872.000000,46.000000,3045993.000000,1383.913221,2039.000000,291.000000,1.381328,t003_0_1
