ROI ID,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Total Intensity:CH3,Average:CH3,Max Intensity:CH3,Min Intensity:CH3,Time,Frame Id
1A,2480761.000000,1481.936081,4095.000000,148.000000,616119.000000,368.051971,562.000000,185.000000,0.000000,t001_0_1
2A,2317198.000000,1384.228196,4095.000000,149.000000,644713.000000,385.133214,564.000000,171.000000,0.000000,t001_0_1
3A,1439565.000000,859.955197,4095.000000,150.000000,649345.000000,387.900239,564.000000,162.000000,0.000000,t001_0_1
4A,1082117.000000,646.425926,3833.000000,150.000000,658727.000000,393.504779,564.000000,132.000000,0.000000,t001_0_1
5A,862842.000000,515.437276,2174.000000,150.000000,686328.000000,409.992832,571.000000,143.000000,0.000000,t001_0_1
6A,951611.000000,568.465352,4056.000000,148.000000,696811.000000,416.255078,573.000000,150.000000,0.000000,t001_0_1
7A,1060357.000000,633.427121,2909.000000,149.000000,725455.000000,433.366189,573.000000,125.000000,0.000000,t001_0_1
8A,998256.000000,596.329749,4095.000000,151.000000,681393.000000,407.044803,573.000000,123.000000,0.000000,t001_0_1
9A,1184023.000000,707.301673,4095.000000,150.000000,717090.000000,428.369176,575.000000,122.000000,0.000000,t001_0_1
10A,1520085.000000,908.055556,4095.000000,150.000000,712237.000000,425.470131,577.000000,119.000000,0.000000,t001_0_1
11A,1441386.000000,861.043011,3185.000000,151.000000,717622.000000,428.686977,576.000000,130.000000,0.000000,t001_0_1
12A,1422042.000000,849.487455,3993.000000,151.000000,761021.000000,454.612306,576.000000,131.000000,0.000000,t001_0_1
13A,1631009.000000,974.318399,4095.000000,150.000000,731745.000000,437.123656,579.000000,118.000000,0.000000,t001_0_1
14A,1435067.000000,857.268220,4095.000000,152.000000,756534.000000,451.931900,578.000000,127.000000,0.000000,t001_0_1
15A,1383770.000000,826.624851,4095.000000,156.000000,713756.000000,426.377539,580.000000,115.000000,0.000000,t001_0_1
16A,1308530.000000,781.678614,4095.000000,157.000000,725813.000000,433.580048,582.000000,125.000000,0.000000,t001_0_1
17A,1209846.000000,722.727599,4095.000000,164.000000,826437.000000,493.689964,584.000000,133.000000,0.000000,t001_0_1
18A,951939.000000,568.661290,4095.000000,157.000000,829830.000000,495.716846,581.000000,161.000000,0.000000,t001_0_1
19A,992927.000000,593.146356,3648.000000,152.000000,874456.000000,522.375149,582.000000,175.000000,0.000000,t001_0_1
20A,261688.000000,156.324970,252.000000,147.000000,945057.000000,564.550179,578.000000,548.000000,0.000000,t001_0_1
1A,2468284.000000,1474.482676,4095.000000,147.000000,618228.000000,369.311828,568.000000,190.000000,0.659448,t002_0_1
2A,2322937.000000,1387.656511,4095.000000,150.000000,648356.000000,387.309438,568.000000,169.000000,0.659448,t002_0_1
3A,1454667.000000,868.976703,4095.000000,149.000000,650896.000000,388.826762,564.000000,164.000000,0.659448,t002_0_1
4A,1082983.000000,646.943250,3665.000000,150.000000,661345.000000,395.068698,571.000000,130.000000,0.659448,t002_0_1
5A,863164.000000,515.629630,2423.000000,150.000000,689238.000000,411.731183,578.000000,144.000000,0.659448,t002_0_1
6A,951764.000000,568.556750,3509.000000,149.000000,699277.000000,417.728196,576.000000,149.000000,0.659448,t002_0_1
7A,1074297.000000,641.754480,2996.000000,150.000000,729492.000000,435.777778,576.000000,126.000000,0.659448,t002_0_1
8A,1002272.000000,598.728793,4095.000000,149.000000,684283.000000,408.771207,575.000000,123.000000,0.659448,t002_0_1
9A,1193094.000000,712.720430,4095.000000,150.000000,721499.000000,431.002987,578.000000,118.000000,0.659448,t002_0_1
10A,1516294.000000,905.790920,4095.000000,150.000000,714901.000000,427.061529,577.000000,122.000000,0.659448,t002_0_1
11A,1450503.000000,866.489247,3025.000000,151.000000,719819.000000,429.999403,579.000000,132.000000,0.659448,t002_0_1
12A,1457757.000000,870.822581,4095.000000,153.000000,762958.000000,455.769415,578.000000,131.000000,0.659448,t002_0_1
13A,1647250.000000,984.020311,4095.000000,151.000000,734709.000000,438.894265,579.000000,116.000000,0.659448,t002_0_1
14A,1445741.000000,863.644564,4095.000000,159.000000,758463.000000,453.084229,581.000000,124.000000,0.659448,t002_0_1
15A,1383567.000000,826.503584,4095.000000,154.000000,716905.000000,428.258662,582.000000,110.000000,0.659448,t002_0_1
16A,1319832.000000,788.430108,4095.000000,152.000000,727538.000000,434.610514,580.000000,125.000000,0.659448,t002_0_1
17A,1211498.000000,723.714456,4095.000000,164.000000,828694.000000,495.038232,588.000000,136.000000,0.659448,t002_0_1
18A,953675.000000,569.698327,4095.000000,163.000000,831691.000000,496.828554,582.000000,154.000000,0.659448,t002_0_1
19A,1013929.000000,605.692354,4095.000000,152.000000,875526.000000,523.014337,581.000000,183.000000,0.659448,t002_0_1
20A,261156.000000,156.007168,257.000000,148.000000,947176.000000,565.816010,578.000000,549.000000,0.659448,t002_0_1
1A,2467943.000000,1474.278973,4095.000000,149.000000,618824.000000,369.667861,566.000000,194.000000,1.318896,t003_0_1
2A,2308143.000000,1378.818996,4095.000000,149.000000,648741.000000,387.539427,572.000000,168.000000,1.318896,t003_0_1
3A,1463595.000000,874.310036,4093.000000,148.000000,650510.000000,388.596177,566.000000,164.000000,1.318896,t003_0_1
4A,1076957.000000,643.343489,3534.000000,151.000000,660570.000000,394.605735,567.000000,135.000000,1.318896,t003_0_1
5A,854210.000000,510.280765,2488.000000,150.000000,689607.000000,411.951613,575.000000,143.000000,1.318896,t003_0_1
6A,955501.000000,570.789128,3969.000000,149.000000,697910.000000,416.911589,577.000000,147.000000,1.318896,t003_0_1
7A,1065731.000000,636.637395,3114.000000,150.000000,729790.000000,435.955795,577.000000,126.000000,1.318896,t003_0_1
8A,998068.000000,596.217443,4095.000000,149.000000,684818.000000,409.090800,576.000000,123.000000,1.318896,t003_0_1
9A,1192787.000000,712.537037,4095.000000,150.000000,721875.000000,431.227599,578.000000,120.000000,1.318896,t003_0_1
10A,1521229.000000,908.738949,4095.000000,151.000000,716174.000000,427.821983,579.000000,122.000000,1.318896,t003_0_1
11A,1450585.000000,866.538232,3657.000000,149.000000,720288.000000,430.279570,577.000000,128.000000,1.318896,t003_0_1
12A,1438264.000000,859.178017,4007.000000,151.000000,762289.000000,455.369773,581.000000,128.000000,1.318896,t003_0_1
13A,1635095.000000,976.759259,4095.000000,154.000000,733863.000000,438.388889,581.000000,118.000000,1.318896,t003_0_1
14A,1452098.000000,867.442055,4095.000000,155.000000,759996.000000,454.000000,583.000000,123.000000,1.318896,t003_0_1
15A,1375872.000000,821.906810,4095.000000,156.000000,716112.000000,427.784946,580.000000,111.000000,1.318896,t003_0_1
16A,1304286.000000,779.143369,4095.000000,158.000000,727860.000000,434.802867,584.000000,126.000000,1.318896,t003_0_1
17A,1221257.000000,729.544205,4095.000000,179.000000,828526.000000,494.937873,583.000000,129.000000,1.318896,t003_0_1
18A,968085.000000,578.306452,4095.000000,157.000000,830626.000000,496.192354,581.000000,158.000000,1.318896,t003_0_1
19A,1016261.000000,607.085424,4095.000000,153.000000,875701.000000,523.118877,580.000000,185.000000,1.318896,t003_0_1
20A,260631.000000,155.693548,224.000000,145.000000,946156.000000,565.206691,578.000000,550.000000,1.318896,t003_0_1
1A,2466653.000000,1473.508363,4095.000000,149.000000,617003.000000,368.580048,563.000000,194.000000,1.978344,t004_0_1
2A,2311659.000000,1380.919355,4095.000000,150.000000,644929.000000,385.262246,564.000000,164.000000,1.978344,t004_0_1
3A,1483615.000000,886.269415,4095.000000,150.000000,646775.000000,386.364994,562.000000,167.000000,1.978344,t004_0_1
4A,1083387.000000,647.184588,4090.000000,150.000000,657071.000000,392.515532,570.000000,135.000000,1.978344,t004_0_1
5A,854811.000000,510.639785,2521.000000,150.000000,686472.000000,410.078853,572.000000,141.000000,1.978344,t004_0_1
6A,936420.000000,559.390681,3800.000000,149.000000,693059.000000,414.013740,572.000000,143.000000,1.978344,t004_0_1
7A,1049493.000000,626.937276,3024.000000,150.000000,725334.000000,433.293907,576.000000,123.000000,1.978344,t004_0_1
8A,976474.000000,583.317802,4095.000000,148.000000,682193.000000,407.522700,576.000000,118.000000,1.978344,t004_0_1
9A,1175728.000000,702.346476,4095.000000,149.000000,717902.000000,428.854241,578.000000,123.000000,1.978344,t004_0_1
10A,1519520.000000,907.718041,4095.000000,150.000000,713332.000000,426.124253,577.000000,115.000000,1.978344,t004_0_1
11A,1446260.000000,863.954600,3282.000000,151.000000,718119.000000,428.983871,576.000000,128.000000,1.978344,t004_0_1
12A,1432888.000000,855.966547,4095.000000,152.000000,760249.000000,454.151135,579.000000,127.000000,1.978344,t004_0_1
13A,1647661.000000,984.265830,4095.000000,153.000000,732366.000000,437.494624,581.000000,118.000000,1.978344,t004_0_1
14A,1439492.000000,859.911589,4095.000000,166.000000,758285.000000,452.977897,580.000000,124.000000,1.978344,t004_0_1
15A,1382640.000000,825.949821,4095.000000,152.000000,715170.000000,427.222222,582.000000,114.000000,1.978344,t004_0_1
16A,1314563.000000,785.282557,4095.000000,164.000000,725691.000000,433.507168,580.000000,128.000000,1.978344,t004_0_1
17A,1223574.000000,730.928315,4095.000000,171.000000,826993.000000,494.022103,583.000000,130.000000,1.978344,t004_0_1
18A,965007.000000,576.467742,4095.000000,178.000000,829706.000000,495.642772,582.000000,151.000000,1.978344,t004_0_1
19A,1028904.000000,614.637993,4095.000000,152.000000,876022.000000,523.310633,579.000000,182.000000,1.978344,t004_0_1
20A,261916.000000,156.461171,243.000000,149.000000,945342.000000,564.720430,579.000000,550.000000,1.978344,t004_0_1
