ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,454817.000000,1886766.000000,0.000000,t001_0_1
2A,550428.000000,2015435.000000,0.000000,t001_0_1
3A,902090.000000,2530945.000000,0.000000,t001_0_1
4A,867616.000000,2793484.000000,0.000000,t001_0_1
5A,646411.000000,2778313.000000,0.000000,t001_0_1
6A,520985.000000,2576367.000000,0.000000,t001_0_1
7A,458767.000000,2648188.000000,0.000000,t001_0_1
8A,622244.000000,2686213.000000,0.000000,t001_0_1
9A,822575.000000,2672299.000000,0.000000,t001_0_1
10A,735937.000000,2654575.000000,0.000000,t001_0_1
11A,988393.000000,2773812.000000,0.000000,t001_0_1
12A,1238248.000000,2656381.000000,0.000000,t001_0_1
13A,1398402.000000,2679741.000000,0.000000,t001_0_1
14A,838271.000000,2826430.000000,0.000000,t001_0_1
15A,1041809.000000,2733231.000000,0.000000,t001_0_1
16A,316314.000000,2874758.000000,0.000000,t001_0_1
17A,204917.000000,3007104.000000,0.000000,t001_0_1
18A,164393.000000,3363794.000000,0.000000,t001_0_1
19A,100316.000000,3658787.000000,0.000000,t001_0_1
20A,56275.000000,3857421.000000,0.000000,t001_0_1
1A,490750.000000,1885560.000000,0.709320,t002_0_1
2A,561916.000000,2026478.000000,0.709320,t002_0_1
3A,894621.000000,2540212.000000,0.709320,t002_0_1
4A,852622.000000,2783252.000000,0.709320,t002_0_1
5A,615773.000000,2789387.000000,0.709320,t002_0_1
6A,535364.000000,2591330.000000,0.709320,t002_0_1
7A,450976.000000,2664149.000000,0.709320,t002_0_1
8A,632009.000000,2681151.000000,0.709320,t002_0_1
9A,828236.000000,2684091.000000,0.709320,t002_0_1
10A,754502.000000,2660066.000000,0.709320,t002_0_1
11A,1007762.000000,2771073.000000,0.709320,t002_0_1
12A,1241598.000000,2660210.000000,0.709320,t002_0_1
13A,1393920.000000,2681170.000000,0.709320,t002_0_1
14A,861039.000000,2844738.000000,0.709320,t002_0_1
15A,1013282.000000,2745507.000000,0.709320,t002_0_1
16A,335910.000000,2861475.000000,0.709320,t002_0_1
17A,214058.000000,3021925.000000,0.709320,t002_0_1
18A,159511.000000,3371812.000000,0.709320,t002_0_1
19A,100032.000000,3664279.000000,0.709320,t002_0_1
20A,56371.000000,3864665.000000,0.709320,t002_0_1
1A,538795.000000,1874051.000000,1.418640,t003_0_1
2A,575381.000000,2037457.000000,1.418640,t003_0_1
3A,880051.000000,2516488.000000,1.418640,t003_0_1
4A,849074.000000,2787726.000000,1.418640,t003_0_1
5A,600770.000000,2791324.000000,1.418640,t003_0_1
6A,531543.000000,2607045.000000,1.418640,t003_0_1
7A,444919.000000,2662685.000000,1.418640,t003_0_1
8A,638972.000000,2685790.000000,1.418640,t003_0_1
9A,834428.000000,2673315.000000,1.418640,t003_0_1
10A,761151.000000,2658309.000000,1.418640,t003_0_1
11A,1016695.000000,2775819.000000,1.418640,t003_0_1
12A,1236719.000000,2665212.000000,1.418640,t003_0_1
13A,1404928.000000,2691833.000000,1.418640,t003_0_1
14A,876540.000000,2876372.000000,1.418640,t003_0_1
15A,989855.000000,2761763.000000,1.418640,t003_0_1
16A,362845.000000,2866602.000000,1.418640,t003_0_1
17A,214349.000000,3025252.000000,1.418640,t003_0_1
18A,159273.000000,3378727.000000,1.418640,t003_0_1
19A,100406.000000,3670717.000000,1.418640,t003_0_1
20A,56146.000000,3851669.000000,1.418640,t003_0_1
1A,597764.000000,1862978.000000,2.127960,t004_0_1
2A,587190.000000,2028584.000000,2.127960,t004_0_1
3A,865246.000000,2523798.000000,2.127960,t004_0_1
4A,845244.000000,2798151.000000,2.127960,t004_0_1
5A,603650.000000,2793938.000000,2.127960,t004_0_1
6A,541613.000000,2595176.000000,2.127960,t004_0_1
7A,444911.000000,2669621.000000,2.127960,t004_0_1
8A,634579.000000,2680757.000000,2.127960,t004_0_1
9A,842392.000000,2682738.000000,2.127960,t004_0_1
10A,760895.000000,2659736.000000,2.127960,t004_0_1
11A,1016366.000000,2775626.000000,2.127960,t004_0_1
12A,1241109.000000,2668872.000000,2.127960,t004_0_1
13A,1388902.000000,2692135.000000,2.127960,t004_0_1
14A,890507.000000,2888739.000000,2.127960,t004_0_1
15A,996313.000000,2770333.000000,2.127960,t004_0_1
16A,379930.000000,2866300.000000,2.127960,t004_0_1
17A,206772.000000,3020439.000000,2.127960,t004_0_1
18A,161828.000000,3376030.000000,2.127960,t004_0_1
19A,96029.000000,3666187.000000,2.127960,t004_0_1
20A,56426.000000,3866172.000000,2.127960,t004_0_1
1A,640657.000000,1852605.000000,2.837280,t005_0_1
2A,593910.000000,2041146.000000,2.837280,t005_0_1
3A,832241.000000,2515459.000000,2.837280,t005_0_1
4A,810152.000000,2777106.000000,2.837280,t005_0_1
5A,600024.000000,2770859.000000,2.837280,t005_0_1
6A,520470.000000,2579555.000000,2.837280,t005_0_1
7A,432584.000000,2659392.000000,2.837280,t005_0_1
8A,629393.000000,2680594.000000,2.837280,t005_0_1
9A,847985.000000,2681655.000000,2.837280,t005_0_1
10A,746580.000000,2655741.000000,2.837280,t005_0_1
11A,1008257.000000,2768666.000000,2.837280,t005_0_1
12A,1225265.000000,2671680.000000,2.837280,t005_0_1
13A,1343917.000000,2684474.000000,2.837280,t005_0_1
14A,907458.000000,2891236.000000,2.837280,t005_0_1
15A,996037.000000,2772601.000000,2.837280,t005_0_1
16A,386174.000000,2855325.000000,2.837280,t005_0_1
17A,221583.000000,3009419.000000,2.837280,t005_0_1
18A,158828.000000,3373463.000000,2.837280,t005_0_1
19A,95986.000000,3665400.000000,2.837280,t005_0_1
20A,56286.000000,3852875.000000,2.837280,t005_0_1
1A,693796.000000,1839584.000000,3.546600,t006_0_1
2A,600738.000000,2028569.000000,3.546600,t006_0_1
3A,837212.000000,2510629.000000,3.546600,t006_0_1
4A,734206.000000,2786320.000000,3.546600,t006_0_1
5A,601935.000000,2792288.000000,3.546600,t006_0_1
6A,525461.000000,2564502.000000,3.546600,t006_0_1
7A,425976.000000,2681905.000000,3.546600,t006_0_1
8A,640789.000000,2676341.000000,3.546600,t006_0_1
9A,830321.000000,2686875.000000,3.546600,t006_0_1
10A,769899.000000,2652473.000000,3.546600,t006_0_1
11A,1011181.000000,2756522.000000,3.546600,t006_0_1
12A,1230407.000000,2658214.000000,3.546600,t006_0_1
13A,1304370.000000,2693423.000000,3.546600,t006_0_1
14A,906673.000000,2893040.000000,3.546600,t006_0_1
15A,984880.000000,2777752.000000,3.546600,t006_0_1
16A,395601.000000,2846293.000000,3.546600,t006_0_1
17A,216642.000000,3006825.000000,3.546600,t006_0_1
18A,160484.000000,3386650.000000,3.546600,t006_0_1
19A,100873.000000,3662747.000000,3.546600,t006_0_1
20A,56220.000000,3855518.000000,3.546600,t006_0_1
1A,726501.000000,1835064.000000,4.255920,t007_0_1
2A,610217.000000,2017439.000000,4.255920,t007_0_1
3A,810053.000000,2514581.000000,4.255920,t007_0_1
