ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,769064.000000,1367276.000000,0.000000,t001_0_1
2A,530123.000000,1782052.000000,0.000000,t001_0_1
3A,464729.000000,1934269.000000,0.000000,t001_0_1
4A,518255.000000,2377904.000000,0.000000,t001_0_1
5A,337546.000000,2689265.000000,0.000000,t001_0_1
6A,563546.000000,2779471.000000,0.000000,t001_0_1
7A,903907.000000,2480694.000000,0.000000,t001_0_1
8A,420166.000000,2761177.000000,0.000000,t001_0_1
9A,814088.000000,2904121.000000,0.000000,t001_0_1
10A,694358.000000,2805268.000000,0.000000,t001_0_1
11A,1001173.000000,2585431.000000,0.000000,t001_0_1
12A,920441.000000,3011506.000000,0.000000,t001_0_1
13A,1009060.000000,2823482.000000,0.000000,t001_0_1
14A,856137.000000,2966871.000000,0.000000,t001_0_1
15A,456095.000000,2961388.000000,0.000000,t001_0_1
16A,329028.000000,3105727.000000,0.000000,t001_0_1
17A,214142.000000,3054894.000000,0.000000,t001_0_1
18A,307101.000000,3167365.000000,0.000000,t001_0_1
19A,473936.000000,3303196.000000,0.000000,t001_0_1
20A,58628.000000,3947775.000000,0.000000,t001_0_1
1A,778740.000000,1364986.000000,0.737748,t002_0_1
2A,546348.000000,1793924.000000,0.737748,t002_0_1
3A,466206.000000,1925339.000000,0.737748,t002_0_1
4A,524908.000000,2381794.000000,0.737748,t002_0_1
5A,335949.000000,2684198.000000,0.737748,t002_0_1
6A,558158.000000,2770832.000000,0.737748,t002_0_1
7A,878678.000000,2475746.000000,0.737748,t002_0_1
8A,411008.000000,2755993.000000,0.737748,t002_0_1
9A,812175.000000,2902960.000000,0.737748,t002_0_1
10A,697058.000000,2797824.000000,0.737748,t002_0_1
11A,1010606.000000,2569906.000000,0.737748,t002_0_1
12A,896596.000000,3005915.000000,0.737748,t002_0_1
13A,979586.000000,2820469.000000,0.737748,t002_0_1
14A,841859.000000,2958301.000000,0.737748,t002_0_1
15A,480751.000000,2943327.000000,0.737748,t002_0_1
16A,321956.000000,3075932.000000,0.737748,t002_0_1
17A,216032.000000,3043616.000000,0.737748,t002_0_1
18A,305415.000000,3158399.000000,0.737748,t002_0_1
19A,463488.000000,3294963.000000,0.737748,t002_0_1
20A,58037.000000,3956586.000000,0.737748,t002_0_1
1A,766307.000000,1367748.000000,1.475496,t003_0_1
2A,546474.000000,1786902.000000,1.475496,t003_0_1
3A,462551.000000,1931854.000000,1.475496,t003_0_1
4A,525426.000000,2380174.000000,1.475496,t003_0_1
5A,346928.000000,2683439.000000,1.475496,t003_0_1
6A,553242.000000,2773171.000000,1.475496,t003_0_1
7A,880345.000000,2477601.000000,1.475496,t003_0_1
8A,412156.000000,2754060.000000,1.475496,t003_0_1
9A,808479.000000,2904297.000000,1.475496,t003_0_1
10A,705019.000000,2800885.000000,1.475496,t003_0_1
11A,1010567.000000,2578904.000000,1.475496,t003_0_1
12A,884617.000000,3009257.000000,1.475496,t003_0_1
13A,964765.000000,2827250.000000,1.475496,t003_0_1
14A,867746.000000,2956653.000000,1.475496,t003_0_1
15A,498812.000000,2937493.000000,1.475496,t003_0_1
16A,326431.000000,3082660.000000,1.475496,t003_0_1
17A,212074.000000,3046603.000000,1.475496,t003_0_1
18A,306164.000000,3161298.000000,1.475496,t003_0_1
19A,467347.000000,3297724.000000,1.475496,t003_0_1
20A,58057.000000,3951696.000000,1.475496,t003_0_1
1A,767824.000000,1370065.000000,2.213244,t004_0_1
2A,536677.000000,1789424.000000,2.213244,t004_0_1
3A,463816.000000,1943224.000000,2.213244,t004_0_1
4A,515804.000000,2385629.000000,2.213244,t004_0_1
5A,347260.000000,2685666.000000,2.213244,t004_0_1
6A,544724.000000,2780750.000000,2.213244,t004_0_1
7A,856264.000000,2482580.000000,2.213244,t004_0_1
8A,403263.000000,2752090.000000,2.213244,t004_0_1
9A,818834.000000,2906075.000000,2.213244,t004_0_1
10A,713302.000000,2804620.000000,2.213244,t004_0_1
11A,1015932.000000,2580479.000000,2.213244,t004_0_1
12A,880857.000000,3016673.000000,2.213244,t004_0_1
13A,930472.000000,2829370.000000,2.213244,t004_0_1
14A,862786.000000,2956569.000000,2.213244,t004_0_1
15A,524303.000000,2937031.000000,2.213244,t004_0_1
16A,328139.000000,3100007.000000,2.213244,t004_0_1
17A,210357.000000,3051095.000000,2.213244,t004_0_1
18A,309188.000000,3166362.000000,2.213244,t004_0_1
19A,473521.000000,3301696.000000,2.213244,t004_0_1
20A,58621.000000,3956003.000000,2.213244,t004_0_1
1A,775893.000000,1366668.000000,2.950992,t005_0_1
2A,529708.000000,1799158.000000,2.950992,t005_0_1
3A,465876.000000,1942823.000000,2.950992,t005_0_1
4A,513222.000000,2387910.000000,2.950992,t005_0_1
5A,347017.000000,2675391.000000,2.950992,t005_0_1
6A,546133.000000,2775545.000000,2.950992,t005_0_1
7A,842277.000000,2479791.000000,2.950992,t005_0_1
8A,393921.000000,2748075.000000,2.950992,t005_0_1
9A,813831.000000,2900296.000000,2.950992,t005_0_1
10A,706172.000000,2789224.000000,2.950992,t005_0_1
11A,1021690.000000,2571871.000000,2.950992,t005_0_1
12A,859976.000000,3010634.000000,2.950992,t005_0_1
13A,946836.000000,2818135.000000,2.950992,t005_0_1
14A,877266.000000,2948490.000000,2.950992,t005_0_1
15A,525650.000000,2931163.000000,2.950992,t005_0_1
16A,330772.000000,3099260.000000,2.950992,t005_0_1
17A,211534.000000,3046054.000000,2.950992,t005_0_1
18A,306042.000000,3161795.000000,2.950992,t005_0_1
19A,461922.000000,3298559.000000,2.950992,t005_0_1
20A,58808.000000,3956349.000000,2.950992,t005_0_1
1A,753987.000000,1361484.000000,3.688740,t006_0_1
2A,535976.000000,1779944.000000,3.688740,t006_0_1
3A,471733.000000,1920297.000000,3.688740,t006_0_1
4A,506422.000000,2371423.000000,3.688740,t006_0_1
5A,348518.000000,2654986.000000,3.688740,t006_0_1
6A,531714.000000,2754598.000000,3.688740,t006_0_1
7A,816465.000000,2460485.000000,3.688740,t006_0_1
8A,391093.000000,2727390.000000,3.688740,t006_0_1
9A,810685.000000,2878743.000000,3.688740,t006_0_1
