ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,2066501.000000,2285264.000000,0.000000,t001_0_1
2A,2454110.000000,2448551.000000,0.000000,t001_0_1
3A,2804800.000000,2663260.000000,0.000000,t001_0_1
4A,2188828.000000,2796592.000000,0.000000,t001_0_1
5A,1430303.000000,2946339.000000,0.000000,t001_0_1
6A,381025.000000,2959956.000000,0.000000,t001_0_1
7A,361181.000000,2905399.000000,0.000000,t001_0_1
8A,433261.000000,2938189.000000,0.000000,t001_0_1
9A,411719.000000,3098828.000000,0.000000,t001_0_1
10A,1414532.000000,3000352.000000,0.000000,t001_0_1
11A,2433484.000000,3193142.000000,0.000000,t001_0_1
12A,2115898.000000,3051500.000000,0.000000,t001_0_1
13A,2037174.000000,3231215.000000,0.000000,t001_0_1
14A,1717929.000000,3272466.000000,0.000000,t001_0_1
15A,1956962.000000,3328283.000000,0.000000,t001_0_1
16A,710650.000000,3413631.000000,0.000000,t001_0_1
17A,724661.000000,3408835.000000,0.000000,t001_0_1
18A,1108907.000000,3646900.000000,0.000000,t001_0_1
19A,1038413.000000,3822633.000000,0.000000,t001_0_1
20A,61331.000000,3927089.000000,0.000000,t001_0_1
1A,2063814.000000,2285610.000000,0.731676,t002_0_1
2A,2461239.000000,2451628.000000,0.731676,t002_0_1
3A,2825749.000000,2669944.000000,0.731676,t002_0_1
4A,2266606.000000,2802934.000000,0.731676,t002_0_1
5A,1605937.000000,2956363.000000,0.731676,t002_0_1
6A,356252.000000,2958278.000000,0.731676,t002_0_1
7A,384664.000000,2911308.000000,0.731676,t002_0_1
8A,416099.000000,2947090.000000,0.731676,t002_0_1
9A,407678.000000,3108340.000000,0.731676,t002_0_1
10A,1440478.000000,3009896.000000,0.731676,t002_0_1
11A,2458374.000000,3205307.000000,0.731676,t002_0_1
12A,2099373.000000,3058586.000000,0.731676,t002_0_1
13A,2014676.000000,3237914.000000,0.731676,t002_0_1
14A,1737461.000000,3268379.000000,0.731676,t002_0_1
15A,1941377.000000,3329722.000000,0.731676,t002_0_1
16A,732341.000000,3397140.000000,0.731676,t002_0_1
17A,719642.000000,3417706.000000,0.731676,t002_0_1
18A,1100373.000000,3650977.000000,0.731676,t002_0_1
19A,1031715.000000,3829724.000000,0.731676,t002_0_1
20A,60243.000000,3932645.000000,0.731676,t002_0_1
1A,2035929.000000,2268322.000000,1.463352,t003_0_1
2A,2440627.000000,2429880.000000,1.463352,t003_0_1
3A,2823854.000000,2656692.000000,1.463352,t003_0_1
4A,2305640.000000,2775972.000000,1.463352,t003_0_1
5A,1711525.000000,2927472.000000,1.463352,t003_0_1
6A,337096.000000,2969687.000000,1.463352,t003_0_1
7A,412274.000000,2893273.000000,1.463352,t003_0_1
8A,410996.000000,2974082.000000,1.463352,t003_0_1
9A,413658.000000,3100125.000000,1.463352,t003_0_1
10A,1420123.000000,3006028.000000,1.463352,t003_0_1
11A,2445565.000000,3197383.000000,1.463352,t003_0_1
12A,2116385.000000,3052463.000000,1.463352,t003_0_1
13A,2016641.000000,3229761.000000,1.463352,t003_0_1
14A,1721433.000000,3271369.000000,1.463352,t003_0_1
15A,1947640.000000,3310828.000000,1.463352,t003_0_1
16A,729330.000000,3408896.000000,1.463352,t003_0_1
17A,722128.000000,3417291.000000,1.463352,t003_0_1
18A,1092220.000000,3635765.000000,1.463352,t003_0_1
19A,985283.000000,3820383.000000,1.463352,t003_0_1
20A,61257.000000,3929818.000000,1.463352,t003_0_1
1A,2058473.000000,2277594.000000,2.195028,t004_0_1
2A,2461877.000000,2434007.000000,2.195028,t004_0_1
3A,2820754.000000,2667533.000000,2.195028,t004_0_1
4A,2319350.000000,2774544.000000,2.195028,t004_0_1
5A,1797806.000000,2939191.000000,2.195028,t004_0_1
6A,325214.000000,2986094.000000,2.195028,t004_0_1
7A,437899.000000,2898183.000000,2.195028,t004_0_1
8A,403923.000000,2988377.000000,2.195028,t004_0_1
9A,405243.000000,3102232.000000,2.195028,t004_0_1
10A,1438313.000000,3004346.000000,2.195028,t004_0_1
11A,2435009.000000,3198275.000000,2.195028,t004_0_1
12A,2111461.000000,3052385.000000,2.195028,t004_0_1
13A,1982696.000000,3207677.000000,2.195028,t004_0_1
14A,1710293.000000,3273081.000000,2.195028,t004_0_1
15A,1946982.000000,3312792.000000,2.195028,t004_0_1
16A,728996.000000,3419454.000000,2.195028,t004_0_1
17A,744853.000000,3418570.000000,2.195028,t004_0_1
18A,1089571.000000,3640654.000000,2.195028,t004_0_1
19A,957201.000000,3824791.000000,2.195028,t004_0_1
20A,62006.000000,3936955.000000,2.195028,t004_0_1
1A,2045492.000000,2282004.000000,2.926704,t005_0_1
2A,2480955.000000,2440472.000000,2.926704,t005_0_1
3A,2827498.000000,2672777.000000,2.926704,t005_0_1
4A,2331818.000000,2793321.000000,2.926704,t005_0_1
