ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,868060.000000,2319936.000000,0.000000,t001_0_1
2A,1152159.000000,2463661.000000,0.000000,t001_0_1
3A,1659887.000000,2609076.000000,0.000000,t001_0_1
4A,1462196.000000,2867141.000000,0.000000,t001_0_1
5A,1127699.000000,2749877.000000,0.000000,t001_0_1
6A,556316.000000,2520615.000000,0.000000,t001_0_1
7A,358252.000000,2674309.000000,0.000000,t001_0_1
8A,156841.000000,2888996.000000,0.000000,t001_0_1
9A,369633.000000,2743596.000000,0.000000,t001_0_1
10A,284285.000000,2860441.000000,0.000000,t001_0_1
11A,494107.000000,2807153.000000,0.000000,t001_0_1
12A,1545641.000000,2678393.000000,0.000000,t001_0_1
13A,1890371.000000,2873803.000000,0.000000,t001_0_1
14A,2001057.000000,2768616.000000,0.000000,t001_0_1
15A,1715210.000000,3049052.000000,0.000000,t001_0_1
16A,1675676.000000,2892627.000000,0.000000,t001_0_1
17A,1686941.000000,2972080.000000,0.000000,t001_0_1
18A,2089059.000000,3279885.000000,0.000000,t001_0_1
19A,459467.000000,3714901.000000,0.000000,t001_0_1
20A,56836.000000,3883999.000000,0.000000,t001_0_1
1A,861420.000000,2293727.000000,0.739152,t002_0_1
2A,1148519.000000,2460012.000000,0.739152,t002_0_1
3A,1646937.000000,2569806.000000,0.739152,t002_0_1
4A,1461251.000000,2848984.000000,0.739152,t002_0_1
5A,1141534.000000,2765485.000000,0.739152,t002_0_1
6A,566506.000000,2541390.000000,0.739152,t002_0_1
7A,357980.000000,2677950.000000,0.739152,t002_0_1
8A,157176.000000,2876698.000000,0.739152,t002_0_1
9A,365071.000000,2765682.000000,0.739152,t002_0_1
10A,284752.000000,2865723.000000,0.739152,t002_0_1
11A,492984.000000,2778575.000000,0.739152,t002_0_1
12A,1549667.000000,2690602.000000,0.739152,t002_0_1
13A,1905000.000000,2879885.000000,0.739152,t002_0_1
14A,1994054.000000,2772353.000000,0.739152,t002_0_1
15A,1719050.000000,3059804.000000,0.739152,t002_0_1
16A,1691078.000000,2910481.000000,0.739152,t002_0_1
17A,1700195.000000,2976463.000000,0.739152,t002_0_1
18A,2097309.000000,3304164.000000,0.739152,t002_0_1
19A,398689.000000,3735074.000000,0.739152,t002_0_1
20A,56877.000000,3871608.000000,0.739152,t002_0_1
1A,857258.000000,2308576.000000,1.478304,t003_0_1
2A,1162919.000000,2455884.000000,1.478304,t003_0_1
3A,1663293.000000,2578011.000000,1.478304,t003_0_1
4A,1460707.000000,2845482.000000,1.478304,t003_0_1
5A,1143002.000000,2751725.000000,1.478304,t003_0_1
6A,562582.000000,2523031.000000,1.478304,t003_0_1
7A,362864.000000,2676311.000000,1.478304,t003_0_1
8A,157740.000000,2866306.000000,1.478304,t003_0_1
9A,365737.000000,2734857.000000,1.478304,t003_0_1
10A,283974.000000,2858378.000000,1.478304,t003_0_1
11A,483950.000000,2772626.000000,1.478304,t003_0_1
12A,1526964.000000,2678015.000000,1.478304,t003_0_1
13A,1890960.000000,2863155.000000,1.478304,t003_0_1
14A,1996042.000000,2767439.000000,1.478304,t003_0_1
15A,1726829.000000,3048318.000000,1.478304,t003_0_1
16A,1688928.000000,2896931.000000,1.478304,t003_0_1
17A,1691651.000000,2972400.000000,1.478304,t003_0_1
18A,2089067.000000,3295113.000000,1.478304,t003_0_1
19A,413277.000000,3727210.000000,1.478304,t003_0_1
20A,57722.000000,3862312.000000,1.478304,t003_0_1
1A,861064.000000,2281043.000000,2.217456,t004_0_1
2A,1147421.000000,2460947.000000,2.217456,t004_0_1
3A,1687336.000000,2583385.000000,2.217456,t004_0_1
4A,1472077.000000,2836695.000000,2.217456,t004_0_1
5A,1147141.000000,2724901.000000,2.217456,t004_0_1
6A,558255.000000,2518299.000000,2.217456,t004_0_1
7A,369710.000000,2645360.000000,2.217456,t004_0_1
8A,152602.000000,2862181.000000,2.217456,t004_0_1
9A,359173.000000,2737194.000000,2.217456,t004_0_1
10A,286987.000000,2853661.000000,2.217456,t004_0_1
11A,459425.000000,2795759.000000,2.217456,t004_0_1
12A,1528331.000000,2673050.000000,2.217456,t004_0_1
13A,1896181.000000,2867933.000000,2.217456,t004_0_1
14A,1989913.000000,2768464.000000,2.217456,t004_0_1
15A,1721749.000000,3025984.000000,2.217456,t004_0_1
16A,1677124.000000,2892751.000000,2.217456,t004_0_1
17A,1675116.000000,2970621.000000,2.217456,t004_0_1
18A,2076978.000000,3289777.000000,2.217456,t004_0_1
19A,466195.000000,3715672.000000,2.217456,t004_0_1
20A,57194.000000,3868247.000000,2.217456,t004_0_1
1A,855063.000000,2300710.000000,2.956608,t005_0_1
2A,1152507.000000,2450537.000000,2.956608,t005_0_1
3A,1664099.000000,2579852.000000,2.956608,t005_0_1
4A,1488647.000000,2850501.000000,2.956608,t005_0_1
5A,1169084.000000,2768516.000000,2.956608,t005_0_1
6A,567465.000000,2521483.000000,2.956608,t005_0_1
7A,350988.000000,2638819.000000,2.956608,t005_0_1
8A,152964.000000,2871181.000000,2.956608,t005_0_1
9A,372787.000000,2746727.000000,2.956608,t005_0_1
10A,289655.000000,2839238.000000,2.956608,t005_0_1
11A,448875.000000,2787253.000000,2.956608,t005_0_1
12A,1523215.000000,2674038.000000,2.956608,t005_0_1
13A,1910088.000000,2861074.000000,2.956608,t005_0_1
14A,1999051.000000,2767679.000000,2.956608,t005_0_1
15A,1710149.000000,3043416.000000,2.956608,t005_0_1
16A,1668593.000000,2898641.000000,2.956608,t005_0_1
17A,1652296.000000,2961439.000000,2.956608,t005_0_1
18A,2067498.000000,3281516.000000,2.956608,t005_0_1
19A,626325.000000,3710758.000000,2.956608,t005_0_1
20A,56474.000000,3863110.000000,2.956608,t005_0_1
1A,856570.000000,2306184.000000,3.695760,t006_0_1
2A,1153518.000000,2466383.000000,3.695760,t006_0_1
3A,1674342.000000,2571157.000000,3.695760,t006_0_1
4A,1486450.000000,2846475.000000,3.695760,t006_0_1
5A,1167125.000000,2739925.000000,3.695760,t006_0_1
6A,570392.000000,2524774.000000,3.695760,t006_0_1
7A,339842.000000,2681360.000000,3.695760,t006_0_1
8A,152908.000000,2849870.000000,3.695760,t006_0_1
9A,369535.000000,2748092.000000,3.695760,t006_0_1
10A,283873.000000,2838017.000000,3.695760,t006_0_1
11A,434999.000000,2788372.000000,3.695760,t006_0_1
12A,1522837.000000,2665214.000000,3.695760,t006_0_1
13A,1893422.000000,2862672.000000,3.695760,t006_0_1
14A,1985560.000000,2762686.000000,3.695760,t006_0_1
15A,1722250.000000,3025354.000000,3.695760,t006_0_1
16A,1662357.000000,2885863.000000,3.695760,t006_0_1
17A,1645849.000000,2965746.000000,3.695760,t006_0_1
18A,2053312.000000,3274378.000000,3.695760,t006_0_1
19A,691018.000000,3694640.000000,3.695760,t006_0_1
20A,57471.000000,3869427.000000,3.695760,t006_0_1
1A,854041.000000,2295801.000000,4.434912,t007_0_1
2A,1146012.000000,2449788.000000,4.434912,t007_0_1
3A,1675647.000000,2561590.000000,4.434912,t007_0_1
4A,1487418.000000,2848314.000000,4.434912,t007_0_1
5A,1164253.000000,2728998.000000,4.434912,t007_0_1
6A,565500.000000,2534673.000000,4.434912,t007_0_1
7A,328185.000000,2644367.000000,4.434912,t007_0_1
8A,150866.000000,2837788.000000,4.434912,t007_0_1
9A,367365.000000,2732684.000000,4.434912,t007_0_1
10A,284258.000000,2836708.000000,4.434912,t007_0_1
11A,436611.000000,2805330.000000,4.434912,t007_0_1
12A,1516423.000000,2661252.000000,4.434912,t007_0_1
13A,1905046.000000,2857147.000000,4.434912,t007_0_1
14A,1998476.000000,2752789.000000,4.434912,t007_0_1
15A,1720982.000000,3040149.000000,4.434912,t007_0_1
16A,1665260.000000,2882399.000000,4.434912,t007_0_1
17A,1643580.000000,2962371.000000,4.434912,t007_0_1
