ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,1255931.000000,2307757.000000,0.000000,t001_0_1
2A,1397864.000000,2618855.000000,0.000000,t001_0_1
3A,1691761.000000,2757811.000000,0.000000,t001_0_1
4A,1642164.000000,2632742.000000,0.000000,t001_0_1
5A,1630639.000000,2863517.000000,0.000000,t001_0_1
6A,1342512.000000,2907685.000000,0.000000,t001_0_1
7A,1119931.000000,2925259.000000,0.000000,t001_0_1
8A,537724.000000,2942773.000000,0.000000,t001_0_1
9A,809660.000000,3105706.000000,0.000000,t001_0_1
10A,1066495.000000,2861811.000000,0.000000,t001_0_1
11A,2025894.000000,2861750.000000,0.000000,t001_0_1
12A,2069737.000000,2967980.000000,0.000000,t001_0_1
13A,2259957.000000,2894910.000000,0.000000,t001_0_1
14A,2111942.000000,3165884.000000,0.000000,t001_0_1
15A,1759102.000000,3242184.000000,0.000000,t001_0_1
16A,1390615.000000,3299287.000000,0.000000,t001_0_1
17A,1284040.000000,3298050.000000,0.000000,t001_0_1
18A,1044922.000000,3076284.000000,0.000000,t001_0_1
19A,512382.000000,3696352.000000,0.000000,t001_0_1
20A,60077.000000,3880269.000000,0.000000,t001_0_1
1A,1266140.000000,2292156.000000,0.742284,t002_0_1
2A,1437244.000000,2600117.000000,0.742284,t002_0_1
3A,1439574.000000,2772366.000000,0.742284,t002_0_1
4A,1660408.000000,2609619.000000,0.742284,t002_0_1
5A,1650657.000000,2888046.000000,0.742284,t002_0_1
6A,1348846.000000,2892141.000000,0.742284,t002_0_1
7A,1131134.000000,2914274.000000,0.742284,t002_0_1
8A,547971.000000,2942528.000000,0.742284,t002_0_1
9A,819313.000000,3086864.000000,0.742284,t002_0_1
10A,1065446.000000,2855386.000000,0.742284,t002_0_1
11A,2009731.000000,2847784.000000,0.742284,t002_0_1
12A,2060531.000000,2958894.000000,0.742284,t002_0_1
13A,2238410.000000,2891572.000000,0.742284,t002_0_1
14A,2079066.000000,3158273.000000,0.742284,t002_0_1
15A,1730567.000000,3240561.000000,0.742284,t002_0_1
16A,1351981.000000,3286178.000000,0.742284,t002_0_1
17A,1273846.000000,3300906.000000,0.742284,t002_0_1
18A,1056274.000000,3076425.000000,0.742284,t002_0_1
19A,523875.000000,3692482.000000,0.742284,t002_0_1
20A,60560.000000,3875879.000000,0.742284,t002_0_1
1A,1290749.000000,2297859.000000,1.484568,t003_0_1
2A,1464668.000000,2595816.000000,1.484568,t003_0_1
3A,1190661.000000,2751486.000000,1.484568,t003_0_1
4A,1720554.000000,2614484.000000,1.484568,t003_0_1
5A,1697481.000000,2901060.000000,1.484568,t003_0_1
6A,1389404.000000,2905978.000000,1.484568,t003_0_1
7A,1129579.000000,2927672.000000,1.484568,t003_0_1
8A,552071.000000,2923227.000000,1.484568,t003_0_1
9A,809226.000000,3090648.000000,1.484568,t003_0_1
10A,1096736.000000,2864711.000000,1.484568,t003_0_1
11A,2006078.000000,2857750.000000,1.484568,t003_0_1
12A,2055644.000000,2961352.000000,1.484568,t003_0_1
13A,2243889.000000,2892055.000000,1.484568,t003_0_1
14A,2097597.000000,3168447.000000,1.484568,t003_0_1
15A,1749465.000000,3242055.000000,1.484568,t003_0_1
16A,1348677.000000,3284481.000000,1.484568,t003_0_1
17A,1253068.000000,3287750.000000,1.484568,t003_0_1
18A,1045191.000000,3077234.000000,1.484568,t003_0_1
19A,545188.000000,3690958.000000,1.484568,t003_0_1
20A,59164.000000,3885444.000000,1.484568,t003_0_1
1A,1290312.000000,2279028.000000,2.226852,t004_0_1
2A,1436942.000000,2598162.000000,2.226852,t004_0_1
3A,1048856.000000,2767442.000000,2.226852,t004_0_1
4A,1781474.000000,2634897.000000,2.226852,t004_0_1
5A,1742362.000000,2905265.000000,2.226852,t004_0_1
6A,1417824.000000,2902434.000000,2.226852,t004_0_1
7A,1140016.000000,2919596.000000,2.226852,t004_0_1
8A,562105.000000,2925777.000000,2.226852,t004_0_1
9A,823202.000000,3094558.000000,2.226852,t004_0_1
10A,1103503.000000,2858569.000000,2.226852,t004_0_1
11A,2037593.000000,2849750.000000,2.226852,t004_0_1
12A,2038703.000000,2952067.000000,2.226852,t004_0_1
13A,2268122.000000,2902391.000000,2.226852,t004_0_1
14A,2088047.000000,3171572.000000,2.226852,t004_0_1
15A,1761771.000000,3237945.000000,2.226852,t004_0_1
16A,1364909.000000,3279484.000000,2.226852,t004_0_1
17A,1253300.000000,3303185.000000,2.226852,t004_0_1
18A,1038383.000000,3075041.000000,2.226852,t004_0_1
19A,549614.000000,3702733.000000,2.226852,t004_0_1
20A,59686.000000,3886192.000000,2.226852,t004_0_1
1A,1298913.000000,2294461.000000,2.969136,t005_0_1
2A,1394003.000000,2586526.000000,2.969136,t005_0_1
3A,1028804.000000,2734866.000000,2.969136,t005_0_1
4A,1785170.000000,2629603.000000,2.969136,t005_0_1
5A,1756469.000000,2910391.000000,2.969136,t005_0_1
6A,1444809.000000,2900017.000000,2.969136,t005_0_1
7A,1143866.000000,2889607.000000,2.969136,t005_0_1
8A,570139.000000,2929944.000000,2.969136,t005_0_1
9A,822061.000000,3046441.000000,2.969136,t005_0_1
10A,1125197.000000,2842860.000000,2.969136,t005_0_1
11A,2037082.000000,2839519.000000,2.969136,t005_0_1
12A,2009341.000000,2956214.000000,2.969136,t005_0_1
13A,2232343.000000,2892210.000000,2.969136,t005_0_1
14A,2108842.000000,3158849.000000,2.969136,t005_0_1
15A,1764524.000000,3230954.000000,2.969136,t005_0_1
16A,1360022.000000,3287857.000000,2.969136,t005_0_1
17A,1253284.000000,3286056.000000,2.969136,t005_0_1
18A,1021944.000000,3064060.000000,2.969136,t005_0_1
19A,583010.000000,3687426.000000,2.969136,t005_0_1
20A,59617.000000,3873603.000000,2.969136,t005_0_1
1A,1297889.000000,2265795.000000,3.711420,t006_0_1
2A,1177406.000000,2572245.000000,3.711420,t006_0_1
3A,1061132.000000,2730500.000000,3.711420,t006_0_1
4A,1766032.000000,2612123.000000,3.711420,t006_0_1
5A,1723733.000000,2874878.000000,3.711420,t006_0_1
6A,1445341.000000,2889806.000000,3.711420,t006_0_1
7A,1135878.000000,2890572.000000,3.711420,t006_0_1
8A,559478.000000,2917617.000000,3.711420,t006_0_1
9A,834575.000000,3066721.000000,3.711420,t006_0_1
10A,1140782.000000,2835180.000000,3.711420,t006_0_1
11A,2010951.000000,2837782.000000,3.711420,t006_0_1
12A,1982060.000000,2949239.000000,3.711420,t006_0_1
13A,2246266.000000,2889264.000000,3.711420,t006_0_1
14A,2113181.000000,3145612.000000,3.711420,t006_0_1
15A,1755721.000000,3219857.000000,3.711420,t006_0_1
16A,1326796.000000,3262481.000000,3.711420,t006_0_1
17A,1226731.000000,3276226.000000,3.711420,t006_0_1
18A,1014652.000000,3055668.000000,3.711420,t006_0_1
19A,625383.000000,3658766.000000,3.711420,t006_0_1
20A,60353.000000,3879209.000000,3.711420,t006_0_1
1A,1314757.000000,2284792.000000,4.453704,t007_0_1
2A,1018862.000000,2581989.000000,4.453704,t007_0_1
3A,1080782.000000,2746773.000000,4.453704,t007_0_1
4A,1742458.000000,2611877.000000,4.453704,t007_0_1
5A,1695809.000000,2884181.000000,4.453704,t007_0_1
6A,1441654.000000,2915229.000000,4.453704,t007_0_1
7A,1119862.000000,2903698.000000,4.453704,t007_0_1
8A,566474.000000,2914230.000000,4.453704,t007_0_1
9A,834568.000000,3063656.000000,4.453704,t007_0_1
