ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,745587.000000,1600062.000000,0.000000,t001_0_1
2A,1029355.000000,1825009.000000,0.000000,t001_0_1
3A,964201.000000,2089848.000000,0.000000,t001_0_1
4A,1468949.000000,2553217.000000,0.000000,t001_0_1
5A,1151546.000000,2602004.000000,0.000000,t001_0_1
6A,561853.000000,2487922.000000,0.000000,t001_0_1
7A,319848.000000,2533270.000000,0.000000,t001_0_1
8A,592523.000000,2307504.000000,0.000000,t001_0_1
9A,458096.000000,2578039.000000,0.000000,t001_0_1
10A,542843.000000,2324961.000000,0.000000,t001_0_1
11A,607793.000000,2372847.000000,0.000000,t001_0_1
12A,792540.000000,2231005.000000,0.000000,t001_0_1
13A,580544.000000,2341529.000000,0.000000,t001_0_1
14A,759502.000000,2305010.000000,0.000000,t001_0_1
15A,558764.000000,2502238.000000,0.000000,t001_0_1
16A,599515.000000,2652130.000000,0.000000,t001_0_1
17A,336713.000000,2882548.000000,0.000000,t001_0_1
18A,339348.000000,3138085.000000,0.000000,t001_0_1
19A,535317.000000,3515252.000000,0.000000,t001_0_1
20A,58062.000000,3832755.000000,0.000000,t001_0_1
1A,755341.000000,1606732.000000,0.709104,t002_0_1
2A,1035189.000000,1808430.000000,0.709104,t002_0_1
3A,973377.000000,2086273.000000,0.709104,t002_0_1
4A,1482262.000000,2554275.000000,0.709104,t002_0_1
5A,1163551.000000,2608368.000000,0.709104,t002_0_1
6A,559155.000000,2502776.000000,0.709104,t002_0_1
7A,325129.000000,2533422.000000,0.709104,t002_0_1
8A,587428.000000,2320274.000000,0.709104,t002_0_1
9A,460926.000000,2588294.000000,0.709104,t002_0_1
10A,544948.000000,2321537.000000,0.709104,t002_0_1
11A,621989.000000,2380248.000000,0.709104,t002_0_1
12A,787651.000000,2240616.000000,0.709104,t002_0_1
13A,580360.000000,2350498.000000,0.709104,t002_0_1
14A,751629.000000,2298174.000000,0.709104,t002_0_1
15A,557136.000000,2511284.000000,0.709104,t002_0_1
16A,594414.000000,2653026.000000,0.709104,t002_0_1
17A,341015.000000,2882359.000000,0.709104,t002_0_1
