ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,625031.000000,2700876.000000,0.000000,t001_0_1
2A,1315784.000000,2877841.000000,0.000000,t001_0_1
3A,3173186.000000,3051207.000000,0.000000,t001_0_1
4A,3253369.000000,3126573.000000,0.000000,t001_0_1
5A,2676164.000000,3201813.000000,0.000000,t001_0_1
6A,1741667.000000,2966631.000000,0.000000,t001_0_1
7A,1562095.000000,2514259.000000,0.000000,t001_0_1
8A,1260862.000000,2389941.000000,0.000000,t001_0_1
9A,1020165.000000,2543570.000000,0.000000,t001_0_1
10A,860052.000000,2394373.000000,0.000000,t001_0_1
11A,713623.000000,2689358.000000,0.000000,t001_0_1
12A,927541.000000,2620117.000000,0.000000,t001_0_1
13A,924051.000000,2722723.000000,0.000000,t001_0_1
14A,838043.000000,2852399.000000,0.000000,t001_0_1
15A,670726.000000,2732441.000000,0.000000,t001_0_1
16A,431487.000000,2858334.000000,0.000000,t001_0_1
17A,521515.000000,2956045.000000,0.000000,t001_0_1
18A,442599.000000,3317289.000000,0.000000,t001_0_1
19A,571445.000000,3518210.000000,0.000000,t001_0_1
20A,55502.000000,4216654.000000,0.000000,t001_0_1
1A,613738.000000,2725167.000000,0.677820,t002_0_1
2A,1333190.000000,2886168.000000,0.677820,t002_0_1
3A,3181717.000000,3041956.000000,0.677820,t002_0_1
4A,3253379.000000,3112241.000000,0.677820,t002_0_1
5A,2739427.000000,3226575.000000,0.677820,t002_0_1
6A,1771799.000000,2987807.000000,0.677820,t002_0_1
7A,1606603.000000,2535459.000000,0.677820,t002_0_1
8A,1199755.000000,2359576.000000,0.677820,t002_0_1
9A,990023.000000,2558369.000000,0.677820,t002_0_1
10A,845812.000000,2385662.000000,0.677820,t002_0_1
11A,714171.000000,2684037.000000,0.677820,t002_0_1
12A,916495.000000,2604886.000000,0.677820,t002_0_1
13A,900362.000000,2703582.000000,0.677820,t002_0_1
14A,841580.000000,2860059.000000,0.677820,t002_0_1
15A,651049.000000,2734131.000000,0.677820,t002_0_1
16A,441868.000000,2912362.000000,0.677820,t002_0_1
17A,525460.000000,2951608.000000,0.677820,t002_0_1
18A,449527.000000,3305036.000000,0.677820,t002_0_1
