ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,392883.000000,2358799.000000,0.000000,t001_0_1
2A,325643.000000,2553440.000000,0.000000,t001_0_1
3A,314559.000000,2838232.000000,0.000000,t001_0_1
4A,446800.000000,3032186.000000,0.000000,t001_0_1
5A,387176.000000,2947470.000000,0.000000,t001_0_1
6A,470993.000000,2646582.000000,0.000000,t001_0_1
7A,454429.000000,2649381.000000,0.000000,t001_0_1
8A,649511.000000,2653523.000000,0.000000,t001_0_1
9A,503813.000000,2773424.000000,0.000000,t001_0_1
10A,774656.000000,2633406.000000,0.000000,t001_0_1
11A,964733.000000,2763385.000000,0.000000,t001_0_1
12A,1252108.000000,2690135.000000,0.000000,t001_0_1
13A,1475827.000000,2576849.000000,0.000000,t001_0_1
14A,1422187.000000,2726119.000000,0.000000,t001_0_1
15A,932027.000000,2753052.000000,0.000000,t001_0_1
16A,876845.000000,2902022.000000,0.000000,t001_0_1
17A,1494792.000000,3124940.000000,0.000000,t001_0_1
18A,1584893.000000,3022781.000000,0.000000,t001_0_1
19A,437344.000000,3551726.000000,0.000000,t001_0_1
20A,55297.000000,4121220.000000,0.000000,t001_0_1
1A,406020.000000,2346033.000000,0.680664,t002_0_1
2A,338678.000000,2572091.000000,0.680664,t002_0_1
3A,315999.000000,2862050.000000,0.680664,t002_0_1
4A,446330.000000,2988554.000000,0.680664,t002_0_1
5A,387008.000000,2974581.000000,0.680664,t002_0_1
6A,480220.000000,2657457.000000,0.680664,t002_0_1
7A,457928.000000,2666951.000000,0.680664,t002_0_1
8A,661528.000000,2656713.000000,0.680664,t002_0_1
9A,505691.000000,2754704.000000,0.680664,t002_0_1
10A,778001.000000,2643451.000000,0.680664,t002_0_1
11A,972043.000000,2782804.000000,0.680664,t002_0_1
12A,1280665.000000,2684478.000000,0.680664,t002_0_1
13A,1467120.000000,2597921.000000,0.680664,t002_0_1
14A,1403563.000000,2703125.000000,0.680664,t002_0_1
15A,918779.000000,2761718.000000,0.680664,t002_0_1
16A,884574.000000,2897558.000000,0.680664,t002_0_1
17A,1505160.000000,3144592.000000,0.680664,t002_0_1
18A,1560067.000000,3017024.000000,0.680664,t002_0_1
19A,510154.000000,3547992.000000,0.680664,t002_0_1
20A,55161.000000,4113240.000000,0.680664,t002_0_1
1A,415032.000000,2333519.000000,1.361328,t003_0_1
2A,343935.000000,2565258.000000,1.361328,t003_0_1
3A,321816.000000,2837537.000000,1.361328,t003_0_1
4A,461462.000000,3001770.000000,1.361328,t003_0_1
5A,391832.000000,2937096.000000,1.361328,t003_0_1
6A,475573.000000,2645685.000000,1.361328,t003_0_1
7A,454538.000000,2654162.000000,1.361328,t003_0_1
8A,657652.000000,2657177.000000,1.361328,t003_0_1
9A,512456.000000,2768219.000000,1.361328,t003_0_1
10A,763520.000000,2649573.000000,1.361328,t003_0_1
11A,953814.000000,2755948.000000,1.361328,t003_0_1
12A,1278443.000000,2671251.000000,1.361328,t003_0_1
13A,1452896.000000,2588368.000000,1.361328,t003_0_1
14A,1363172.000000,2730415.000000,1.361328,t003_0_1
15A,936793.000000,2759854.000000,1.361328,t003_0_1
16A,895532.000000,2872005.000000,1.361328,t003_0_1
17A,1513862.000000,3128293.000000,1.361328,t003_0_1
18A,1526597.000000,3024919.000000,1.361328,t003_0_1
19A,582750.000000,3539859.000000,1.361328,t003_0_1
20A,54212.000000,4100733.000000,1.361328,t003_0_1
1A,417700.000000,2349841.000000,2.041992,t004_0_1
2A,350565.000000,2567962.000000,2.041992,t004_0_1
3A,323477.000000,2834122.000000,2.041992,t004_0_1
4A,454807.000000,2993271.000000,2.041992,t004_0_1
5A,377921.000000,2940667.000000,2.041992,t004_0_1
6A,454302.000000,2652679.000000,2.041992,t004_0_1
7A,457598.000000,2632749.000000,2.041992,t004_0_1
8A,642936.000000,2639968.000000,2.041992,t004_0_1
