ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,1013492.000000,2510971.000000,0.000000,t001_0_1
2A,908823.000000,2823434.000000,0.000000,t001_0_1
3A,622265.000000,2960185.000000,0.000000,t001_0_1
4A,489670.000000,3123426.000000,0.000000,t001_0_1
5A,760096.000000,3202037.000000,0.000000,t001_0_1
6A,1071420.000000,2646165.000000,0.000000,t001_0_1
7A,1235857.000000,2690694.000000,0.000000,t001_0_1
8A,1300288.000000,2793480.000000,0.000000,t001_0_1
9A,1669272.000000,2751168.000000,0.000000,t001_0_1
10A,1022617.000000,2717577.000000,0.000000,t001_0_1
11A,1633824.000000,2763309.000000,0.000000,t001_0_1
12A,1045015.000000,3047719.000000,0.000000,t001_0_1
13A,1191042.000000,2875241.000000,0.000000,t001_0_1
14A,772148.000000,3078055.000000,0.000000,t001_0_1
15A,591442.000000,3008153.000000,0.000000,t001_0_1
16A,472661.000000,3164373.000000,0.000000,t001_0_1
17A,458203.000000,3066067.000000,0.000000,t001_0_1
18A,398911.000000,3212919.000000,0.000000,t001_0_1
19A,311519.000000,3426720.000000,0.000000,t001_0_1
20A,56514.000000,4168960.000000,0.000000,t001_0_1
1A,1013337.000000,2512474.000000,0.667392,t002_0_1
2A,915251.000000,2804425.000000,0.667392,t002_0_1
3A,631183.000000,3033354.000000,0.667392,t002_0_1
4A,495534.000000,3122287.000000,0.667392,t002_0_1
5A,741897.000000,3116098.000000,0.667392,t002_0_1
6A,1078537.000000,2625750.000000,0.667392,t002_0_1
7A,1218791.000000,2684271.000000,0.667392,t002_0_1
8A,1274446.000000,2794513.000000,0.667392,t002_0_1
9A,1672692.000000,2752455.000000,0.667392,t002_0_1
10A,1055437.000000,2718554.000000,0.667392,t002_0_1
11A,1630533.000000,2723968.000000,0.667392,t002_0_1
12A,1082525.000000,3042419.000000,0.667392,t002_0_1
13A,1197410.000000,2888283.000000,0.667392,t002_0_1
14A,760518.000000,3054848.000000,0.667392,t002_0_1
15A,585788.000000,2998921.000000,0.667392,t002_0_1
16A,475441.000000,3164319.000000,0.667392,t002_0_1
17A,468061.000000,3078755.000000,0.667392,t002_0_1
18A,401280.000000,3220402.000000,0.667392,t002_0_1
19A,318636.000000,3428287.000000,0.667392,t002_0_1
20A,55513.000000,4167820.000000,0.667392,t002_0_1
1A,1017317.000000,2543451.000000,1.334784,t003_0_1
2A,928390.000000,2827731.000000,1.334784,t003_0_1
3A,634527.000000,3001259.000000,1.334784,t003_0_1
4A,484077.000000,3111789.000000,1.334784,t003_0_1
5A,745589.000000,3117256.000000,1.334784,t003_0_1
6A,1074329.000000,2603011.000000,1.334784,t003_0_1
7A,1221597.000000,2724965.000000,1.334784,t003_0_1
8A,1279652.000000,2821888.000000,1.334784,t003_0_1
9A,1621053.000000,2780788.000000,1.334784,t003_0_1
10A,1133900.000000,2759888.000000,1.334784,t003_0_1
11A,1659668.000000,2717285.000000,1.334784,t003_0_1
12A,1117706.000000,3055877.000000,1.334784,t003_0_1
13A,1176599.000000,2880855.000000,1.334784,t003_0_1
14A,728531.000000,3049908.000000,1.334784,t003_0_1
15A,574407.000000,2959073.000000,1.334784,t003_0_1
16A,482774.000000,3200089.000000,1.334784,t003_0_1
17A,455076.000000,3066147.000000,1.334784,t003_0_1
18A,407496.000000,3210325.000000,1.334784,t003_0_1
19A,311259.000000,3432736.000000,1.334784,t003_0_1
20A,56797.000000,4148810.000000,1.334784,t003_0_1
1A,1008210.000000,2535920.000000,2.002176,t004_0_1
2A,917113.000000,2790777.000000,2.002176,t004_0_1
3A,642350.000000,2996306.000000,2.002176,t004_0_1
4A,487315.000000,3073014.000000,2.002176,t004_0_1
5A,747213.000000,3123313.000000,2.002176,t004_0_1
6A,1083484.000000,2667424.000000,2.002176,t004_0_1
7A,1202342.000000,2648478.000000,2.002176,t004_0_1
8A,1262326.000000,2795569.000000,2.002176,t004_0_1
9A,1587141.000000,2790529.000000,2.002176,t004_0_1
10A,1226223.000000,2746977.000000,2.002176,t004_0_1
11A,1659431.000000,2738014.000000,2.002176,t004_0_1
12A,1133360.000000,3023339.000000,2.002176,t004_0_1
13A,1187295.000000,2849971.000000,2.002176,t004_0_1
14A,739974.000000,3046276.000000,2.002176,t004_0_1
15A,566817.000000,2970806.000000,2.002176,t004_0_1
16A,478656.000000,3190046.000000,2.002176,t004_0_1
17A,444372.000000,3040064.000000,2.002176,t004_0_1
18A,399699.000000,3187271.000000,2.002176,t004_0_1
19A,303836.000000,3396988.000000,2.002176,t004_0_1
20A,55594.000000,4151904.000000,2.002176,t004_0_1
1A,999871.000000,2540430.000000,2.669568,t005_0_1
2A,924669.000000,2789889.000000,2.669568,t005_0_1
3A,646108.000000,2979914.000000,2.669568,t005_0_1
4A,491032.000000,3159943.000000,2.669568,t005_0_1
5A,763432.000000,3170200.000000,2.669568,t005_0_1
6A,1085827.000000,2627326.000000,2.669568,t005_0_1
7A,1205813.000000,2724125.000000,2.669568,t005_0_1
8A,1288154.000000,2814168.000000,2.669568,t005_0_1
9A,1562593.000000,2806986.000000,2.669568,t005_0_1
10A,1311296.000000,2741002.000000,2.669568,t005_0_1
11A,1658569.000000,2737860.000000,2.669568,t005_0_1
12A,1144083.000000,3009485.000000,2.669568,t005_0_1
13A,1225446.000000,2884254.000000,2.669568,t005_0_1
14A,722637.000000,3035904.000000,2.669568,t005_0_1
15A,580440.000000,2996716.000000,2.669568,t005_0_1
16A,480485.000000,3202933.000000,2.669568,t005_0_1
17A,451326.000000,3057488.000000,2.669568,t005_0_1
18A,404507.000000,3196275.000000,2.669568,t005_0_1
19A,305295.000000,3420536.000000,2.669568,t005_0_1
20A,55578.000000,4143538.000000,2.669568,t005_0_1
1A,910905.000000,2577459.000000,3.336960,t006_0_1
2A,959253.000000,2790318.000000,3.336960,t006_0_1
3A,627704.000000,3036166.000000,3.336960,t006_0_1
4A,498075.000000,3106887.000000,3.336960,t006_0_1
5A,765003.000000,3120654.000000,3.336960,t006_0_1
6A,1096082.000000,2633442.000000,3.336960,t006_0_1
7A,1226073.000000,2752550.000000,3.336960,t006_0_1
8A,1299798.000000,2823288.000000,3.336960,t006_0_1
9A,1487014.000000,2821255.000000,3.336960,t006_0_1
10A,1321839.000000,2739257.000000,3.336960,t006_0_1
11A,1662941.000000,2743327.000000,3.336960,t006_0_1
12A,1092789.000000,3013191.000000,3.336960,t006_0_1
13A,1261465.000000,2861352.000000,3.336960,t006_0_1
14A,723472.000000,3069667.000000,3.336960,t006_0_1
15A,563519.000000,3001983.000000,3.336960,t006_0_1
16A,477360.000000,3159649.000000,3.336960,t006_0_1
17A,456666.000000,3095564.000000,3.336960,t006_0_1
18A,392512.000000,3187633.000000,3.336960,t006_0_1
19A,299336.000000,3428481.000000,3.336960,t006_0_1
20A,56249.000000,4144695.000000,3.336960,t006_0_1
1A,859866.000000,2563620.000000,4.004352,t007_0_1
2A,970245.000000,2850754.000000,4.004352,t007_0_1
3A,624768.000000,3016750.000000,4.004352,t007_0_1
