ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,281976.000000,1468276.000000,0.000000,t001_0_1
2A,467777.000000,1908739.000000,0.000000,t001_0_1
3A,522773.000000,2232387.000000,0.000000,t001_0_1
4A,832912.000000,2554611.000000,0.000000,t001_0_1
5A,925656.000000,2739484.000000,0.000000,t001_0_1
6A,934615.000000,2756578.000000,0.000000,t001_0_1
7A,949101.000000,2817602.000000,0.000000,t001_0_1
8A,738980.000000,2907120.000000,0.000000,t001_0_1
9A,504278.000000,2738954.000000,0.000000,t001_0_1
10A,339149.000000,2545044.000000,0.000000,t001_0_1
11A,290227.000000,2550755.000000,0.000000,t001_0_1
12A,233711.000000,2486868.000000,0.000000,t001_0_1
13A,226099.000000,2517658.000000,0.000000,t001_0_1
14A,270858.000000,2832222.000000,0.000000,t001_0_1
15A,300635.000000,3042939.000000,0.000000,t001_0_1
16A,242207.000000,3020191.000000,0.000000,t001_0_1
17A,198730.000000,2985547.000000,0.000000,t001_0_1
18A,197824.000000,2909914.000000,0.000000,t001_0_1
19A,187831.000000,3094073.000000,0.000000,t001_0_1
20A,64042.000000,3896074.000000,0.000000,t001_0_1
1A,289177.000000,1487464.000000,0.721280,t002_0_1
2A,473199.000000,1902304.000000,0.721280,t002_0_1
3A,531943.000000,2237259.000000,0.721280,t002_0_1
4A,835744.000000,2531091.000000,0.721280,t002_0_1
5A,834371.000000,2716844.000000,0.721280,t002_0_1
6A,953212.000000,2751089.000000,0.721280,t002_0_1
7A,933554.000000,2846769.000000,0.721280,t002_0_1
8A,748527.000000,2922283.000000,0.721280,t002_0_1
9A,507818.000000,2739456.000000,0.721280,t002_0_1
10A,342613.000000,2550692.000000,0.721280,t002_0_1
11A,281340.000000,2554081.000000,0.721280,t002_0_1
12A,235576.000000,2516285.000000,0.721280,t002_0_1
13A,220441.000000,2540731.000000,0.721280,t002_0_1
14A,277435.000000,2816464.000000,0.721280,t002_0_1
15A,296179.000000,3032945.000000,0.721280,t002_0_1
16A,244152.000000,3040632.000000,0.721280,t002_0_1
17A,200347.000000,3005750.000000,0.721280,t002_0_1
18A,196695.000000,2921226.000000,0.721280,t002_0_1
19A,180795.000000,3089906.000000,0.721280,t002_0_1
20A,64753.000000,3889375.000000,0.721280,t002_0_1
1A,288594.000000,1477232.000000,1.442560,t003_0_1
2A,462801.000000,1888859.000000,1.442560,t003_0_1
3A,526202.000000,2254859.000000,1.442560,t003_0_1
4A,823673.000000,2564465.000000,1.442560,t003_0_1
5A,765101.000000,2722892.000000,1.442560,t003_0_1
6A,974451.000000,2749240.000000,1.442560,t003_0_1
7A,965409.000000,2847954.000000,1.442560,t003_0_1
8A,728928.000000,2871516.000000,1.442560,t003_0_1
