ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,1039408.000000,2369531.000000,0.000000,t001_0_1
2A,723210.000000,2215022.000000,0.000000,t001_0_1
3A,323382.000000,2218154.000000,0.000000,t001_0_1
4A,310041.000000,2140935.000000,0.000000,t001_0_1
5A,241600.000000,2047567.000000,0.000000,t001_0_1
6A,288448.000000,1907277.000000,0.000000,t001_0_1
7A,344028.000000,2251905.000000,0.000000,t001_0_1
8A,300025.000000,2610423.000000,0.000000,t001_0_1
9A,358020.000000,2763125.000000,0.000000,t001_0_1
10A,336885.000000,2490616.000000,0.000000,t001_0_1
11A,191092.000000,2997908.000000,0.000000,t001_0_1
1A,1034660.000000,2323739.000000,0.621048,t002_0_1
2A,734589.000000,2227224.000000,0.621048,t002_0_1
3A,319423.000000,2183522.000000,0.621048,t002_0_1
4A,315828.000000,2136914.000000,0.621048,t002_0_1
5A,245173.000000,2048143.000000,0.621048,t002_0_1
6A,287686.000000,1862254.000000,0.621048,t002_0_1
7A,329842.000000,2219797.000000,0.621048,t002_0_1
8A,299554.000000,2563501.000000,0.621048,t002_0_1
9A,356056.000000,2755322.000000,0.621048,t002_0_1
10A,320991.000000,2484489.000000,0.621048,t002_0_1
11A,190366.000000,3002201.000000,0.621048,t002_0_1
1A,1031992.000000,2306740.000000,1.242096,t003_0_1
2A,722693.000000,2205627.000000,1.242096,t003_0_1
3A,333178.000000,2203801.000000,1.242096,t003_0_1
4A,306330.000000,2073930.000000,1.242096,t003_0_1
5A,246582.000000,2052053.000000,1.242096,t003_0_1
6A,289528.000000,1897236.000000,1.242096,t003_0_1
7A,315260.000000,2200687.000000,1.242096,t003_0_1
8A,305495.000000,2582537.000000,1.242096,t003_0_1
9A,349902.000000,2753895.000000,1.242096,t003_0_1
10A,317264.000000,2482862.000000,1.242096,t003_0_1
11A,190701.000000,2992864.000000,1.242096,t003_0_1
1A,1039247.000000,2287524.000000,1.863144,t004_0_1
2A,712691.000000,2184548.000000,1.863144,t004_0_1
3A,326712.000000,2147204.000000,1.863144,t004_0_1
4A,303276.000000,2139505.000000,1.863144,t004_0_1
5A,246308.000000,2018832.000000,1.863144,t004_0_1
6A,277574.000000,1922920.000000,1.863144,t004_0_1
7A,310291.000000,2209036.000000,1.863144,t004_0_1
8A,297681.000000,2586400.000000,1.863144,t004_0_1
9A,350525.000000,2753386.000000,1.863144,t004_0_1
10A,323649.000000,2489693.000000,1.863144,t004_0_1
11A,186647.000000,3000970.000000,1.863144,t004_0_1
1A,1019923.000000,2217242.000000,2.484192,t005_0_1
2A,706288.000000,2195926.000000,2.484192,t005_0_1
3A,320992.000000,2121267.000000,2.484192,t005_0_1
4A,306125.000000,2096359.000000,2.484192,t005_0_1
5A,236323.000000,2037236.000000,2.484192,t005_0_1
6A,264412.000000,1897248.000000,2.484192,t005_0_1
7A,307052.000000,2202635.000000,2.484192,t005_0_1
8A,303931.000000,2547294.000000,2.484192,t005_0_1
9A,348905.000000,2734265.000000,2.484192,t005_0_1
10A,324955.000000,2487084.000000,2.484192,t005_0_1
11A,189204.000000,2994075.000000,2.484192,t005_0_1
1A,1024118.000000,2297650.000000,3.105240,t006_0_1
2A,705939.000000,2178761.000000,3.105240,t006_0_1
3A,320684.000000,2059477.000000,3.105240,t006_0_1
4A,304247.000000,2061490.000000,3.105240,t006_0_1
5A,240121.000000,1958658.000000,3.105240,t006_0_1
6A,263229.000000,1916915.000000,3.105240,t006_0_1
7A,306245.000000,2216625.000000,3.105240,t006_0_1
8A,309131.000000,2575664.000000,3.105240,t006_0_1
9A,337883.000000,2709291.000000,3.105240,t006_0_1
10A,329616.000000,2483635.000000,3.105240,t006_0_1
11A,193747.000000,2986914.000000,3.105240,t006_0_1
1A,1022553.000000,2254520.000000,3.726288,t007_0_1
2A,704862.000000,2183998.000000,3.726288,t007_0_1
3A,312462.000000,2128151.000000,3.726288,t007_0_1
4A,303581.000000,2091596.000000,3.726288,t007_0_1
5A,240369.000000,1979589.000000,3.726288,t007_0_1
6A,275512.000000,1887899.000000,3.726288,t007_0_1
7A,322545.000000,2186048.000000,3.726288,t007_0_1
8A,305558.000000,2525731.000000,3.726288,t007_0_1
9A,329822.000000,2755910.000000,3.726288,t007_0_1
10A,335463.000000,2488413.000000,3.726288,t007_0_1
11A,189193.000000,2995944.000000,3.726288,t007_0_1
1A,1027337.000000,2274143.000000,4.347336,t008_0_1
2A,690649.000000,2207499.000000,4.347336,t008_0_1
3A,315890.000000,2089777.000000,4.347336,t008_0_1
4A,297986.000000,2097839.000000,4.347336,t008_0_1
5A,246164.000000,2019498.000000,4.347336,t008_0_1
6A,297022.000000,1892234.000000,4.347336,t008_0_1
7A,282990.000000,2080024.000000,4.347336,t008_0_1
8A,271805.000000,2478673.000000,4.347336,t008_0_1
9A,336239.000000,2783124.000000,4.347336,t008_0_1
10A,334236.000000,2479939.000000,4.347336,t008_0_1
11A,187964.000000,2991673.000000,4.347336,t008_0_1
1A,1022335.000000,2200480.000000,4.968384,t009_0_1
2A,695244.000000,2163996.000000,4.968384,t009_0_1
3A,313889.000000,2128967.000000,4.968384,t009_0_1
4A,304041.000000,2117263.000000,4.968384,t009_0_1
5A,248970.000000,1966285.000000,4.968384,t009_0_1
6A,313523.000000,1877750.000000,4.968384,t009_0_1
7A,267709.000000,2159078.000000,4.968384,t009_0_1
8A,259869.000000,2513745.000000,4.968384,t009_0_1
9A,322937.000000,2802326.000000,4.968384,t009_0_1
10A,341309.000000,2455381.000000,4.968384,t009_0_1
11A,189255.000000,2988760.000000,4.968384,t009_0_1
1A,1008897.000000,2294907.000000,5.589432,t010_0_1
2A,677793.000000,2159374.000000,5.589432,t010_0_1
3A,308598.000000,2115286.000000,5.589432,t010_0_1
4A,298055.000000,2082282.000000,5.589432,t010_0_1
5A,257548.000000,1981331.000000,5.589432,t010_0_1
6A,312231.000000,1875886.000000,5.589432,t010_0_1
7A,253476.000000,2125345.000000,5.589432,t010_0_1
8A,248342.000000,2501100.000000,5.589432,t010_0_1
9A,326020.000000,2808449.000000,5.589432,t010_0_1
10A,325057.000000,2456565.000000,5.589432,t010_0_1
