ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,261727.000000,1967982.000000,0.000000,t001_0_1
2A,260765.000000,1915239.000000,0.000000,t001_0_1
3A,261178.000000,2078339.000000,0.000000,t001_0_1
4A,308893.000000,2018477.000000,0.000000,t001_0_1
5A,414576.000000,2047892.000000,0.000000,t001_0_1
6A,567604.000000,2207076.000000,0.000000,t001_0_1
7A,858974.000000,2246008.000000,0.000000,t001_0_1
8A,1231357.000000,2531028.000000,0.000000,t001_0_1
9A,730933.000000,2806672.000000,0.000000,t001_0_1
10A,473849.000000,2940301.000000,0.000000,t001_0_1
11A,228132.000000,3258626.000000,0.000000,t001_0_1
1A,262380.000000,1991065.000000,0.598596,t002_0_1
2A,253928.000000,1921169.000000,0.598596,t002_0_1
3A,263378.000000,2063891.000000,0.598596,t002_0_1
4A,312840.000000,2001194.000000,0.598596,t002_0_1
5A,415958.000000,2028104.000000,0.598596,t002_0_1
6A,588979.000000,2253346.000000,0.598596,t002_0_1
7A,892908.000000,2281533.000000,0.598596,t002_0_1
8A,1227756.000000,2512544.000000,0.598596,t002_0_1
9A,732361.000000,2806619.000000,0.598596,t002_0_1
10A,471388.000000,2941329.000000,0.598596,t002_0_1
11A,226535.000000,3263304.000000,0.598596,t002_0_1
1A,265605.000000,1990287.000000,1.197192,t003_0_1
2A,259150.000000,1930898.000000,1.197192,t003_0_1
3A,264424.000000,2066345.000000,1.197192,t003_0_1
4A,311336.000000,1990100.000000,1.197192,t003_0_1
5A,420520.000000,2015756.000000,1.197192,t003_0_1
6A,605731.000000,2274658.000000,1.197192,t003_0_1
7A,874332.000000,2257401.000000,1.197192,t003_0_1
8A,1219375.000000,2506428.000000,1.197192,t003_0_1
9A,725967.000000,2804788.000000,1.197192,t003_0_1
10A,475131.000000,2937415.000000,1.197192,t003_0_1
11A,231817.000000,3258032.000000,1.197192,t003_0_1
1A,266382.000000,1984458.000000,1.795788,t004_0_1
2A,253526.000000,1855395.000000,1.795788,t004_0_1
3A,263982.000000,2052510.000000,1.795788,t004_0_1
4A,310062.000000,1987562.000000,1.795788,t004_0_1
5A,416477.000000,2047535.000000,1.795788,t004_0_1
6A,587806.000000,2263401.000000,1.795788,t004_0_1
7A,882424.000000,2222529.000000,1.795788,t004_0_1
8A,1213723.000000,2503127.000000,1.795788,t004_0_1
9A,721785.000000,2802598.000000,1.795788,t004_0_1
10A,488403.000000,2932798.000000,1.795788,t004_0_1
11A,230194.000000,3251596.000000,1.795788,t004_0_1
1A,263793.000000,1975246.000000,2.394384,t005_0_1
2A,249562.000000,1832740.000000,2.394384,t005_0_1
3A,270461.000000,2052725.000000,2.394384,t005_0_1
4A,312419.000000,2030929.000000,2.394384,t005_0_1
5A,421547.000000,2040506.000000,2.394384,t005_0_1
6A,584226.000000,2232905.000000,2.394384,t005_0_1
7A,881308.000000,2238528.000000,2.394384,t005_0_1
8A,1225633.000000,2519329.000000,2.394384,t005_0_1
9A,730536.000000,2813517.000000,2.394384,t005_0_1
10A,488621.000000,2942034.000000,2.394384,t005_0_1
11A,227378.000000,3258158.000000,2.394384,t005_0_1
1A,266170.000000,1983684.000000,2.992980,t006_0_1
2A,260798.000000,1828080.000000,2.992980,t006_0_1
3A,267022.000000,2088094.000000,2.992980,t006_0_1
4A,311222.000000,2021588.000000,2.992980,t006_0_1
5A,417793.000000,2023487.000000,2.992980,t006_0_1
6A,588760.000000,2213417.000000,2.992980,t006_0_1
7A,896408.000000,2233667.000000,2.992980,t006_0_1
8A,1222921.000000,2495369.000000,2.992980,t006_0_1
9A,728818.000000,2815068.000000,2.992980,t006_0_1
10A,478875.000000,2943411.000000,2.992980,t006_0_1
11A,229997.000000,3269522.000000,2.992980,t006_0_1
1A,263803.000000,1984428.000000,3.591576,t007_0_1
2A,254571.000000,1897714.000000,3.591576,t007_0_1
3A,269659.000000,2025325.000000,3.591576,t007_0_1
4A,313958.000000,2011848.000000,3.591576,t007_0_1
5A,410722.000000,2023184.000000,3.591576,t007_0_1
6A,591284.000000,2263061.000000,3.591576,t007_0_1
7A,898531.000000,2217436.000000,3.591576,t007_0_1
8A,1225708.000000,2497413.000000,3.591576,t007_0_1
9A,707868.000000,2822634.000000,3.591576,t007_0_1
10A,480032.000000,2949385.000000,3.591576,t007_0_1
11A,229340.000000,3277973.000000,3.591576,t007_0_1
1A,275159.000000,1946945.000000,4.190172,t008_0_1
2A,255995.000000,1905815.000000,4.190172,t008_0_1
3A,269500.000000,2060982.000000,4.190172,t008_0_1
4A,312903.000000,1986999.000000,4.190172,t008_0_1
5A,419586.000000,2044530.000000,4.190172,t008_0_1
6A,575236.000000,2258366.000000,4.190172,t008_0_1
7A,889909.000000,2292076.000000,4.190172,t008_0_1
8A,1221453.000000,2519757.000000,4.190172,t008_0_1
9A,712114.000000,2830317.000000,4.190172,t008_0_1
10A,472439.000000,2959283.000000,4.190172,t008_0_1
11A,226879.000000,3265418.000000,4.190172,t008_0_1
1A,277296.000000,1932009.000000,4.788768,t009_0_1
2A,248421.000000,1870148.000000,4.788768,t009_0_1
3A,263585.000000,2083844.000000,4.788768,t009_0_1
4A,304705.000000,1996888.000000,4.788768,t009_0_1
5A,422406.000000,2056586.000000,4.788768,t009_0_1
6A,600517.000000,2222488.000000,4.788768,t009_0_1
7A,900557.000000,2244303.000000,4.788768,t009_0_1
