ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,1426761.000000,2104015.000000,0.000000,t001_0_1
2A,1374886.000000,2276108.000000,0.000000,t001_0_1
3A,1323174.000000,2561677.000000,0.000000,t001_0_1
4A,546845.000000,2867017.000000,0.000000,t001_0_1
5A,223674.000000,3013676.000000,0.000000,t001_0_1
6A,294254.000000,2926475.000000,0.000000,t001_0_1
7A,339581.000000,3034075.000000,0.000000,t001_0_1
8A,421543.000000,3008653.000000,0.000000,t001_0_1
9A,757785.000000,2931398.000000,0.000000,t001_0_1
10A,731279.000000,2856854.000000,0.000000,t001_0_1
11A,861678.000000,3118614.000000,0.000000,t001_0_1
12A,820010.000000,3218812.000000,0.000000,t001_0_1
13A,683058.000000,3260048.000000,0.000000,t001_0_1
14A,524139.000000,3254862.000000,0.000000,t001_0_1
15A,614934.000000,3423237.000000,0.000000,t001_0_1
16A,574494.000000,3409599.000000,0.000000,t001_0_1
17A,396311.000000,3384445.000000,0.000000,t001_0_1
18A,341633.000000,3568192.000000,0.000000,t001_0_1
19A,186157.000000,3609827.000000,0.000000,t001_0_1
20A,60165.000000,3855874.000000,0.000000,t001_0_1
1A,1480075.000000,2113605.000000,0.686352,t002_0_1
2A,1418375.000000,2256974.000000,0.686352,t002_0_1
3A,1318851.000000,2607332.000000,0.686352,t002_0_1
4A,478294.000000,2919674.000000,0.686352,t002_0_1
5A,252629.000000,3020696.000000,0.686352,t002_0_1
6A,292363.000000,2927474.000000,0.686352,t002_0_1
7A,335569.000000,3064184.000000,0.686352,t002_0_1
8A,410126.000000,3032766.000000,0.686352,t002_0_1
9A,750975.000000,2935339.000000,0.686352,t002_0_1
10A,708389.000000,2872753.000000,0.686352,t002_0_1
11A,849632.000000,3135551.000000,0.686352,t002_0_1
12A,813844.000000,3217336.000000,0.686352,t002_0_1
13A,681972.000000,3282400.000000,0.686352,t002_0_1
14A,520127.000000,3255196.000000,0.686352,t002_0_1
15A,565846.000000,3413891.000000,0.686352,t002_0_1
16A,590703.000000,3400482.000000,0.686352,t002_0_1
17A,392883.000000,3379317.000000,0.686352,t002_0_1
18A,346997.000000,3577127.000000,0.686352,t002_0_1
19A,186763.000000,3606779.000000,0.686352,t002_0_1
20A,59194.000000,3856429.000000,0.686352,t002_0_1
1A,1523719.000000,2101183.000000,1.372704,t003_0_1
2A,1474927.000000,2276129.000000,1.372704,t003_0_1
3A,1263874.000000,2591045.000000,1.372704,t003_0_1
4A,445045.000000,2945831.000000,1.372704,t003_0_1
5A,278330.000000,3010535.000000,1.372704,t003_0_1
6A,291531.000000,2923506.000000,1.372704,t003_0_1
7A,326410.000000,3037302.000000,1.372704,t003_0_1
8A,392894.000000,3010225.000000,1.372704,t003_0_1
9A,755640.000000,2909816.000000,1.372704,t003_0_1
10A,717381.000000,2874680.000000,1.372704,t003_0_1
11A,832731.000000,3127326.000000,1.372704,t003_0_1
12A,827500.000000,3218511.000000,1.372704,t003_0_1
13A,674375.000000,3279802.000000,1.372704,t003_0_1
14A,522574.000000,3241800.000000,1.372704,t003_0_1
15A,530690.000000,3396810.000000,1.372704,t003_0_1
16A,604196.000000,3401144.000000,1.372704,t003_0_1
17A,381076.000000,3364449.000000,1.372704,t003_0_1
18A,345557.000000,3571626.000000,1.372704,t003_0_1
19A,186881.000000,3596745.000000,1.372704,t003_0_1
20A,59383.000000,3839575.000000,1.372704,t003_0_1
1A,1584956.000000,2096823.000000,2.059056,t004_0_1
2A,1534954.000000,2266314.000000,2.059056,t004_0_1
3A,1015477.000000,2565160.000000,2.059056,t004_0_1
4A,430597.000000,2923896.000000,2.059056,t004_0_1
5A,316263.000000,2957540.000000,2.059056,t004_0_1
6A,276945.000000,2888956.000000,2.059056,t004_0_1
7A,331897.000000,3020489.000000,2.059056,t004_0_1
8A,396670.000000,2993965.000000,2.059056,t004_0_1
9A,744819.000000,2914597.000000,2.059056,t004_0_1
10A,697370.000000,2849145.000000,2.059056,t004_0_1
11A,832786.000000,3119195.000000,2.059056,t004_0_1
12A,823499.000000,3213014.000000,2.059056,t004_0_1
13A,689882.000000,3278118.000000,2.059056,t004_0_1
14A,534406.000000,3236886.000000,2.059056,t004_0_1
15A,501331.000000,3393328.000000,2.059056,t004_0_1
16A,610109.000000,3396089.000000,2.059056,t004_0_1
17A,376452.000000,3363543.000000,2.059056,t004_0_1
18A,360198.000000,3565642.000000,2.059056,t004_0_1
19A,186063.000000,3593964.000000,2.059056,t004_0_1
20A,59328.000000,3832183.000000,2.059056,t004_0_1
1A,1655121.000000,2126525.000000,2.745408,t005_0_1
2A,1562236.000000,2271974.000000,2.745408,t005_0_1
3A,861402.000000,2613804.000000,2.745408,t005_0_1
4A,457181.000000,2968553.000000,2.745408,t005_0_1
5A,351430.000000,2943334.000000,2.745408,t005_0_1
6A,266797.000000,2916430.000000,2.745408,t005_0_1
7A,353201.000000,3051344.000000,2.745408,t005_0_1
8A,395530.000000,3024823.000000,2.745408,t005_0_1
9A,751698.000000,2939013.000000,2.745408,t005_0_1
10A,701672.000000,2863727.000000,2.745408,t005_0_1
11A,853161.000000,3123439.000000,2.745408,t005_0_1
12A,813463.000000,3227000.000000,2.745408,t005_0_1
13A,695202.000000,3288380.000000,2.745408,t005_0_1
14A,534105.000000,3241957.000000,2.745408,t005_0_1
15A,489185.000000,3403392.000000,2.745408,t005_0_1
16A,601078.000000,3407321.000000,2.745408,t005_0_1
17A,373406.000000,3382985.000000,2.745408,t005_0_1
18A,367687.000000,3576293.000000,2.745408,t005_0_1
19A,187024.000000,3596857.000000,2.745408,t005_0_1
20A,58832.000000,3855044.000000,2.745408,t005_0_1
1A,1678462.000000,2119619.000000,3.431760,t006_0_1
2A,1576716.000000,2289215.000000,3.431760,t006_0_1
3A,737019.000000,2632441.000000,3.431760,t006_0_1
4A,490223.000000,2938543.000000,3.431760,t006_0_1
5A,371231.000000,2942547.000000,3.431760,t006_0_1
