ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,1620745.000000,1777534.000000,0.000000,t001_0_1
2A,1799733.000000,1713280.000000,0.000000,t001_0_1
3A,1243351.000000,1865883.000000,0.000000,t001_0_1
4A,1029421.000000,1893860.000000,0.000000,t001_0_1
5A,903619.000000,1894882.000000,0.000000,t001_0_1
6A,850027.000000,2102120.000000,0.000000,t001_0_1
7A,771897.000000,2328638.000000,0.000000,t001_0_1
8A,633363.000000,2334271.000000,0.000000,t001_0_1
9A,705311.000000,2716380.000000,0.000000,t001_0_1
10A,410534.000000,2731560.000000,0.000000,t001_0_1
11A,103016.000000,3108495.000000,0.000000,t001_0_1
1A,1627098.000000,1778456.000000,0.536832,t002_0_1
2A,1777298.000000,1710285.000000,0.536832,t002_0_1
3A,1240341.000000,1832068.000000,0.536832,t002_0_1
4A,969139.000000,1844533.000000,0.536832,t002_0_1
5A,936249.000000,1902845.000000,0.536832,t002_0_1
6A,849849.000000,2154196.000000,0.536832,t002_0_1
7A,779437.000000,2297090.000000,0.536832,t002_0_1
8A,631305.000000,2307643.000000,0.536832,t002_0_1
9A,696693.000000,2713908.000000,0.536832,t002_0_1
10A,397990.000000,2725541.000000,0.536832,t002_0_1
11A,101090.000000,3107607.000000,0.536832,t002_0_1
1A,1631547.000000,1789894.000000,1.073664,t003_0_1
2A,1791893.000000,1743159.000000,1.073664,t003_0_1
3A,1237388.000000,1817723.000000,1.073664,t003_0_1
4A,957796.000000,1853930.000000,1.073664,t003_0_1
5A,921211.000000,1918586.000000,1.073664,t003_0_1
6A,853669.000000,2121931.000000,1.073664,t003_0_1
7A,769419.000000,2347345.000000,1.073664,t003_0_1
8A,632902.000000,2294327.000000,1.073664,t003_0_1
9A,695468.000000,2719761.000000,1.073664,t003_0_1
10A,392846.000000,2730244.000000,1.073664,t003_0_1
11A,103809.000000,3109691.000000,1.073664,t003_0_1
1A,1611571.000000,1785312.000000,1.610496,t004_0_1
2A,1762780.000000,1694732.000000,1.610496,t004_0_1
3A,1245835.000000,1899864.000000,1.610496,t004_0_1
4A,947211.000000,1858116.000000,1.610496,t004_0_1
5A,922329.000000,1892873.000000,1.610496,t004_0_1
6A,918549.000000,2106082.000000,1.610496,t004_0_1
7A,776690.000000,2307142.000000,1.610496,t004_0_1
8A,635175.000000,2346831.000000,1.610496,t004_0_1
9A,694930.000000,2720755.000000,1.610496,t004_0_1
10A,399062.000000,2731720.000000,1.610496,t004_0_1
11A,101312.000000,3110152.000000,1.610496,t004_0_1
1A,1586488.000000,1778500.000000,2.147328,t005_0_1
2A,1747544.000000,1649682.000000,2.147328,t005_0_1
3A,1187066.000000,1860974.000000,2.147328,t005_0_1
4A,946261.000000,1857928.000000,2.147328,t005_0_1
5A,923708.000000,1919195.000000,2.147328,t005_0_1
6A,967780.000000,2119289.000000,2.147328,t005_0_1
7A,777119.000000,2287166.000000,2.147328,t005_0_1
8A,635030.000000,2274738.000000,2.147328,t005_0_1
9A,686419.000000,2709844.000000,2.147328,t005_0_1
10A,386692.000000,2724853.000000,2.147328,t005_0_1
11A,104486.000000,3103900.000000,2.147328,t005_0_1
1A,1570450.000000,1780871.000000,2.684160,t006_0_1
2A,1768678.000000,1741187.000000,2.684160,t006_0_1
3A,1225413.000000,1853068.000000,2.684160,t006_0_1
4A,928473.000000,1861379.000000,2.684160,t006_0_1
5A,905971.000000,1920403.000000,2.684160,t006_0_1
6A,1037817.000000,2090558.000000,2.684160,t006_0_1
7A,786258.000000,2355509.000000,2.684160,t006_0_1
8A,642483.000000,2318342.000000,2.684160,t006_0_1
9A,685464.000000,2709142.000000,2.684160,t006_0_1
10A,384412.000000,2722682.000000,2.684160,t006_0_1
11A,105428.000000,3102713.000000,2.684160,t006_0_1
1A,1579359.000000,1776254.000000,3.220992,t007_0_1
2A,1763600.000000,1740469.000000,3.220992,t007_0_1
3A,1192556.000000,1856057.000000,3.220992,t007_0_1
4A,923164.000000,1904341.000000,3.220992,t007_0_1
5A,874907.000000,1885509.000000,3.220992,t007_0_1
6A,1093230.000000,2096318.000000,3.220992,t007_0_1
7A,783075.000000,2322295.000000,3.220992,t007_0_1
8A,636610.000000,2285586.000000,3.220992,t007_0_1
9A,677429.000000,2712219.000000,3.220992,t007_0_1
10A,393179.000000,2725205.000000,3.220992,t007_0_1
11A,104316.000000,3097811.000000,3.220992,t007_0_1
1A,1590338.000000,1774406.000000,3.757824,t008_0_1
2A,1740123.000000,1703900.000000,3.757824,t008_0_1
3A,1131411.000000,1907452.000000,3.757824,t008_0_1
4A,918482.000000,1869380.000000,3.757824,t008_0_1
5A,857214.000000,1918465.000000,3.757824,t008_0_1
6A,1089657.000000,2095431.000000,3.757824,t008_0_1
7A,763640.000000,2276708.000000,3.757824,t008_0_1
8A,631645.000000,2262502.000000,3.757824,t008_0_1
9A,647947.000000,2708446.000000,3.757824,t008_0_1
10A,387513.000000,2724838.000000,3.757824,t008_0_1
11A,102990.000000,3096627.000000,3.757824,t008_0_1
1A,1630541.000000,1770004.000000,4.294656,t009_0_1
2A,1747393.000000,1665169.000000,4.294656,t009_0_1
3A,1163137.000000,1917886.000000,4.294656,t009_0_1
4A,928088.000000,1910330.000000,4.294656,t009_0_1
5A,836359.000000,1882855.000000,4.294656,t009_0_1
6A,1125302.000000,2130529.000000,4.294656,t009_0_1
7A,776410.000000,2299062.000000,4.294656,t009_0_1
8A,631958.000000,2337823.000000,4.294656,t009_0_1
9A,658065.000000,2707210.000000,4.294656,t009_0_1
10A,393612.000000,2723641.000000,4.294656,t009_0_1
11A,104522.000000,3102995.000000,4.294656,t009_0_1
1A,1653772.000000,1769700.000000,4.831488,t010_0_1
2A,1775443.000000,1689241.000000,4.831488,t010_0_1
3A,1120584.000000,1898846.000000,4.831488,t010_0_1
4A,934628.000000,1919913.000000,4.831488,t010_0_1
5A,835689.000000,1913765.000000,4.831488,t010_0_1
6A,1122797.000000,2135336.000000,4.831488,t010_0_1
7A,792720.000000,2288350.000000,4.831488,t010_0_1
8A,632774.000000,2283821.000000,4.831488,t010_0_1
9A,668041.000000,2711781.000000,4.831488,t010_0_1
10A,397640.000000,2723038.000000,4.831488,t010_0_1
11A,104250.000000,3105882.000000,4.831488,t010_0_1
1A,1679105.000000,1764083.000000,5.368320,t011_0_1
2A,1780202.000000,1687045.000000,5.368320,t011_0_1
3A,1094257.000000,1960057.000000,5.368320,t011_0_1
4A,944821.000000,1910176.000000,5.368320,t011_0_1
5A,784404.000000,1922610.000000,5.368320,t011_0_1
6A,1115330.000000,2127209.000000,5.368320,t011_0_1
7A,819721.000000,2272581.000000,5.368320,t011_0_1
8A,631526.000000,2287723.000000,5.368320,t011_0_1
9A,675187.000000,2704571.000000,5.368320,t011_0_1
10A,395747.000000,2714188.000000,5.368320,t011_0_1
11A,103950.000000,3093885.000000,5.368320,t011_0_1
1A,1702155.000000,1777528.000000,5.905152,t012_0_1
2A,1774895.000000,1681300.000000,5.905152,t012_0_1
3A,1100445.000000,1967839.000000,5.905152,t012_0_1
4A,959958.000000,1916393.000000,5.905152,t012_0_1
5A,757164.000000,1933860.000000,5.905152,t012_0_1
6A,1078318.000000,2112680.000000,5.905152,t012_0_1
7A,928367.000000,2316170.000000,5.905152,t012_0_1
8A,637872.000000,2289831.000000,5.905152,t012_0_1
9A,676582.000000,2709605.000000,5.905152,t012_0_1
10A,384820.000000,2717807.000000,5.905152,t012_0_1
11A,103969.000000,3101641.000000,5.905152,t012_0_1
1A,1706163.000000,1780184.000000,6.441984,t013_0_1
2A,1798372.000000,1680076.000000,6.441984,t013_0_1
3A,1100983.000000,1961251.000000,6.441984,t013_0_1
4A,944777.000000,1921960.000000,6.441984,t013_0_1
5A,726268.000000,1931013.000000,6.441984,t013_0_1
6A,1010970.000000,2135988.000000,6.441984,t013_0_1
7A,1100270.000000,2289273.000000,6.441984,t013_0_1
8A,652879.000000,2329747.000000,6.441984,t013_0_1
9A,690948.000000,2715613.000000,6.441984,t013_0_1
10A,398328.000000,2725124.000000,6.441984,t013_0_1
11A,100751.000000,3103372.000000,6.441984,t013_0_1
1A,1706478.000000,1773607.000000,6.978816,t014_0_1
2A,1802305.000000,1687878.000000,6.978816,t014_0_1
3A,1098902.000000,1955247.000000,6.978816,t014_0_1
4A,930020.000000,1922660.000000,6.978816,t014_0_1
