ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Range:CH1,SD:CH1,3SD:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Range:CH2,SD:CH2,3SD:CH2,Time,Frame Id
1A,2676992.000000,1599.158901,4095.000000,28.000000,4067.000000,1571.432649,4714.297946,2092494.000000,1249.996416,1861.000000,228.000000,1633.000000,449.637854,1348.913561,0.000000,t001_0_1
2A,2174953.000000,1299.255078,4095.000000,28.000000,4067.000000,1559.262260,4677.786781,2173044.000000,1298.114695,1798.000000,271.000000,1527.000000,441.718782,1325.156347,0.000000,t001_0_1
3A,2168528.000000,1295.416965,4095.000000,27.000000,4068.000000,1553.203843,4659.611529,2302043.000000,1375.175030,1915.000000,351.000000,1564.000000,410.067949,1230.203846,0.000000,t001_0_1
4A,1781866.000000,1064.436081,4095.000000,28.000000,4067.000000,1429.172846,4287.518539,2358516.000000,1408.910394,1994.000000,325.000000,1669.000000,411.155240,1233.465719,0.000000,t001_0_1
5A,890610.000000,532.025090,4095.000000,26.000000,4069.000000,854.132000,2562.396000,2105638.000000,1257.848268,1954.000000,301.000000,1653.000000,439.047470,1317.142409,0.000000,t001_0_1
6A,851373.000000,508.586022,4095.000000,27.000000,4068.000000,805.786160,2417.358480,1783034.000000,1065.133811,1688.000000,286.000000,1402.000000,354.986348,1064.959043,0.000000,t001_0_1
7A,884020.000000,528.088411,4095.000000,26.000000,4069.000000,848.069219,2544.207658,2289803.000000,1367.863202,1822.000000,481.000000,1341.000000,335.733685,1007.201055,0.000000,t001_0_1
8A,882179.000000,526.988650,3808.000000,25.000000,3783.000000,778.541530,2335.624589,2215329.000000,1323.374552,1737.000000,534.000000,1203.000000,262.628718,787.886154,0.000000,t001_0_1
9A,685018.000000,409.210275,3745.000000,28.000000,3717.000000,506.321900,1518.965699,2553883.000000,1525.617085,1963.000000,879.000000,1084.000000,197.370410,592.111229,0.000000,t001_0_1
10A,479570.000000,286.481481,1351.000000,28.000000,1323.000000,188.398282,565.194847,2850476.000000,1702.793309,1977.000000,1438.000000,539.000000,70.447819,211.343456,0.000000,t001_0_1
11A,128891.000000,76.995818,322.000000,25.000000,297.000000,47.487123,142.461369,3237916.000000,1934.238949,2054.000000,1856.000000,198.000000,23.451065,70.353196,0.000000,t001_0_1
1A,2665297.000000,1592.172640,4095.000000,29.000000,4066.000000,1573.540914,4720.622742,2056167.000000,1228.295699,1856.000000,226.000000,1630.000000,450.627032,1351.881096,0.469376,t002_0_1
2A,2149878.000000,1284.275986,4095.000000,27.000000,4068.000000,1549.758580,4649.275741,2144873.000000,1281.286141,1798.000000,267.000000,1531.000000,444.544978,1333.634935,0.469376,t002_0_1
3A,2179640.000000,1302.054958,4095.000000,28.000000,4067.000000,1551.761347,4655.284042,2335453.000000,1395.133214,1898.000000,330.000000,1568.000000,392.386438,1177.159314,0.469376,t002_0_1
4A,1788123.000000,1068.173835,4095.000000,27.000000,4068.000000,1436.634353,4309.903060,2340932.000000,1398.406213,1972.000000,313.000000,1659.000000,415.395277,1246.185832,0.469376,t002_0_1
5A,899415.000000,537.284946,4095.000000,27.000000,4068.000000,853.431655,2560.294965,2133516.000000,1274.501792,1954.000000,279.000000,1675.000000,430.507045,1291.521135,0.469376,t002_0_1
6A,855864.000000,511.268817,3908.000000,27.000000,3881.000000,816.608936,2449.826807,1749629.000000,1045.178614,1696.000000,292.000000,1404.000000,362.480524,1087.441571,0.469376,t002_0_1
7A,893527.000000,533.767622,4095.000000,26.000000,4069.000000,891.582643,2674.747930,2255893.000000,1347.606332,1837.000000,484.000000,1353.000000,327.965334,983.896002,0.469376,t002_0_1
8A,859509.000000,513.446237,4095.000000,26.000000,4069.000000,774.536976,2323.610927,2272534.000000,1357.547192,1714.000000,533.000000,1181.000000,239.715331,719.145994,0.469376,t002_0_1
9A,680419.000000,406.462963,3247.000000,28.000000,3219.000000,486.041319,1458.123957,2513303.000000,1501.375747,1949.000000,827.000000,1122.000000,219.644462,658.933386,0.469376,t002_0_1
10A,484083.000000,289.177419,1368.000000,26.000000,1342.000000,196.366243,589.098730,2846982.000000,1700.706093,1989.000000,1380.000000,609.000000,73.495989,220.487966,0.469376,t002_0_1
11A,129267.000000,77.220430,342.000000,26.000000,316.000000,47.414059,142.242177,3247138.000000,1939.747909,2050.000000,1855.000000,195.000000,24.458211,73.374632,0.469376,t002_0_1
1A,2702458.000000,1614.371565,4095.000000,28.000000,4067.000000,1571.060426,4713.181278,2154920.000000,1287.287933,1868.000000,233.000000,1635.000000,426.110303,1278.330908,0.938752,t003_0_1
