ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Range:CH1,SD:CH1,3SD:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Range:CH2,SD:CH2,3SD:CH2,Time,Frame Id
1A,3370883.000000,2013.669654,4095.000000,42.000000,4053.000000,1573.238589,4719.715766,2006163.000000,1198.424731,1699.000000,239.000000,1460.000000,367.525634,1102.576901,0.000000,t001_0_1
2A,3684032.000000,2200.735962,4095.000000,38.000000,4057.000000,1651.343619,4954.030858,2007650.000000,1199.313023,1697.000000,254.000000,1443.000000,342.170284,1026.510851,0.000000,t001_0_1
3A,3790377.000000,2264.263441,4095.000000,73.000000,4022.000000,1603.145196,4809.435588,1994266.000000,1191.317802,1716.000000,291.000000,1425.000000,335.678785,1007.036355,0.000000,t001_0_1
4A,3495022.000000,2087.826762,4095.000000,29.000000,4066.000000,1685.255195,5055.765585,2210490.000000,1320.483871,1755.000000,276.000000,1479.000000,324.307753,972.923259,0.000000,t001_0_1
5A,1179560.000000,704.635603,4095.000000,32.000000,4063.000000,673.230164,2019.690493,2371266.000000,1416.526882,1839.000000,332.000000,1507.000000,296.991334,890.974003,0.000000,t001_0_1
6A,712928.000000,425.882915,1982.000000,30.000000,1952.000000,289.721564,869.164693,2485059.000000,1484.503584,1852.000000,440.000000,1412.000000,298.150590,894.451771,0.000000,t001_0_1
7A,854203.000000,510.276583,2917.000000,31.000000,2886.000000,374.093427,1122.280280,2586655.000000,1545.194146,1828.000000,471.000000,1357.000000,212.743093,638.229279,0.000000,t001_0_1
8A,1526864.000000,912.105137,3616.000000,32.000000,3584.000000,721.896294,2165.688881,2542309.000000,1518.703106,1862.000000,841.000000,1021.000000,169.568835,508.706506,0.000000,t001_0_1
9A,2631747.000000,1572.130824,3768.000000,136.000000,3632.000000,894.496552,2683.489656,2737536.000000,1635.326165,1921.000000,1136.000000,785.000000,143.303398,429.910193,0.000000,t001_0_1
10A,2184359.000000,1304.873955,3312.000000,71.000000,3241.000000,582.214994,1746.644981,2806427.000000,1676.479689,1977.000000,1282.000000,695.000000,117.906788,353.720364,0.000000,t001_0_1
11A,200868.000000,119.992832,433.000000,28.000000,405.000000,65.074995,195.224986,2990101.000000,1786.201314,1871.000000,1713.000000,158.000000,19.211163,57.633490,0.000000,t001_0_1
1A,3362642.000000,2008.746714,4095.000000,32.000000,4063.000000,1577.104653,4731.313958,1973823.000000,1179.105735,1677.000000,241.000000,1436.000000,363.363476,1090.090428,0.363660,t002_0_1
2A,3658863.000000,2185.700717,4095.000000,43.000000,4052.000000,1657.177174,4971.531523,2001697.000000,1195.756870,1728.000000,254.000000,1474.000000,344.272245,1032.816735,0.363660,t002_0_1
3A,3800745.000000,2270.456989,4095.000000,74.000000,4021.000000,1601.628877,4804.886632,1950697.000000,1165.290920,1673.000000,294.000000,1379.000000,321.840543,965.521630,0.363660,t002_0_1
4A,3425728.000000,2046.432497,4095.000000,30.000000,4065.000000,1680.610519,5041.831556,2206232.000000,1317.940263,1760.000000,263.000000,1497.000000,313.861349,941.584046,0.363660,t002_0_1
5A,1198682.000000,716.058542,4095.000000,41.000000,4054.000000,692.017772,2076.053315,2393698.000000,1429.927121,1798.000000,330.000000,1468.000000,294.106871,882.320612,0.363660,t002_0_1
6A,731888.000000,437.209080,2177.000000,29.000000,2148.000000,299.868032,899.604097,2538868.000000,1516.647551,1848.000000,436.000000,1412.000000,293.769257,881.307771,0.363660,t002_0_1
7A,940672.000000,561.930705,3166.000000,30.000000,3136.000000,469.160160,1407.480480,2527762.000000,1510.013142,1816.000000,461.000000,1355.000000,219.839590,659.518771,0.363660,t002_0_1
8A,1643575.000000,981.824970,3788.000000,32.000000,3756.000000,745.891859,2237.675577,2562023.000000,1530.479689,1845.000000,718.000000,1127.000000,170.991416,512.974248,0.363660,t002_0_1
9A,2514957.000000,1502.363799,3899.000000,143.000000,3756.000000,846.382934,2539.148801,2730842.000000,1631.327360,1904.000000,1120.000000,784.000000,143.112885,429.338655,0.363660,t002_0_1
10A,2040868.000000,1219.156511,2965.000000,88.000000,2877.000000,573.980529,1721.941588,2792113.000000,1667.928913,1984.000000,1289.000000,695.000000,119.866265,359.598795,0.363660,t002_0_1
11A,201797.000000,120.547790,459.000000,27.000000,432.000000,65.819132,197.457395,2990812.000000,1786.626045,1855.000000,1697.000000,158.000000,18.997546,56.992638,0.363660,t002_0_1
1A,3388998.000000,2024.491039,4095.000000,31.000000,4064.000000,1581.230437,4743.691310,1888778.000000,1128.302270,1605.000000,239.000000,1366.000000,344.459158,1033.377475,0.727320,t003_0_1
2A,3659661.000000,2186.177419,4095.000000,46.000000,4049.000000,1663.149542,4989.448625,2031492.000000,1213.555556,1734.000000,251.000000,1483.000000,342.500887,1027.502660,0.727320,t003_0_1
3A,3797956.000000,2268.790920,4095.000000,38.000000,4057.000000,1604.491830,4813.475491,1995903.000000,1192.295699,1690.000000,295.000000,1395.000000,328.289922,984.869765,0.727320,t003_0_1
4A,3382959.000000,2020.883513,4095.000000,32.000000,4063.000000,1677.824964,5033.474893,2161416.000000,1291.168459,1757.000000,263.000000,1494.000000,312.680496,938.041487,0.727320,t003_0_1
5A,1236478.000000,738.636798,4095.000000,51.000000,4044.000000,703.000430,2109.001291,2391173.000000,1428.418757,1764.000000,354.000000,1410.000000,291.419655,874.258966,0.727320,t003_0_1
6A,754334.000000,450.617682,2242.000000,29.000000,2213.000000,313.755861,941.267583,2505041.000000,1496.440263,1861.000000,444.000000,1417.000000,296.593898,889.781695,0.727320,t003_0_1
7A,1102263.000000,658.460573,3284.000000,29.000000,3255.000000,576.985052,1730.955156,2556517.000000,1527.190562,1825.000000,468.000000,1357.000000,218.679763,656.039290,0.727320,t003_0_1
8A,1702923.000000,1017.277778,3280.000000,28.000000,3252.000000,764.451868,2293.355603,2566921.000000,1533.405615,1834.000000,699.000000,1135.000000,191.844477,575.533430,0.727320,t003_0_1
9A,2458467.000000,1468.618280,3528.000000,132.000000,3396.000000,819.999091,2459.997274,2738962.000000,1636.178017,1910.000000,1181.000000,729.000000,137.193462,411.580385,0.727320,t003_0_1
