ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Range:CH1,SD:CH1,3SD:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Range:CH2,SD:CH2,3SD:CH2,Time,Frame Id
1A,4848247.000000,2896.204898,4095.000000,85.000000,4010.000000,1528.913512,4586.740536,2223153.000000,1328.048387,2465.000000,206.000000,2259.000000,618.093496,1854.280487,0.000000,t001_0_1
2A,4888075.000000,2919.997013,4095.000000,60.000000,4035.000000,1535.944010,4607.832031,2450630.000000,1463.936679,2471.000000,216.000000,2255.000000,547.273630,1641.820890,0.000000,t001_0_1
3A,4522205.000000,2701.436679,4095.000000,60.000000,4035.000000,1589.732136,4769.196408,2690505.000000,1607.231183,2474.000000,227.000000,2247.000000,578.191244,1734.573731,0.000000,t001_0_1
4A,4593713.000000,2744.153524,4095.000000,47.000000,4048.000000,1513.629964,4540.889892,2694236.000000,1609.459976,2446.000000,214.000000,2232.000000,534.179859,1602.539577,0.000000,t001_0_1
5A,4198345.000000,2507.971924,4095.000000,96.000000,3999.000000,1431.913981,4295.741943,2766464.000000,1652.606930,2457.000000,220.000000,2237.000000,570.355076,1711.065227,0.000000,t001_0_1
6A,2980562.000000,1780.502987,4095.000000,41.000000,4054.000000,1400.621679,4201.865038,2673335.000000,1596.974313,2436.000000,213.000000,2223.000000,745.501601,2236.504802,0.000000,t001_0_1
7A,3390147.000000,2025.177419,4095.000000,29.000000,4066.000000,1445.395699,4336.187096,2573347.000000,1537.244325,2442.000000,235.000000,2207.000000,666.781770,2000.345310,0.000000,t001_0_1
8A,2528584.000000,1510.504182,4095.000000,60.000000,4035.000000,1212.136215,3636.408646,2541867.000000,1518.439068,2471.000000,225.000000,2246.000000,748.895571,2246.686713,0.000000,t001_0_1
9A,2627965.000000,1569.871565,4095.000000,32.000000,4063.000000,1379.300358,4137.901075,2514763.000000,1502.247909,2480.000000,227.000000,2253.000000,710.861280,2132.583839,0.000000,t001_0_1
10A,3158540.000000,1886.821983,4095.000000,51.000000,4044.000000,1543.073601,4629.220802,2499849.000000,1493.338710,2500.000000,237.000000,2263.000000,754.960485,2264.881455,0.000000,t001_0_1
11A,2903672.000000,1734.571087,4095.000000,59.000000,4036.000000,1475.093166,4425.279497,2544878.000000,1520.237754,2498.000000,241.000000,2257.000000,713.512494,2140.537483,0.000000,t001_0_1
12A,2882493.000000,1721.919355,4095.000000,29.000000,4066.000000,1568.244948,4704.734845,2661455.000000,1589.877539,2512.000000,267.000000,2245.000000,649.088764,1947.266292,0.000000,t001_0_1
13A,2716992.000000,1623.053763,4095.000000,29.000000,4066.000000,1568.770543,4706.311628,2717962.000000,1623.633214,2538.000000,260.000000,2278.000000,729.438805,2188.316416,0.000000,t001_0_1
14A,2084909.000000,1245.465352,4095.000000,29.000000,4066.000000,1324.868577,3974.605730,2979592.000000,1779.923536,2534.000000,256.000000,2278.000000,652.866667,1958.600002,0.000000,t001_0_1
15A,1440088.000000,860.267622,4095.000000,27.000000,4068.000000,985.825305,2957.475916,2987199.000000,1784.467742,2558.000000,284.000000,2274.000000,641.937123,1925.811368,0.000000,t001_0_1
16A,1255888.000000,750.231780,4095.000000,29.000000,4066.000000,791.780371,2375.341114,2971412.000000,1775.037037,2555.000000,274.000000,2281.000000,711.763820,2135.291461,0.000000,t001_0_1
17A,861676.000000,514.740741,4095.000000,28.000000,4067.000000,492.669019,1478.007056,3310673.000000,1977.701912,2565.000000,507.000000,2058.000000,508.618491,1525.855474,0.000000,t001_0_1
18A,895390.000000,534.880526,4095.000000,29.000000,4066.000000,474.317246,1422.951737,3283283.000000,1961.339904,2560.000000,265.000000,2295.000000,708.899167,2126.697500,0.000000,t001_0_1
19A,597792.000000,357.103943,1355.000000,28.000000,1327.000000,232.198953,696.596858,3812354.000000,2277.391876,2568.000000,1496.000000,1072.000000,145.498593,436.495778,0.000000,t001_0_1
20A,65712.000000,39.254480,187.000000,25.000000,162.000000,19.341328,58.023984,4192982.000000,2504.768220,2534.000000,2475.000000,59.000000,9.313024,27.939072,0.000000,t001_0_1
1A,4833121.000000,2887.169056,4095.000000,108.000000,3987.000000,1533.563739,4600.691218,2226459.000000,1330.023297,2477.000000,203.000000,2274.000000,618.118076,1854.354228,0.678656,t002_0_1
2A,4875235.000000,2912.326762,4095.000000,58.000000,4037.000000,1537.235222,4611.705665,2455678.000000,1466.952210,2465.000000,216.000000,2249.000000,549.868206,1649.604619,0.678656,t002_0_1
3A,4544608.000000,2714.819594,4095.000000,96.000000,3999.000000,1582.940812,4748.822437,2701300.000000,1613.679809,2482.000000,228.000000,2254.000000,580.957723,1742.873169,0.678656,t002_0_1
4A,4619641.000000,2759.642174,4095.000000,93.000000,4002.000000,1504.361404,4513.084212,2706052.000000,1616.518519,2453.000000,217.000000,2236.000000,532.001306,1596.003918,0.678656,t002_0_1
5A,4210625.000000,2515.307646,4095.000000,75.000000,4020.000000,1438.777204,4316.331611,2768631.000000,1653.901434,2461.000000,218.000000,2243.000000,571.235796,1713.707389,0.678656,t002_0_1
6A,2966168.000000,1771.904421,4095.000000,45.000000,4050.000000,1400.452975,4201.358926,2665448.000000,1592.262843,2451.000000,217.000000,2234.000000,748.122983,2244.368949,0.678656,t002_0_1
7A,3294242.000000,1967.886499,4095.000000,29.000000,4066.000000,1423.289674,4269.869023,2590995.000000,1547.786738,2462.000000,234.000000,2228.000000,666.299356,1998.898069,0.678656,t002_0_1
8A,2504581.000000,1496.165472,4095.000000,91.000000,4004.000000,1194.058473,3582.175418,2546266.000000,1521.066906,2479.000000,226.000000,2253.000000,749.249290,2247.747870,0.678656,t002_0_1
9A,2639578.000000,1576.808841,4095.000000,28.000000,4067.000000,1375.663968,4126.991903,2553051.000000,1525.120072,2490.000000,223.000000,2267.000000,719.229151,2157.687453,0.678656,t002_0_1
10A,3149240.000000,1881.266428,4095.000000,28.000000,4067.000000,1544.182480,4632.547441,2500883.000000,1493.956392,2491.000000,238.000000,2253.000000,752.371891,2257.115673,0.678656,t002_0_1
11A,2900627.000000,1732.752091,4095.000000,31.000000,4064.000000,1479.475782,4438.427347,2559573.000000,1529.016129,2493.000000,246.000000,2247.000000,714.894063,2144.682189,0.678656,t002_0_1
12A,2885083.000000,1723.466547,4095.000000,30.000000,4065.000000,1568.081668,4704.245003,2657447.000000,1587.483274,2507.000000,266.000000,2241.000000,648.986527,1946.959582,0.678656,t002_0_1
13A,2733579.000000,1632.962366,4095.000000,29.000000,4066.000000,1564.002110,4692.006329,2713711.000000,1621.093787,2530.000000,259.000000,2271.000000,729.332197,2187.996592,0.678656,t002_0_1
14A,2105306.000000,1257.649940,4095.000000,28.000000,4067.000000,1336.376459,4009.129377,2984202.000000,1782.677419,2530.000000,255.000000,2275.000000,645.633529,1936.900586,0.678656,t002_0_1
15A,1442451.000000,861.679211,4095.000000,29.000000,4066.000000,984.918023,2954.754070,2989889.000000,1786.074671,2542.000000,293.000000,2249.000000,638.908565,1916.725694,0.678656,t002_0_1
16A,1235274.000000,737.917563,4095.000000,33.000000,4062.000000,790.825611,2372.476834,2947050.000000,1760.483871,2548.000000,277.000000,2271.000000,709.976653,2129.929958,0.678656,t002_0_1
17A,849153.000000,507.259857,4095.000000,30.000000,4065.000000,504.457017,1513.371050,3322899.000000,1985.005376,2550.000000,531.000000,2019.000000,496.911305,1490.733916,0.678656,t002_0_1
18A,896208.000000,535.369176,4081.000000,29.000000,4052.000000,470.896292,1412.688876,3274501.000000,1956.093787,2567.000000,267.000000,2300.000000,709.583277,2128.749830,0.678656,t002_0_1
19A,597968.000000,357.209080,1375.000000,25.000000,1350.000000,233.753123,701.259370,3815621.000000,2279.343489,2573.000000,1493.000000,1080.000000,144.381856,433.145568,0.678656,t002_0_1
20A,65120.000000,38.900836,186.000000,25.000000,161.000000,19.550558,58.651675,4192541.000000,2504.504779,2541.000000,2463.000000,78.000000,11.459462,34.378386,0.678656,t002_0_1
1A,4834638.000000,2888.075269,4095.000000,90.000000,4005.000000,1534.863214,4604.589643,2241587.000000,1339.060335,2470.000000,205.000000,2265.000000,619.724515,1859.173546,1.357312,t003_0_1
2A,4866296.000000,2906.986858,4095.000000,76.000000,4019.000000,1541.888086,4625.664257,2461102.000000,1470.192354,2474.000000,218.000000,2256.000000,551.984707,1655.954122,1.357312,t003_0_1
3A,4560285.000000,2724.184588,4095.000000,71.000000,4024.000000,1580.701497,4742.104491,2716275.000000,1622.625448,2489.000000,226.000000,2263.000000,583.677842,1751.033526,1.357312,t003_0_1
4A,4625120.000000,2762.915173,4095.000000,59.000000,4036.000000,1522.533237,4567.599710,2695975.000000,1610.498805,2453.000000,213.000000,2240.000000,539.700272,1619.100817,1.357312,t003_0_1
5A,4174400.000000,2493.667861,4095.000000,110.000000,3985.000000,1445.572905,4336.718715,2777831.000000,1659.397252,2472.000000,219.000000,2253.000000,575.197508,1725.592525,1.357312,t003_0_1
6A,2877906.000000,1719.179211,4095.000000,47.000000,4048.000000,1397.636000,4192.907999,2666826.000000,1593.086022,2451.000000,218.000000,2233.000000,755.158202,2265.474606,1.357312,t003_0_1
7A,3277112.000000,1957.653524,4095.000000,28.000000,4067.000000,1416.358881,4249.076642,2598145.000000,1552.057945,2452.000000,235.000000,2217.000000,674.285112,2022.855335,1.357312,t003_0_1
8A,2522140.000000,1506.654719,4095.000000,103.000000,3992.000000,1185.930874,3557.792623,2551892.000000,1524.427718,2472.000000,228.000000,2244.000000,750.171133,2250.513399,1.357312,t003_0_1
9A,2628106.000000,1569.955795,4095.000000,30.000000,4065.000000,1385.682029,4157.046088,2552012.000000,1524.499403,2491.000000,231.000000,2260.000000,712.583942,2137.751827,1.357312,t003_0_1
10A,3150236.000000,1881.861410,4095.000000,34.000000,4061.000000,1537.333219,4611.999656,2508770.000000,1498.667861,2488.000000,243.000000,2245.000000,754.159996,2262.479988,1.357312,t003_0_1
