ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Range:CH1,SD:CH1,3SD:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Range:CH2,SD:CH2,3SD:CH2,Time,Frame Id
1A,2364039.000000,1412.209677,4095.000000,31.000000,4064.000000,1045.062366,3135.187098,2758473.000000,1647.833333,1916.000000,953.000000,963.000000,210.479422,631.438265,0.000000,t001_0_1
2A,1563135.000000,933.772401,4095.000000,27.000000,4068.000000,732.258915,2196.776745,2648918.000000,1582.388292,2312.000000,601.000000,1711.000000,389.544862,1168.634585,0.000000,t001_0_1
3A,1750930.000000,1045.955795,4083.000000,28.000000,4055.000000,906.403265,2719.209795,2879178.000000,1719.939068,2354.000000,986.000000,1368.000000,285.588093,856.764280,0.000000,t001_0_1
4A,1712060.000000,1022.735962,3032.000000,27.000000,3005.000000,802.070772,2406.212317,2943519.000000,1758.374552,2413.000000,1080.000000,1333.000000,236.307818,708.923454,0.000000,t001_0_1
5A,2390745.000000,1428.163082,4095.000000,28.000000,4067.000000,1128.801251,3386.403753,2957081.000000,1766.476105,2414.000000,767.000000,1647.000000,322.426180,967.278539,0.000000,t001_0_1
6A,2215798.000000,1323.654719,4095.000000,28.000000,4067.000000,1109.524702,3328.574105,2397202.000000,1432.020311,2400.000000,299.000000,2101.000000,610.518478,1831.555434,0.000000,t001_0_1
7A,1972134.000000,1178.096774,4095.000000,29.000000,4066.000000,1081.446048,3244.338145,3013083.000000,1799.930108,2416.000000,224.000000,2192.000000,584.540697,1753.622090,0.000000,t001_0_1
8A,1748650.000000,1044.593787,4095.000000,27.000000,4068.000000,980.341305,2941.023916,2856786.000000,1706.562724,2416.000000,216.000000,2200.000000,733.339062,2200.017185,0.000000,t001_0_1
9A,1829493.000000,1092.887097,4095.000000,26.000000,4069.000000,1043.857770,3131.573310,2973765.000000,1776.442652,2434.000000,228.000000,2206.000000,627.749349,1883.248048,0.000000,t001_0_1
10A,2277762.000000,1360.670251,4095.000000,84.000000,4011.000000,1229.791797,3689.375392,2878432.000000,1719.493429,2432.000000,222.000000,2210.000000,692.145689,2076.437067,0.000000,t001_0_1
11A,2849648.000000,1702.298686,4095.000000,29.000000,4066.000000,1562.558359,4687.675076,2842747.000000,1698.176225,2449.000000,234.000000,2215.000000,659.206319,1977.618956,0.000000,t001_0_1
12A,2846031.000000,1700.137993,4095.000000,30.000000,4065.000000,1480.948445,4442.845336,2752662.000000,1644.362007,2451.000000,222.000000,2229.000000,716.729701,2150.189102,0.000000,t001_0_1
