										AB_Fed#2_Retrograde_evts_formatted.txt
ROI	Quadrant	Direction	Start time (s)	End time (s)	Peak time (s)	Duration (s)	Amplitude	Midpoint (s)	Half Duration(s)	AUC
1A	2	b	1.777644	15.998796	4.740384	14.221152	-1.388462854428119	8.88822	7.110576	-17.473755921529726	
1A	2	b	16.591344	32.59014	19.554084	15.998795999999999	-1.6846368735227926	24.294468	7.999397999999999	-24.80457626414057	
1A	2	b	34.367784	49.181484	36.737976	14.813699999999997	-1.5538107970293304	41.47836	7.406849999999999	-20.53434671353558	
1A	2	b	50.959128	62.810088	53.32932	11.85096	-1.1999700773541018	56.884608	5.92548	-13.518506340498407	
1A	2	b	63.402636	78.808884	66.365376	15.406248000000005	-0.7641579672699339	71.10576	7.7031240000000025	-8.261281459449613	
1A	2	b	79.401432	93.030036	82.364172	13.628603999999996	-0.8753362525711443	85.91946	6.814301999999998	-8.74349922143099	
1A	2	b	93.622584	95.992776	93.622584	2.370192000000003	-0.07563974629789261	94.80768	1.1850960000000015	-0.05529320079963185	
1A	2	b	96.585324	108.436284	98.955516	11.85096	-0.5061782591556745	102.510804	5.92548	-4.786586850956239	
1A	2	b	109.028832	124.43508	113.769216	15.406248000000005	-0.38343792379491326	116.731956	7.7031240000000025	-4.07969915655397	
1A	2	b	125.027628	139.841328	130.36056	14.813699999999997	-0.1388002785551521	132.138204	7.406849999999999	-1.173985115473712	
1A	4	a	140.433876	142.21152	141.026424	1.7776440000000093	0.06487915849086434	141.026424	0.8888220000000047	0.09635665131298721	
1A	2	b	144.581712	151.09974	146.359356	6.518027999999987	-0.08244566487784777	147.544452	3.2590139999999934	-0.4282409129638629	
1A	2	b	151.692288	157.02522	151.692288	5.332932	-0.08454587490171495	154.06248	2.666466	-0.339725798623435	
1A	4	a	158.802864	160.580508	158.802864	1.7776440000000093	0.023738695616033922	159.395412	0.8888220000000047	0.015646107067659898	
1A	2	b	161.173056	172.431468	171.246372	11.258411999999993	-0.1181432518180845	166.505988	5.629205999999996	-0.9224497746645093	
1A	2	b	173.024016	193.763196	181.319688	20.739180000000005	-0.16797386487001909	183.097332	10.369590000000002	-2.6499924050696433	
1A	2	b	194.355744	205.614156	200.873772	11.258412000000021	-0.18694300003354325	199.688676	5.629206000000011	-1.9215414514597429	
1A	4	a	209.761992	211.539636	210.947088	1.7776440000000093	0.030830974015800372	210.35454	0.8888220000000047	0.02816259114396802	
1A	4	a	212.132184	213.909828	212.724732	1.7776440000000093	0.029780252423490694	212.724732	0.8888220000000047	0.04493977831790019	
1A	2	b	214.502376	217.465116	216.28002	2.9627399999999966	-0.07497974013125575	215.687472	1.4813699999999983	-0.18363621757064097	
1A	2	b	218.057664	222.2055	221.020404	4.147836000000012	-0.09402885577462516	219.835308	2.073918000000006	-0.38090171903611036	
1A	2	b	225.760788	229.316076	227.538432	3.5552880000000187	-0.10898205844600461	227.538432	1.7776440000000093	-0.24764440522673103	
1A	2	b	229.908624	241.759584	232.871364	11.850959999999986	-0.2880344570372788	235.834104	5.925479999999993	-3.1070513109829467	
1A	2	b	242.352132	260.72112	255.388188	18.368987999999973	-0.1541811223581151	251.240352	9.184493999999987	-2.5076272007580864	
1A	2	b	261.313668	274.942272	268.424244	13.628603999999996	-0.3169134563811733	267.831696	6.814301999999998	-2.7465947345958512	
1A	2	b	275.53482	291.533616	283.237944	15.99879599999997	-0.8849889944575002	283.237944	7.999397999999985	-7.879084186125272	
1A	2	b	292.126164	308.12496	298.644192	15.99879599999997	-0.6879129189956252	299.829288	7.999397999999985	-9.11847604255628	
1A	2	b	308.717508	325.308852	313.457892	16.591343999999992	-1.2594031098340857	317.01318	8.295671999999996	-16.700991998551135	
1A	2	b	325.9014	341.900196	328.86414	15.99879599999997	-1.5262977367938073	333.604524	7.999397999999985	-20.743690904890215	
