										AB_Fed#6_Cloaca_evts_formatted.txt
ROI	Quadrant	Direction	Start time (s)	End time (s)	Peak time (s)	Duration (s)	Amplitude	Midpoint (s)	Half Duration(s)	AUC
17A	2	b	2.370192	9.480768	4.740384	7.110576	-0.10217977610143247	5.92548	3.555288	-0.7375398648753877	
17A	2	b	13.036056	18.961536	14.8137	5.9254799999999985	-0.09230143529695578	15.998796	2.9627399999999993	-0.4358925281403834	
17A	2	b	19.554084	28.442304	24.887016	8.88822	-0.1261711598043025	23.70192	4.44411	-1.0245924140184037	
17A	2	b	29.034852	35.55288	30.812496	6.518028000000001	-0.1953680278810337	31.997592	3.2590140000000005	-1.5645168949298003	
17A	4	a	40.293264	46.811292	45.033648	6.518028000000001	0.33688408842333484	43.256004	3.2590140000000005	1.8493231992094292	
17A	2	b	47.40384	52.144224	47.996388	4.740383999999999	-0.4382851348540431	49.774032	2.3701919999999994	-2.0737316064880726	
17A	2	b	52.736772	57.477156	55.106964	4.740383999999999	-0.2597829357791097	55.106964	2.3701919999999994	-1.1561834782454796	
17A	2	b	58.069704	63.995184	61.032444	5.92548	-0.4790771086598884	61.032444	2.96274	-2.9013328698337553	
17A	2	b	65.772828	71.10576	66.365376	5.332932	-0.2264381185670996	68.14302	2.666466	-1.0956233071225323	
17A	2	b	71.698308	76.438692	74.0685	4.740384000000006	-0.20082021196353583	74.0685	2.370192000000003	-0.8842305826681449	
17A	2	b	77.03124	81.771624	79.99398	4.740384000000006	-0.16764539364939912	79.401432	2.370192000000003	-0.7507131260056745	
17A	2	b	85.326912	88.289652	85.91946	2.962740000000011	-0.09401993541137532	86.512008	1.4813700000000054	-0.20697134720389054	
17A	2	b	91.252392	95.992776	93.030036	4.740384000000006	-0.22527740094129056	93.622584	2.370192000000003	-0.9712517728839851	
17A	2	b	97.77042	99.548064	98.362968	1.7776439999999951	-0.2012684626809187	98.362968	0.8888219999999976	-0.37774584931339783	
17A	4	a	100.140612	104.288448	101.325708	4.147835999999998	0.09994645466770358	101.918256	2.073917999999999	0.29994787617773566	
17A	2	b	104.880996	115.54686	111.991572	10.665864	-0.7914844405790631	110.213928	5.332932	-7.958475370093355	
