										AB_Fed#9_Anterograde_evts_formatted.txt
ROI	Quadrant	Direction	Start time (s)	End time (s)	Peak time (s)	Duration (s)	Amplitude	Midpoint (s)	Half Duration(s)	AUC
8A	4	a	2.370192	8.295672	5.332932	5.92548	0.05332498811316011	5.332932	2.96274	0.24638075883925636	
8A	4	a	8.88822	23.109372	13.036056	14.221152	0.5943404948192081	15.998796	7.110576	5.24791217243245	
8A	4	a	23.70192	37.330524	27.257208	13.628603999999996	0.07052633872153002	30.219948	6.814301999999998	0.7671764888296508	
8A	4	a	37.923072	74.0685	62.21754	36.145428	0.7949221383526157	55.699512	18.072714	9.351040640837532	
8A	4	a	74.661048	81.179076	77.03124	6.518028000000001	0.07386602928466779	77.623788	3.2590140000000005	0.37586963388564687	
8A	4	a	81.771624	87.104556	84.141816	5.332932	0.04070549172802762	84.141816	2.666466	0.1628257537161517	
8A	4	a	87.697104	90.067296	87.697104	2.370192000000003	0.012113615566845759	88.8822	1.1850960000000015	0.024466787860590422	
8A	4	a	90.659844	92.437488	91.252392	1.7776439999999951	0.04033655749121179	91.252392	0.8888219999999976	0.05629584184481029	
8A	4	a	93.030036	97.177872	94.215132	4.147835999999998	0.05581536437470147	94.80768	2.073917999999999	0.1381653128547311	
8A	4	a	97.77042	105.473544	100.140612	7.7031240000000025	0.04001216476730596	101.325708	3.8515620000000013	0.17151659466364833	
8A	4	a	106.066092	108.436284	107.251188	2.370192000000003	0.03209486854548915	107.251188	1.1850960000000015	0.07024281954239053	
8A	4	a	109.028832	125.027628	116.731956	15.998796000000013	0.23351703233270316	116.731956	7.9993980000000064	2.843485044557756	
8A	4	a	125.620176	168.283632	159.98796	42.66345600000001	0.20029509172323734	146.951904	21.331728000000005	7.564688745239782	
8A	4	a	168.87618	234.05646	226.945884	65.18027999999998	0.3010023253876104	201.46632	32.59013999999999	10.672670597459568	
8A	4	a	234.649008	272.57208	248.87016	37.92307200000002	0.1111545874068991	253.610544	18.96153600000001	3.8414143218073953	
8A	4	a	273.164628	283.830492	279.090108	10.665864	0.6958804261030793	278.49756	5.332932	6.370640183442007	
8A	4	a	284.42304	292.718712	285.608136	8.295671999999968	0.04991228153176963	288.570876	4.147835999999984	0.4194548227700776	
8A	4	a	295.088904	318.198276	314.642988	23.109372000000008	0.17047331749631134	306.347316	11.554686000000004	2.163674330772743	
8A	4	a	318.790824	360.269184	324.123756	41.47836000000001	0.58982628711584	339.530004	20.739180000000005	15.172801848328698	
9A	4	a	1.185096	7.703124	5.332932	6.518028	0.08457149783061713	4.147836	3.259014	0.41317934336077355	
9A	4	a	10.073316	25.479564	18.961536	15.406248	0.3045854392682208	17.77644	7.703124	3.6032056277691593	
