										AB_Unfed#1_Anterograde_evts_formatted.txt
ROI	Quadrant	Direction	Start time (s)	End time (s)	Peak time (s)	Duration (s)	Amplitude	Midpoint (s)	Half Duration(s)	AUC
8A	4	a	0.0	15.674592	6.133536	15.674592	1.27813652514069	7.496544	7.837296	19.32135558108779	
8A	4	a	16.356096	37.48272	23.171136	21.126624	3.68219390576889	26.578656	10.563312	56.05687528405087	
8A	2	b	38.164224	46.342272	43.616256	8.178048000000004	-0.3223658814064567	42.253248	4.089024000000002	-2.383415119043544	
8A	4	a	47.023776	53.838816	47.023776	6.815040000000003	0.19481463957132572	50.431296	3.4075200000000017	0.825662264282927	
8A	4	a	54.52032	77.691456	66.787392	23.171136000000004	1.0303107720562492	66.105888	11.585568000000002	14.144430269067549	
8A	4	a	78.37296	81.78048	79.735968	3.407519999999991	0.0517088981363214	79.735968	1.7037599999999955	0.16223699927824242	
8A	4	a	82.461984	96.773568	91.321536	14.311583999999996	0.3875941437810204	89.277024	7.155791999999998	3.8135977869949915	
8A	4	a	101.544096	103.588608	101.544096	2.0445119999999974	0.03164845494663204	102.2256	1.0222559999999987	0.04031070303340467	
8A	4	a	105.63312	158.108928	132.211776	52.47580799999999	1.0260442778640186	131.530272	26.237903999999993	48.76622259860264	
8A	4	a	160.15344	171.057504	169.012992	10.904064000000005	0.3885591833264268	165.605472	5.452032000000003	2.7008517514578574	
8A	2	b	171.739008	175.146528	173.78352	3.407519999999977	-0.12239605133080822	173.102016	1.7037599999999884	-0.2585271771328266	
8A	4	a	175.828032	202.406688	188.776608	26.578655999999995	3.305664442412972	188.776608	13.289327999999998	68.98635825712122	
8A	2	b	203.088192	231.71136	222.851808	28.62316800000002	-1.7401157798178692	217.399776	14.31158400000001	-44.91576539211433	
8A	4	a	232.392864	252.837984	240.570912	20.445120000000003	2.836032135828904	242.615424	10.222560000000001	55.51835008552201	
8A	2	b	253.519488	278.735136	261.697536	25.215648000000016	-1.7798693832696681	265.78656	12.607824000000008	-38.87289960078115	
8A	4	a	280.779648	318.943872	298.498752	38.16422399999999	7.486260147785904	299.86176	19.082111999999995	186.03499105034373	
8A	4	a	319.625376	323.032896	319.625376	3.407519999999977	0.2563377455220266	320.988384	1.7037599999999884	0.7997270216094412	
8A	2	b	323.7144	335.981472	327.12192	12.267071999999985	-1.1539303183110734	329.847936	6.133535999999992	-14.186587172555631	
8A	4	a	336.662976	347.56704	340.752	10.904064000000005	0.4112269767861747	342.115008	5.452032000000003	3.9554048489485525	
8A	4	a	349.611552	393.909312	359.834112	44.29775999999998	3.967938151895199	371.41968	22.14887999999999	158.31665597581502	
8A	4	a	394.590816	417.761952	412.30992	23.17113599999999	3.1850655891695787	406.176384	11.585567999999995	50.099150469430455	
8A	4	a	418.443456	465.467232	432.75504	47.023776	3.007836416670999	441.614592	23.511888	101.8288751667957	
8A	4	a	470.919264	489.319872	475.008288	18.400607999999977	3.0075663855460313	479.778816	9.200303999999988	46.38875945235378	
8A	2	b	491.364384	498.860928	495.453408	7.4965440000000285	-1.19541054358214	494.771904	3.7482720000000143	-7.865322590172682	
8A	4	a	499.542432	519.306048	513.172512	19.763616000000013	2.1684121822472857	509.083488	9.881808000000007	36.31214974114482	
8A	4	a	519.987552	577.915392	553.381248	57.92783999999995	7.079923718988811	548.61072	28.963919999999973	342.6567856771775	
8A	2	b	578.596896	599.72352	591.545472	21.126623999999993	-5.070112260523426	588.819456	10.563311999999996	-87.10602639934811	
9A	2	b	0.0	2.044512	0.0	2.044512	-0.0770778083624113	0.681504	1.022256	-0.1243140354595289	
9A	4	a	2.726016	5.452032	2.726016	2.726016	0.07952499721887385	4.089024	1.363008	0.10375141710657809	
9A	4	a	6.133536	18.400608	10.904064	12.267071999999999	0.3241496541934814	12.267072	6.133535999999999	2.7843687476272576	
9A	4	a	19.082112	42.934752	23.85264	23.852640000000005	2.9651856222761945	30.66768	11.926320000000002	44.81399772258083	
9A	2	b	43.616256	66.105888	53.838816	22.489631999999993	-0.27240954448554255	54.52032	11.244815999999997	-5.067863402549211	
9A	4	a	66.787392	69.513408	67.468896	2.7260160000000013	0.09517297242088496	68.1504	1.3630080000000007	0.22625847293627666	
9A	4	a	70.194912	75.646944	72.239424	5.452032000000003	0.09676036363567775	72.920928	2.7260160000000013	0.45609865085796675	
9A	4	a	77.691456	81.098976	79.735968	3.407519999999991	0.0435628794470313	79.054464	1.7037599999999955	0.1257478909326879	
9A	4	a	81.78048	85.869504	83.143488	4.089024000000009	0.0706595006641586	83.824992	2.0445120000000045	0.23853874338569714	
9A	4	a	86.551008	98.136576	91.321536	11.58556800000001	0.14965185899399946	92.00304	5.792784000000005	1.228374201348061	
9A	4	a	98.81808	106.314624	101.544096	7.496544	0.26697270240289717	102.2256	3.748272	1.7837393330220987	
