										AB_Unfed#2_Cloaca_evts_formatted.txt
ROI	Quadrant	Direction	Start time (s)	End time (s)	Peak time (s)	Duration (s)	Amplitude	Midpoint (s)	Half Duration(s)	AUC
17A	2	b	1.729056	10.374336	2.305408	8.64528	-0.06498828546189594	5.76352	4.32264	-0.36015160531861845	
17A	2	b	13.256096	16.714208	15.561504	3.458112	-0.07281894632403763	14.985152	1.729056	-0.25876734610052554	
17A	2	b	17.29056	19.595968	18.443264	2.305408	-0.09179194632674115	18.443264	1.152704	-0.1545887766834424	
17A	2	b	20.17232	22.477728	20.17232	2.305408	-0.049897883547194155	21.325024	1.152704	-0.05204475581155643	
17A	2	b	24.206784	27.088544	25.93584	2.88176	-0.060476597081996264	25.359488	1.44088	-0.11656028986019007	
17A	2	b	27.664896	38.039232	34.004768	10.374336	-0.06527385561508936	32.852064	5.187168	-0.5580183358848987	
17A	2	b	40.34464	47.837216	43.2264	7.492576	-0.12056298829873402	43.802752	3.746288	-0.8099703792542543	
17A	2	b	48.413568	57.058848	51.295328	8.64528	-0.11446621395525414	52.448032	4.32264	-0.8213307902399525	
17A	2	b	57.6352	68.585888	64.551424	10.950688	-0.11179644908054653	62.822368	5.475344	-1.2690692360323261	
17A	2	b	69.16224	76.654816	74.349408	7.492576	-0.04290084541514583	72.620352	3.746288	-0.32013560933181595	
17A	2	b	80.112928	82.994688	80.68928	2.88176	-0.04687464814684095	81.265632	1.44088	-0.15474718420315092	
17A	2	b	87.029152	99.132544	88.758208	12.103392	-0.05970603937676433	92.792672	6.051696	-0.40237137260897726	
17A	2	b	107.777824	109.50688	108.930528	1.729056	-0.04846624037020897	108.354176	0.864528	-0.05802005377994335	
17A	2	b	110.083232	113.541344	111.235936	3.458112	-0.04523618081627534	111.812288	1.729056	-0.1237967465815144	
17A	2	b	116.999456	123.339328	119.304864	6.339872	-0.053423113172814674	119.881216	3.169936	-0.2548581776344607	
17A	2	b	123.91568	127.950144	124.492032	4.034464	-0.04919643093904158	125.644736	2.017232	-0.13076908149446465	
17A	2	b	129.6792	142.935296	137.748128	13.256095999999985	-0.13146625702411008	136.019072	6.628047999999993	-1.7543695433417366	
17A	2	b	144.664352	150.427872	147.546112	5.76352	-0.05728857562610701	147.546112	2.88176	-0.21521099986236392	
17A	2	b	152.73328	154.462336	153.885984	1.7290559999999857	-0.05193235967143117	153.309632	0.8645279999999929	-0.0600096934814911	
17A	2	b	160.802208	163.683968	160.802208	2.8817599999999857	-0.04993898507984884	161.954912	1.4408799999999928	-0.08020887903489848	
17A	2	b	167.14208	169.447488	167.718432	2.305408	-0.0784367992848174	168.294784	1.152704	-0.18742189231770423	
17A	2	b	173.481952	179.245472	176.363712	5.76352	-0.06342927337035498	176.363712	2.88176	-0.25658208861522724	
17A	2	b	189.043456	205.181312	200.570496	16.137856	-0.09144036815212919	197.112384	8.068928	-1.4271380095613004	
17A	2	b	205.757664	207.48672	206.334016	1.7290559999999857	-0.043323771709935066	206.334016	0.8645279999999929	-0.059709913888925215	
17A	2	b	208.063072	210.36848	208.063072	2.305408	-0.03191490691097476	209.215776	1.152704	-0.06237867553451104	
17A	2	b	210.944832	216.708352	213.826592	5.76352	-0.07702115573307333	213.826592	2.88176	-0.43755445816669924	
17A	2	b	217.284704	225.353632	221.319168	8.068928	-0.11880453654690681	221.319168	4.034464	-0.44945010440667454	
17A	2	b	225.929984	229.964448	226.506336	4.034464000000014	-0.0593833112544111	227.65904	2.017232000000007	-0.21879646994381408	
17A	2	b	230.5408	235.727968	233.42256	5.187168000000014	-0.11827519480972937	232.846208	2.593584000000007	-0.7191311836564442	
17A	2	b	236.30432	238.033376	236.30432	1.7290560000000141	-0.03882919527860329	236.880672	0.8645280000000071	-0.04533227472631185	
17A	4	a	238.609728	240.338784	239.762432	1.7290560000000141	0.03209429939338371	239.18608	0.8645280000000071	0.022077287896411946	
17A	2	b	240.915136	244.373248	243.220544	3.458112	-0.06375917806747688	242.644192	1.729056	-0.20243175204238106	
