										AB_Unfed#4_Retrograde_evts_formatted.txt
ROI	Quadrant	Direction	Start time (s)	End time (s)	Peak time (s)	Duration (s)	Amplitude	Midpoint (s)	Half Duration(s)	AUC
1A	2	b	0.0	31.07988	4.143984	31.07988	-2.1953564967465073	15.194608	15.53994	-62.90606070026198	
1A	2	b	31.770544	37.98652	31.770544	6.215975999999998	-1.5920323161545298	34.5332	3.107987999999999	-7.581537714442882	
1A	2	b	38.677184	52.490464	46.274488	13.813280000000006	-1.1504967961115433	45.583824	6.906640000000003	-10.390147028263172	
1A	2	b	57.325112	65.61308	60.778432	8.287968	-1.1934885424276231	61.469096	4.143984	-6.766446088382281	
1A	2	b	66.303744	69.757064	66.994408	3.453320000000005	-1.1164112567004807	67.685072	1.7266600000000025	-2.5630549850219664	
1A	2	b	70.447728	74.591712	72.51972	4.143984000000003	-1.0999871940127122	72.51972	2.0719920000000016	-3.1809481338230867	
1A	2	b	75.282376	86.333	80.807688	11.050624	-1.5774986007977319	80.807688	5.525312	-11.043831130848597	
1A	2	b	87.023664	89.78632	87.714328	2.762656000000007	-1.3440578824979426	88.404992	1.3813280000000034	-2.721984177978517	
1A	2	b	90.476984	101.527608	94.620968	11.050624	-1.7375366968954875	96.002296	5.525312	-11.702994502679555	
1A	2	b	102.218272	118.103544	111.196904	15.885272	-1.337633685613504	109.815576	7.942636	-11.803182953329436	
1A	2	b	118.794208	120.8662	120.175536	2.0719920000000087	-0.8438004201945102	119.484872	1.0359960000000044	-0.7074695348904232	
1A	2	b	121.556864	125.010184	123.628856	3.453319999999991	-0.6655084983367221	122.938192	1.7266599999999954	-1.378576760944707	
1A	2	b	125.700848	133.298152	132.607488	7.597303999999994	-1.079395082391713	129.154168	3.798651999999997	-5.328343061884853	
1A	2	b	133.988816	143.658112	138.1328	9.669295999999974	-1.0884713117410723	138.823464	4.834647999999987	-7.415689731461076	
1A	2	b	144.348776	159.543384	149.874088	15.194608000000017	-1.4557746217007637	151.94608	7.597304000000008	-16.96778977190653	
1A	2	b	160.234048	176.809984	174.737992	16.575935999999984	-1.7854542204176074	168.522016	8.287967999999992	-16.59979835676912	
1A	2	b	177.500648	202.364552	190.623264	24.86390399999999	-3.615795445873319	189.9326	12.431951999999995	-55.88247807381032	
1A	2	b	203.055216	227.228456	211.343184	24.173239999999993	-2.7211907054293327	214.796504	12.086619999999996	-53.07545611815704	
1A	2	b	227.91912	239.660408	236.207088	11.741287999999997	-2.6782049777825474	233.444432	5.870643999999999	-30.26633396167263	
1A	2	b	240.351072	247.257712	242.423064	6.90664000000001	-1.3982971553712247	243.804392	3.453320000000005	-7.47745480579894	
1A	2	b	247.948376	250.020368	249.329704	2.0719919999999945	-0.7631278069507399	248.63904	1.0359959999999973	-1.2145928629568044	
1A	2	b	252.09236	262.45232	255.54568	10.359959999999973	-2.1856476340621143	256.927008	5.179979999999986	-15.786345707956293	
1A	2	b	266.596304	276.956264	270.740288	10.359960000000001	-1.1124103135505674	271.430952	5.1799800000000005	-9.259041021186206	
1A	2	b	277.646928	286.62556	285.244232	8.978632000000005	-1.3980224642320405	281.790912	4.489316000000002	-8.65923958523306	
1A	2	b	287.316224	291.460208	288.697552	4.143984000000046	-1.1782734687642087	289.388216	2.071992000000023	-3.979986731195665	
1A	2	b	292.150872	329.446728	309.417472	37.295856000000015	-2.098370710713546	310.7988	18.647928000000007	-58.76041517735021	
1A	2	b	330.137392	336.353368	331.51872	6.215976000000012	-1.582505753679742	332.900048	3.107988000000006	-5.707133341925912	
1A	2	b	337.044032	343.950672	342.569344	6.906639999999982	-1.197279625357032	340.497352	3.453319999999991	-6.6056976794526046	
1A	2	b	344.641336	352.23864	346.713328	7.597303999999951	-1.5172399147607134	348.094656	3.7986519999999757	-8.89600135799962	
1A	2	b	352.929304	355.001296	352.929304	2.071992000000023	-0.9638654973468164	353.619968	1.0359960000000115	-0.9566894152005565	
1A	2	b	357.073288	368.814576	365.361256	11.741287999999997	-1.2947846303045374	362.5986	5.870643999999999	-11.0223125325241	
1A	2	b	372.95856	395.750472	382.627856	22.791912000000025	-1.839782490215855	384.009184	11.395956000000012	-33.681247447829094	
1A	2	b	396.441136	398.513128	397.822464	2.071992000000023	-0.9892957148317247	397.1318	1.0359960000000115	-0.6129799246395216	
1A	2	b	399.203792	404.729104	401.275784	5.525311999999985	-1.1369855850721091	401.966448	2.7626559999999927	-4.903429852626076	
1A	2	b	405.419768	410.94508	408.182424	5.525312000000042	-0.803880505891998	408.182424	2.762656000000021	-2.0239990365181466	
1A	2	b	411.635744	419.923712	416.470392	8.287968000000035	-1.1776112807089447	415.779728	4.143984000000017	-7.97822404268838	
1A	2	b	420.614376	424.75836	424.067696	4.143983999999989	-1.0610883347821236	422.686368	2.0719919999999945	-3.6291439939267107	
1A	2	b	425.449024	439.952968	428.21168	14.50394399999999	-1.874814658065473	432.355664	7.251971999999995	-23.9061936801131	
1A	2	b	442.02496	450.312928	445.47828	8.287967999999978	-1.6703582981432863	446.168944	4.143983999999989	-11.486656165357399	
1A	2	b	451.003592	462.74488	457.219568	11.741287999999997	-1.6068844318498332	456.528904	5.870643999999999	-15.327899593023602	
1A	2	b	463.435544	470.342184	468.270192	6.906639999999982	-1.353313898173651	466.888864	3.453319999999991	-6.36885837690818	
1A	2	b	473.10484	475.176832	474.486168	2.071991999999966	-0.7428759194872683	473.795504	1.035995999999983	-0.667345600133955	
1A	2	b	475.867496	477.939488	475.867496	2.071991999999966	-0.9302324055751789	476.55816	1.035995999999983	-0.6496975735095054	
1A	2	b	478.630152	481.392808	478.630152	2.7626559999999927	-1.0186918521589252	480.01148	1.3813279999999963	-1.7508430648109181	
1A	2	b	482.083472	484.846128	482.774136	2.7626560000000495	-0.5922428198203704	483.4648	1.3813280000000248	-1.5363807438706516	
1A	2	b	485.536792	497.27808	491.062104	11.741287999999997	-1.2627741594095596	491.062104	5.870643999999999	-8.106731424510222	
1A	2	b	497.968744	500.7314	497.968744	2.7626559999999927	-0.7274279417891201	499.350072	1.3813279999999963	-0.8407145679409727	
1A	2	b	501.422064	505.566048	502.112728	4.143984000000046	-0.9120926263415701	503.494056	2.071992000000023	-2.691721984372916	
1A	2	b	506.256712	510.400696	507.63804	4.143983999999989	-1.3790692031890508	508.328704	2.0719919999999945	-4.518804354365296	
1A	2	b	511.09136	516.616672	514.54468	5.525311999999985	-1.561672258965789	513.854016	2.7626559999999927	-5.934976547358233	
1A	2	b	517.307336	521.45132	518.688664	4.143984000000046	-0.9544267309710399	519.379328	2.071992000000023	-2.391044730753544	
1A	2	b	522.141984	524.90464	524.213976	2.7626559999999927	-0.7956640408813218	523.523312	1.3813279999999963	-2.162965719269807	
1A	2	b	526.976632	535.2646	531.81128	8.287967999999978	-1.1360971833746714	531.120616	4.143983999999989	-5.892543085162531	
1A	2	b	535.955264	539.408584	538.71792	3.4533199999999624	-0.5026427490867267	537.336592	1.7266599999999812	-1.2106347160979212	
1A	2	b	540.099248	543.552568	540.789912	3.4533199999999624	-1.0054603696109226	541.480576	1.7266599999999812	-3.0493023862667314	
1A	2	b	544.243232	546.315224	544.243232	2.0719919999999092	-0.997721092582367	544.933896	1.0359959999999546	-1.1900872975418286	
1A	2	b	547.005888	557.365848	550.459208	10.359960000000001	-1.6327060984847108	551.840536	5.1799800000000005	-11.917283512004754	
1A	2	b	560.128504	573.25112	571.869792	13.122615999999994	-1.5728265594202	566.34448	6.561307999999997	-14.86320091642486	
1A	2	b	575.323112	577.395104	575.323112	2.0719919999999092	-0.8193057887862576	576.013776	1.0359959999999546	-0.8670547960331474	
1A	2	b	578.085768	585.683072	579.467096	7.597304000000008	-1.3007392394319428	581.539088	3.798652000000004	-7.536837942867728	
1A	2	b	586.373736	599.496352	591.899048	13.122615999999994	-1.4974975353449604	592.589712	6.561307999999997	-9.993727986138037	
