										Kaede_Unfed#14_Anterograde_evts_formatted.txt
ROI	Quadrant	Direction	Start time (s)	End time (s)	Peak time (s)	Duration (s)	Amplitude	Midpoint (s)	Half Duration(s)	AUC
8A	2	b	0.0	7.253928	0.0	7.253928	-0.8913930958595504	3.29724	3.626964	-4.088375381131085	
8A	4	a	9.89172	20.442888	15.167304	10.551168	1.196265637773208	15.167304	5.275584	10.07827556898639	
8A	2	b	21.102336	23.08068	22.421232	1.9783439999999999	-0.03448599736453861	21.761784	0.9891719999999999	-0.057492204759691745	
8A	4	a	23.740128	63.307008	59.35032	39.566880000000005	0.6378499978255343	43.523568	19.783440000000002	17.38631269570468	
8A	4	a	63.966456	81.771552	76.495968	17.805096	1.0969868841521602	72.53928	8.902548	13.782667815077746	
8A	4	a	82.431	86.387688	83.749896	3.9566879999999998	0.06196537844163563	84.409344	1.9783439999999999	0.16368110396312896	
8A	4	a	87.047136	114.084504	102.873888	27.037368	0.3489708227727597	100.236096	13.518684	7.09593218652382	
8A	4	a	114.743952	135.18684	127.273464	20.442887999999996	1.7346190848555305	124.635672	10.221443999999998	14.283247239471592	
8A	4	a	139.143528	187.94268	179.369856	48.79915199999999	1.2934766584466946	163.543104	24.399575999999996	40.30308320911771	
8A	2	b	189.921024	193.218264	191.23992	3.2972400000000164	-0.04795128186369846	191.23992	1.6486200000000082	-0.14711519931258232	
8A	4	a	193.877712	222.893424	213.001704	29.015712000000008	0.4009246264692674	208.385568	14.507856000000004	9.210552322337664	
8A	4	a	223.552872	242.676864	237.40128	19.123991999999987	1.4362075007036355	232.785144	9.561995999999994	16.78325086639504	
8A	2	b	243.336312	245.974104	244.655208	2.637792000000019	-0.01827941539039557	244.655208	1.3188960000000094	-0.03986954300874901	
8A	2	b	248.611896	252.568584	249.271344	3.9566879999999855	-0.10361283120533837	250.59024	1.9783439999999928	-0.2644476999421461	
8A	4	a	253.228032	277.627608	264.438648	24.399575999999996	0.3514244386627552	265.098096	12.199787999999998	6.415957921492589	
8A	4	a	278.287056	298.070496	290.15712	19.783439999999985	1.3349203767288236	288.178776	9.891719999999992	15.490240929188197	
8A	4	a	300.04884	346.2102	335.659032	46.16136	1.2619682328247728	323.12952	23.08068	41.59357747989803	
8A	2	b	346.869648	356.761368	349.50744	9.89172000000002	-0.3302093889366837	351.485784	4.94586000000001	-3.3553169447317597	
8A	4	a	357.420816	373.907016	365.334192	16.486199999999997	0.97165323339678	365.334192	8.243099999999998	13.439572284378865	
8A	4	a	374.566464	384.458184	378.523152	9.89172000000002	0.6400180077797568	379.1826	4.94586000000001	5.242499882266518	
8A	4	a	385.117632	397.647144	389.07432	12.529512000000011	0.6687773756204654	391.052664	6.2647560000000055	6.618535104431585	
8A	2	b	400.944384	404.241624	402.922728	3.297239999999988	-0.051323819173714647	402.26328	1.648619999999994	-0.11744156455250421	
8A	4	a	404.901072	434.576232	418.74948	29.675160000000005	0.65074762377346	419.408928	14.837580000000003	14.287330990497637	
8A	4	a	435.23568	458.975808	449.743536	23.74012799999997	1.4613074662594419	447.105744	11.870063999999985	18.730294317286237	
8A	4	a	460.954152	496.564344	470.186424	35.610191999999984	0.8119324147936129	478.759248	17.805095999999992	26.59593886418455	
8A	4	a	497.223792	512.391096	504.47772	15.167303999999945	0.8502097247764602	504.47772	7.583651999999972	10.391249532718685	
8A	4	a	513.050544	524.920608	521.623368	11.87006400000007	0.4171504956180394	518.985576	5.935032000000035	3.505785605773057	
8A	4	a	526.898952	549.979632	534.812328	23.08068000000003	0.5183762921521495	538.109568	11.540340000000015	11.078334741962607	
8A	4	a	550.63908	562.509144	553.93632	11.870063999999957	0.4663842254156356	556.574112	5.935031999999978	4.823242674829351	
8A	4	a	563.168592	565.806384	563.82804	2.6377919999999904	0.01743301638017325	564.487488	1.3188959999999952	0.02593094535797147	
8A	4	a	566.465832	600.09768	598.778784	33.63184799999999	3.5200123264299483	582.952032	16.815923999999995	91.2631504378596	
9A	4	a	0.0	29.015712	17.145648	29.015712	1.4666458114002165	14.507856	14.507856	35.599421156594886	
9A	2	b	30.994056	34.950744	31.653504	3.9566879999999998	-0.08259380139775496	32.9724	1.9783439999999999	-0.2233044123786534	
9A	4	a	40.226328	82.431	77.155416	42.204671999999995	0.3256411791919409	61.328664	21.102335999999998	8.038110376390495	
9A	2	b	85.068792	87.706584	85.72824	2.6377920000000046	-0.09239180928095525	86.387688	1.3188960000000023	-0.19060401214400335	
9A	4	a	90.344376	140.462424	130.570704	50.118048	1.0573718601882218	115.4034	25.059024	24.153867996039903	
9A	4	a	141.121872	192.558816	182.667096	51.43694400000001	0.43814189360600064	166.840344	25.718472000000006	13.726889681240392	
9A	4	a	193.218264	203.769432	197.8344	10.55116799999999	0.18667948221120234	198.493848	5.275583999999995	1.7138298522510789	
9A	4	a	204.42888	214.980048	211.682808	10.551168000000018	0.14927565154964073	209.704464	5.275584000000009	1.5135586614865744	
9A	4	a	215.639496	222.893424	219.596184	7.253928000000002	0.09217986621197216	218.936736	3.626964000000001	0.4588148951838449	
9A	4	a	223.552872	250.59024	239.379624	27.037367999999987	0.887697773174918	236.741832	13.518683999999993	11.236406093832851	
9A	4	a	253.228032	300.04884	292.135464	46.82080799999997	0.8292693247703435	276.308712	23.410403999999986	23.968957399042836	
