										Kaede_Unfed#15_Retrograde_evts_formatted.txt
ROI	Quadrant	Direction	Start time (s)	End time (s)	Peak time (s)	Duration (s)	Amplitude	Midpoint (s)	Half Duration(s)	AUC
1A	4	a	0.0	15.826752	0.0	15.826752	1.7969943010560723	7.913376	7.913376	9.617668674924845	
1A	2	b	16.4862	29.015712	18.464544	12.529512	-2.416748739763232	22.421232	6.264756	-18.67740664212113	
1A	4	a	29.67516	32.312952	30.994056	2.637792000000001	0.0871422261909256	30.994056	1.3188960000000005	0.1748518225722293	
1A	2	b	34.291296	52.096392	46.16136	17.805096	-1.822391029656794	42.86412	8.902548	-34.45031526830015	
1A	2	b	54.734184	102.873888	91.663272	48.139703999999995	-3.9375792258018913	78.474312	24.069851999999997	-74.87531296842076	
1A	2	b	108.149472	121.99788	112.10616	13.848407999999992	-0.7315227027018185	114.743952	6.924203999999996	-8.017856166962929	
1A	4	a	124.635672	127.273464	125.29512	2.6377920000000046	0.077814861384919	125.954568	1.3188960000000023	0.190777563733886	
1A	4	a	131.230152	141.121872	133.208496	9.891719999999992	0.07753357517765203	135.846288	4.945859999999996	0.6450411828868372	
1A	2	b	143.100216	180.029304	147.056904	36.92908800000001	-0.8368554046578698	161.56476	18.464544000000004	-11.767545757802395	
1A	2	b	180.688752	187.94268	180.688752	7.253928000000002	-0.10773280692709086	183.985992	3.626964000000001	-0.358672314141117	
1A	2	b	188.602128	190.580472	189.921024	1.9783439999999928	-0.034273149684421966	189.261576	0.9891719999999964	-0.059163592060164305	
1A	2	b	191.23992	195.856056	193.218264	4.616135999999983	-0.10621280586327408	193.218264	2.3080679999999916	-0.3452644682960351	
1A	2	b	196.515504	199.812744	199.153296	3.2972400000000164	-0.0842034689104274	197.8344	1.6486200000000082	-0.14062258707654074	
1A	2	b	201.791088	231.466248	228.169008	29.675160000000005	-0.36550776188933476	216.298944	14.837580000000003	-6.139614949815964	
1A	2	b	232.125696	268.395336	257.18472	36.26963999999998	-1.1584331769512897	249.930792	18.13481999999999	-12.968232199211801	
