										Kaede_Unfed#9_Cloaca_evts_formatted.txt
ROI	Quadrant	Direction	Start time (s)	End time (s)	Peak time (s)	Duration (s)	Amplitude	Midpoint (s)	Half Duration(s)	AUC
17A	2	b	3.29724	10.551168	8.572824	7.253928	-0.24084882679404007	6.59448	3.626964	-1.5507706503837348	
17A	4	a	13.848408	20.442888	17.805096	6.594480000000001	0.18459163567351622	17.145648	3.2972400000000004	1.131122256412294	
17A	2	b	22.421232	26.37792	24.399576	3.9566879999999998	-0.28495618593744165	24.399576	1.9783439999999999	-0.9447162855204125	
17A	2	b	27.037368	33.631848	28.356264	6.594479999999997	-0.24919579487432042	30.334608	3.2972399999999986	-1.548923351213125	
17A	2	b	34.291296	47.480256	38.907432	13.188959999999994	-0.12051119524778331	40.885776	6.594479999999997	-1.4864090002616368	
17A	2	b	49.4586	65.285352	58.690872	15.826752000000006	-0.10900993233033462	57.371976	7.913376000000003	-1.5051461110407287	
17A	2	b	65.9448	81.112104	67.263696	15.167304000000001	-0.07803868375285994	73.198728	7.583652000000001	-0.9091801720103061	
17A	2	b	83.090448	89.02548	86.387688	5.935032000000007	-0.0581032342922394	85.72824	2.9675160000000034	-0.2410131116689853	
17A	2	b	89.684928	94.301064	93.641616	4.616135999999997	-0.048280719708274855	91.663272	2.3080679999999987	-0.1616744534732879	
17A	2	b	96.279408	98.257752	96.279408	1.9783439999999928	-0.053962026404859476	96.938856	0.9891719999999964	-0.09014231900598357	
17A	4	a	100.236096	102.21444	100.236096	1.9783439999999928	0.0026272115034320365	100.895544	0.9891719999999964	0.0026396362334695223	
17A	2	b	102.873888	106.830576	103.533336	3.9566879999999998	-0.04413744752554605	104.852232	1.9783439999999999	-0.11907198714147382	
17A	2	b	114.084504	117.381744	114.084504	3.297240000000002	-0.03814169003872747	115.4034	1.648620000000001	-0.10948513202382215	
17A	2	b	118.041192	122.657328	121.338432	4.616136000000012	-0.06569996092488362	120.019536	2.308068000000006	-0.22328619895917545	
17A	2	b	124.635672	126.614016	124.635672	1.978344000000007	-0.05084193222923883	125.29512	0.9891720000000035	-0.06945524606910802	
17A	2	b	138.48408	147.056904	144.419112	8.572823999999997	-0.1003784860242698	142.440768	4.286411999999999	-0.6961387197946929	
17A	2	b	147.716352	149.694696	149.035248	1.9783439999999928	-0.043146336669633634	148.3758	0.9891719999999964	-0.08042534112347988	
17A	2	b	150.354144	157.608072	151.013592	7.253928000000002	-0.0561442346693477	153.651384	3.626964000000001	-0.3395724617509417	
17A	2	b	158.26752	163.543104	161.56476	5.275584000000009	-0.096685895192409	160.905312	2.6377920000000046	-0.47596431400011596	
17A	2	b	164.202552	170.797032	166.840344	6.594480000000004	-0.20735097111696055	167.499792	3.297240000000002	-1.1268269572177396	
17A	2	b	171.45648	180.688752	173.434824	9.232271999999995	-0.2534623428063556	176.072616	4.616135999999997	-1.8231993580549355	
17A	2	b	184.64544	194.53716	191.23992	9.891719999999992	-0.33738223846740567	189.261576	4.945859999999996	-2.2843423961913274	
17A	2	b	195.196608	201.791088	197.174952	6.594480000000004	-0.34363060906111365	198.493848	3.297240000000002	-1.8458918681820957	
17A	2	b	202.450536	205.747776	204.42888	3.297239999999988	-0.0792761223783276	203.769432	1.648619999999994	-0.23207497019989765	
17A	2	b	206.407224	213.001704	210.363912	6.594479999999976	-0.27747776941531654	209.704464	3.297239999999988	-1.8616728541827114	
17A	2	b	215.639496	218.936736	216.298944	3.297239999999988	-0.22979389970250264	216.958392	1.648619999999994	-0.7617290431461106	
17A	2	b	220.91508	230.147352	222.893424	9.232272000000023	-0.21912288872432573	225.531216	4.616136000000012	-1.7164538423100635	
17A	2	b	230.8068	253.88748	247.293	23.08068	-0.15997823868508343	242.017416	11.54034	-3.490081307237971	
17A	2	b	254.546928	257.18472	255.206376	2.637792000000019	-0.07378199458613821	255.865824	1.3188960000000094	-0.1704671401253084	
17A	2	b	257.844168	263.7792	261.141408	5.935031999999978	-0.0845074812160056	260.48196	2.967515999999989	-0.44766689342540067	
17A	2	b	264.438648	269.054784	267.07644	4.616135999999983	-0.12449853564030455	266.416992	2.3080679999999916	-0.41986356784177814	
17A	2	b	269.714232	272.352024	270.37368	2.6377919999999904	-0.05392995469241191	271.033128	1.3188959999999952	-0.09809631761291149	
17A	2	b	279.605952	281.584296	280.924848	1.9783439999999928	-0.014521125468578422	280.2654	0.9891719999999964	-0.022233274694021032	
17A	2	b	283.56264	289.497672	286.85988	5.935032000000035	-0.07192723064309936	286.200432	2.9675160000000176	-0.2632098754784218	
17A	2	b	290.15712	307.302768	294.113808	17.145647999999994	-0.09424354494271947	298.729944	8.572823999999997	-0.8953616940565892	
17A	2	b	307.962216	309.94056	308.621664	1.9783439999999928	-0.02475057007692616	308.621664	0.9891719999999964	-0.0399100454986101	
17A	2	b	311.918904	323.12952	320.491728	11.210616000000016	-0.10294862546383365	317.194488	5.605308000000008	-0.8115924940054022	
17A	2	b	323.788968	328.405104	323.788968	4.616135999999983	-0.04208284731249057	325.767312	2.3080679999999916	-0.13238356214721936	
17A	2	b	333.02124	334.999584	333.02124	1.9783440000000496	-0.04729288563440903	333.680688	0.9891720000000248	-0.0426098542832285	
17A	2	b	336.977928	338.956272	338.296824	1.9783439999999928	-0.038990127585123435	337.637376	0.9891719999999964	-0.04891656609655004	
17A	2	b	339.61572	346.869648	344.891304	7.2539279999999735	-0.06080247940799888	342.91296	3.6269639999999868	-0.3430023627529133	
17A	2	b	348.847992	350.826336	350.166888	1.9783440000000496	-0.053034383963742826	349.50744	0.9891720000000248	-0.09198749251871874	
17A	2	b	356.10192	359.39916	358.080264	3.297239999999988	-0.026993286150343465	357.420816	1.648619999999994	-0.06403192002472147	
17A	2	b	362.6964	366.653088	365.334192	3.9566880000000424	-0.05699977821952329	364.674744	1.9783440000000212	-0.23437912212276735	
17A	2	b	371.269224	382.47984	375.225912	11.210616000000016	-0.22251690182972483	376.544808	5.605308000000008	-1.8970503885564807	
17A	2	b	384.458184	387.095976	384.458184	2.6377919999999904	-0.04368116846744341	385.77708	1.3188959999999952	-0.08588286866821271	
17A	2	b	387.755424	396.328248	390.393216	8.572823999999969	-0.16877157696697287	391.712112	4.286411999999984	-1.0000567238275253	
17A	2	b	396.987696	402.26328	398.306592	5.275583999999981	-0.06800327012648388	399.625488	2.6377919999999904	-0.2784105886538619	
17A	2	b	404.241624	408.85776	404.241624	4.616135999999983	-0.05664162463143718	406.219968	2.3080679999999916	-0.19780223571093303	
17A	2	b	409.517208	411.495552	409.517208	1.9783439999999928	-0.04998974930398248	410.176656	0.9891719999999964	-0.0461600194036913	
17A	2	b	414.792792	416.771136	416.111688	1.9783439999999928	-0.046099338827764846	415.45224	0.9891719999999964	-0.03992796448988023	
17A	2	b	418.74948	422.04672	419.408928	3.297239999999988	-0.056708568443493146	420.068376	1.648619999999994	-0.16141469094545435	
17A	2	b	424.684512	426.662856	426.003408	1.9783439999999928	-0.03570584086750461	425.34396	0.9891719999999964	-0.03907761279153532	
17A	2	b	427.322304	429.960096	427.322304	2.637792000000047	-0.022866285611511827	428.6412	1.3188960000000236	-0.04266940187906987	
17A	2	b	430.619544	434.576232	431.93844	3.9566879999999855	-0.14386401125867376	432.597888	1.9783439999999928	-0.43360097679749177	
17A	2	b	436.554576	455.678568	453.700224	19.123991999999987	-0.09689435416686809	445.786848	9.561995999999994	-1.4665766755306142	
17A	2	b	456.338016	458.31636	457.656912	1.9783439999999928	-0.030051685740185796	456.997464	0.9891719999999964	-0.03252646157545591	
17A	2	b	460.954152	464.91084	462.932496	3.9566879999999855	-0.045827322205775456	462.932496	1.9783439999999928	-0.17225725687110516	
17A	2	b	473.483664	479.418696	478.0998	5.935032000000035	-0.0964785100617056	476.121456	2.9675160000000176	-0.5272596777938736	
17A	2	b	480.078144	484.69428	480.078144	4.616135999999983	-0.034960545081716976	482.056488	2.3080679999999916	-0.10848332361701885	
17A	2	b	487.332072	491.28876	489.969864	3.9566880000000424	-0.06372462601002304	489.310416	1.9783440000000212	-0.24880062644815704	
17A	2	b	498.542688	501.18048	498.542688	2.6377919999999904	-0.07363530522652928	499.861584	1.3188959999999952	-0.14935122837228132	
