ROI ID,Total Intensity,Time,Frame Id
1A,864591,0,t001_0_1
2A,1048454,0,t001_0_1
3A,1519772,0,t001_0_1
4A,2421126,0,t001_0_1
5A,1842681,0,t001_0_1
6A,1197201,0,t001_0_1
7A,1044789,0,t001_0_1
8A,1214077,0,t001_0_1
9A,965612,0,t001_0_1
10A,1019237,0,t001_0_1
11A,963279,0,t001_0_1
12A,968314,0,t001_0_1
13A,961263,0,t001_0_1
14A,948541,0,t001_0_1
15A,805779,0,t001_0_1
16A,610084,0,t001_0_1
17A,611887,0,t001_0_1
18A,537044,0,t001_0_1
19A,463935,0,t001_0_1
20A,263558,0,t001_0_1
1A,863661,0.592548,t002_0_1
2A,1055827,0.592548,t002_0_1
3A,1492226,0.592548,t002_0_1
4A,2411976,0.592548,t002_0_1
5A,1843059,0.592548,t002_0_1
6A,1178174,0.592548,t002_0_1
7A,1053551,0.592548,t002_0_1
8A,1211851,0.592548,t002_0_1
9A,973841,0.592548,t002_0_1
10A,1015244,0.592548,t002_0_1
11A,975525,0.592548,t002_0_1
12A,954556,0.592548,t002_0_1
13A,963443,0.592548,t002_0_1
14A,929615,0.592548,t002_0_1
15A,800785,0.592548,t002_0_1
16A,616513,0.592548,t002_0_1
17A,607566,0.592548,t002_0_1
18A,533747,0.592548,t002_0_1
19A,457843,0.592548,t002_0_1
20A,264436,0.592548,t002_0_1
1A,859232,1.185096,t003_0_1
2A,1053078,1.185096,t003_0_1
3A,1520922,1.185096,t003_0_1
4A,2435464,1.185096,t003_0_1
5A,1878796,1.185096,t003_0_1
6A,1200506,1.185096,t003_0_1
7A,1056007,1.185096,t003_0_1
8A,1224043,1.185096,t003_0_1
9A,972008,1.185096,t003_0_1
10A,1001750,1.185096,t003_0_1
11A,964669,1.185096,t003_0_1
12A,953651,1.185096,t003_0_1
13A,970102,1.185096,t003_0_1
14A,906754,1.185096,t003_0_1
15A,800521,1.185096,t003_0_1
16A,617007,1.185096,t003_0_1
17A,615882,1.185096,t003_0_1
18A,539134,1.185096,t003_0_1
19A,466074,1.185096,t003_0_1
20A,264341,1.185096,t003_0_1
1A,871297,1.777644,t004_0_1
2A,1049054,1.777644,t004_0_1
3A,1513181,1.777644,t004_0_1
4A,2450356,1.777644,t004_0_1
5A,1887258,1.777644,t004_0_1
6A,1210427,1.777644,t004_0_1
7A,1052157,1.777644,t004_0_1
8A,1229339,1.777644,t004_0_1
9A,980947,1.777644,t004_0_1
10A,1026066,1.777644,t004_0_1
11A,969310,1.777644,t004_0_1
12A,964043,1.777644,t004_0_1
13A,956004,1.777644,t004_0_1
14A,896421,1.777644,t004_0_1
15A,795481,1.777644,t004_0_1
16A,613231,1.777644,t004_0_1
17A,617126,1.777644,t004_0_1
18A,542676,1.777644,t004_0_1
19A,466325,1.777644,t004_0_1
20A,264129,1.777644,t004_0_1
1A,860111,2.370192,t005_0_1
2A,1044920,2.370192,t005_0_1
3A,1500560,2.370192,t005_0_1
4A,2447104,2.370192,t005_0_1
5A,1903206,2.370192,t005_0_1
6A,1222062,2.370192,t005_0_1
7A,1062072,2.370192,t005_0_1
8A,1210129,2.370192,t005_0_1
9A,970373,2.370192,t005_0_1
10A,1003090,2.370192,t005_0_1
11A,963880,2.370192,t005_0_1
12A,949216,2.370192,t005_0_1
13A,955646,2.370192,t005_0_1
14A,891647,2.370192,t005_0_1
15A,786043,2.370192,t005_0_1
16A,603051,2.370192,t005_0_1
17A,615044,2.370192,t005_0_1
18A,538108,2.370192,t005_0_1
19A,462618,2.370192,t005_0_1
20A,263285,2.370192,t005_0_1
1A,857802,2.96274,t006_0_1
2A,1057246,2.96274,t006_0_1
3A,1498168,2.96274,t006_0_1
4A,2450428,2.96274,t006_0_1
5A,1901604,2.96274,t006_0_1
6A,1226702,2.96274,t006_0_1
7A,1047573,2.96274,t006_0_1
8A,1217466,2.96274,t006_0_1
9A,973405,2.96274,t006_0_1
10A,1006688,2.96274,t006_0_1
11A,963057,2.96274,t006_0_1
12A,944642,2.96274,t006_0_1
13A,966205,2.96274,t006_0_1
14A,901006,2.96274,t006_0_1
15A,776643,2.96274,t006_0_1
16A,611578,2.96274,t006_0_1
17A,618908,2.96274,t006_0_1
18A,537921,2.96274,t006_0_1
19A,460336,2.96274,t006_0_1
20A,263459,2.96274,t006_0_1
1A,847238,3.555288,t007_0_1
2A,1042986,3.555288,t007_0_1
3A,1502604,3.555288,t007_0_1
4A,2452539,3.555288,t007_0_1
5A,1915974,3.555288,t007_0_1
6A,1226535,3.555288,t007_0_1
7A,1045605,3.555288,t007_0_1
8A,1229700,3.555288,t007_0_1
9A,976655,3.555288,t007_0_1
10A,1010935,3.555288,t007_0_1
11A,960901,3.555288,t007_0_1
12A,955299,3.555288,t007_0_1
13A,958348,3.555288,t007_0_1
14A,906198,3.555288,t007_0_1
15A,773757,3.555288,t007_0_1
16A,604361,3.555288,t007_0_1
17A,611895,3.555288,t007_0_1
18A,542130,3.555288,t007_0_1
19A,464079,3.555288,t007_0_1
20A,264398,3.555288,t007_0_1
1A,865310,4.147836,t008_0_1
2A,1046828,4.147836,t008_0_1
3A,1504528,4.147836,t008_0_1
4A,2459233,4.147836,t008_0_1
5A,1907441,4.147836,t008_0_1
6A,1242244,4.147836,t008_0_1
7A,1044906,4.147836,t008_0_1
8A,1219438,4.147836,t008_0_1
9A,980715,4.147836,t008_0_1
10A,996862,4.147836,t008_0_1
11A,966504,4.147836,t008_0_1
12A,943688,4.147836,t008_0_1
13A,967911,4.147836,t008_0_1
14A,913905,4.147836,t008_0_1
15A,761867,4.147836,t008_0_1
16A,598376,4.147836,t008_0_1
17A,611593,4.147836,t008_0_1
18A,540431,4.147836,t008_0_1
19A,469944,4.147836,t008_0_1
20A,264854,4.147836,t008_0_1
1A,858739,4.740384,t009_0_1
2A,1050915,4.740384,t009_0_1
3A,1504738,4.740384,t009_0_1
4A,2468478,4.740384,t009_0_1
5A,1941002,4.740384,t009_0_1
6A,1237484,4.740384,t009_0_1
7A,1047884,4.740384,t009_0_1
8A,1226546,4.740384,t009_0_1
9A,981194,4.740384,t009_0_1
10A,997835,4.740384,t009_0_1
11A,964494,4.740384,t009_0_1
12A,953563,4.740384,t009_0_1
13A,962788,4.740384,t009_0_1
14A,929316,4.740384,t009_0_1
15A,762964,4.740384,t009_0_1
16A,584297,4.740384,t009_0_1
17A,624439,4.740384,t009_0_1
18A,545351,4.740384,t009_0_1
19A,473434,4.740384,t009_0_1
20A,263863,4.740384,t009_0_1
1A,858558,5.332932,t010_0_1
2A,1040363,5.332932,t010_0_1
3A,1495652,5.332932,t010_0_1
4A,2463391,5.332932,t010_0_1
5A,1941582,5.332932,t010_0_1
6A,1239840,5.332932,t010_0_1
7A,1039534,5.332932,t010_0_1
8A,1232854,5.332932,t010_0_1
9A,990399,5.332932,t010_0_1
10A,1014547,5.332932,t010_0_1
11A,963734,5.332932,t010_0_1
12A,940869,5.332932,t010_0_1
13A,971971,5.332932,t010_0_1
14A,958918,5.332932,t010_0_1
15A,757961,5.332932,t010_0_1
16A,567946,5.332932,t010_0_1
17A,623732,5.332932,t010_0_1
18A,553523,5.332932,t010_0_1
19A,475809,5.332932,t010_0_1
20A,264685,5.332932,t010_0_1
1A,871159,5.92548,t011_0_1
2A,1037092,5.92548,t011_0_1
3A,1487620,5.92548,t011_0_1
4A,2473300,5.92548,t011_0_1
5A,1938392,5.92548,t011_0_1
6A,1252986,5.92548,t011_0_1
7A,1044182,5.92548,t011_0_1
