ROI ID,Total Intensity,Time,Frame Id
1A,1621606,0,t001_0_1
2A,1876572,0,t001_0_1
3A,2668077,0,t001_0_1
4A,3548980,0,t001_0_1
5A,1915955,0,t001_0_1
6A,2962710,0,t001_0_1
7A,3297919,0,t001_0_1
8A,2226687,0,t001_0_1
9A,1661180,0,t001_0_1
10A,1018387,0,t001_0_1
11A,902439,0,t001_0_1
12A,604959,0,t001_0_1
13A,672838,0,t001_0_1
14A,703599,0,t001_0_1
15A,777382,0,t001_0_1
16A,766564,0,t001_0_1
17A,529328,0,t001_0_1
18A,394937,0,t001_0_1
19A,275055,0,t001_0_1
20A,121168,0,t001_0_1
1A,1577227,0.690664,t002_0_1
2A,2058012,0.690664,t002_0_1
3A,2587396,0.690664,t002_0_1
4A,3595578,0.690664,t002_0_1
5A,1914830,0.690664,t002_0_1
6A,2951167,0.690664,t002_0_1
7A,3271077,0.690664,t002_0_1
8A,2214274,0.690664,t002_0_1
9A,1656334,0.690664,t002_0_1
10A,1021044,0.690664,t002_0_1
11A,882775,0.690664,t002_0_1
12A,613249,0.690664,t002_0_1
13A,678195,0.690664,t002_0_1
14A,703182,0.690664,t002_0_1
15A,772915,0.690664,t002_0_1
16A,763167,0.690664,t002_0_1
17A,534550,0.690664,t002_0_1
18A,400431,0.690664,t002_0_1
19A,275556,0.690664,t002_0_1
20A,119375,0.690664,t002_0_1
1A,1599086,1.381328,t003_0_1
2A,2029983,1.381328,t003_0_1
3A,2735824,1.381328,t003_0_1
4A,3566205,1.381328,t003_0_1
5A,1915853,1.381328,t003_0_1
6A,2959586,1.381328,t003_0_1
7A,3299250,1.381328,t003_0_1
8A,2219410,1.381328,t003_0_1
9A,1666960,1.381328,t003_0_1
10A,1012539,1.381328,t003_0_1
11A,892944,1.381328,t003_0_1
12A,623426,1.381328,t003_0_1
13A,676827,1.381328,t003_0_1
14A,704469,1.381328,t003_0_1
15A,776568,1.381328,t003_0_1
16A,758963,1.381328,t003_0_1
17A,535910,1.381328,t003_0_1
18A,398763,1.381328,t003_0_1
19A,274695,1.381328,t003_0_1
20A,118720,1.381328,t003_0_1
1A,1553718,2.071992,t004_0_1
2A,2099315,2.071992,t004_0_1
3A,2753833,2.071992,t004_0_1
4A,3604935,2.071992,t004_0_1
5A,1916066,2.071992,t004_0_1
6A,2945196,2.071992,t004_0_1
7A,3289122,2.071992,t004_0_1
8A,2212071,2.071992,t004_0_1
9A,1652180,2.071992,t004_0_1
10A,1016012,2.071992,t004_0_1
11A,884718,2.071992,t004_0_1
12A,632303,2.071992,t004_0_1
13A,679244,2.071992,t004_0_1
14A,701124,2.071992,t004_0_1
15A,771309,2.071992,t004_0_1
16A,758429,2.071992,t004_0_1
17A,542233,2.071992,t004_0_1
18A,393474,2.071992,t004_0_1
19A,279936,2.071992,t004_0_1
20A,120122,2.071992,t004_0_1
1A,1658730,2.762656,t005_0_1
2A,2059019,2.762656,t005_0_1
3A,2691995,2.762656,t005_0_1
4A,3607394,2.762656,t005_0_1
5A,1924081,2.762656,t005_0_1
6A,2939939,2.762656,t005_0_1
7A,3273360,2.762656,t005_0_1
8A,2209508,2.762656,t005_0_1
9A,1653380,2.762656,t005_0_1
10A,1024188,2.762656,t005_0_1
11A,887115,2.762656,t005_0_1
12A,649725,2.762656,t005_0_1
13A,688398,2.762656,t005_0_1
