ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Time,Frame Id
1A,328926.000000,149.443889,590.000000,25.000000,2861095.000000,1299.906861,2128.000000,840.000000,0.000000,t001_0_1
2A,473315.000000,215.045434,978.000000,24.000000,3223165.000000,1464.409359,2135.000000,943.000000,0.000000,t001_0_1
3A,802982.000000,364.825988,1343.000000,25.000000,3196392.000000,1452.245343,2127.000000,901.000000,0.000000,t001_0_1
4A,1538145.000000,698.839164,2585.000000,27.000000,3217044.000000,1461.628351,2093.000000,890.000000,0.000000,t001_0_1
5A,1955983.000000,888.679237,3873.000000,29.000000,3012860.000000,1368.859609,2056.000000,621.000000,0.000000,t001_0_1
6A,2027545.000000,921.192640,4095.000000,33.000000,2848454.000000,1294.163562,2017.000000,422.000000,0.000000,t001_0_1
7A,871857.000000,396.118582,3000.000000,51.000000,2801879.000000,1273.002726,1993.000000,332.000000,0.000000,t001_0_1
8A,1257488.000000,571.325761,2791.000000,54.000000,2901292.000000,1318.169923,1960.000000,262.000000,0.000000,t001_0_1
9A,1381933.000000,627.865970,2960.000000,64.000000,2648306.000000,1203.228532,1904.000000,280.000000,0.000000,t001_0_1
10A,1164518.000000,529.085870,2203.000000,61.000000,2345827.000000,1065.800545,1866.000000,246.000000,0.000000,t001_0_1
11A,1693883.000000,769.597001,2570.000000,87.000000,2527766.000000,1148.462517,1797.000000,270.000000,0.000000,t001_0_1
12A,2010414.000000,913.409359,2768.000000,66.000000,2405905.000000,1093.096320,1691.000000,256.000000,0.000000,t001_0_1
13A,1988175.000000,903.305316,2627.000000,72.000000,2442040.000000,1109.513857,1670.000000,263.000000,0.000000,t001_0_1
14A,1910954.000000,868.220809,2400.000000,66.000000,2651696.000000,1204.768741,1700.000000,251.000000,0.000000,t001_0_1
15A,1760533.000000,799.878692,2364.000000,75.000000,2602536.000000,1182.433439,1763.000000,264.000000,0.000000,t001_0_1
16A,1953369.000000,887.491595,2313.000000,63.000000,2623340.000000,1191.885507,1819.000000,316.000000,0.000000,t001_0_1
17A,1836234.000000,834.272603,2471.000000,64.000000,2739443.000000,1244.635620,1862.000000,294.000000,0.000000,t001_0_1
18A,1825255.000000,829.284416,2453.000000,52.000000,3056603.000000,1388.733757,1859.000000,342.000000,0.000000,t001_0_1
19A,683308.000000,310.453430,1894.000000,36.000000,3328960.000000,1512.476147,1948.000000,413.000000,0.000000,t001_0_1
20A,141905.000000,64.472967,172.000000,26.000000,4366496.000000,1983.869150,2068.000000,1911.000000,0.000000,t001_0_1
1A,327281.000000,148.696502,571.000000,25.000000,2859741.000000,1299.291686,2130.000000,837.000000,0.628200,t002_0_1
2A,456401.000000,207.360745,903.000000,25.000000,3230741.000000,1467.851431,2138.000000,948.000000,0.628200,t002_0_1
3A,809609.000000,367.836892,1475.000000,25.000000,3196928.000000,1452.488869,2130.000000,904.000000,0.628200,t002_0_1
4A,1577970.000000,716.933212,2703.000000,27.000000,3199743.000000,1453.767833,2086.000000,891.000000,0.628200,t002_0_1
5A,2026623.000000,920.773739,3944.000000,27.000000,2994999.000000,1360.744662,2049.000000,625.000000,0.628200,t002_0_1
6A,2055451.000000,933.871422,4095.000000,29.000000,2839655.000000,1290.165834,2016.000000,425.000000,0.628200,t002_0_1
7A,886225.000000,402.646524,3012.000000,48.000000,2794955.000000,1269.856883,1992.000000,337.000000,0.628200,t002_0_1
8A,1254506.000000,569.970922,2893.000000,48.000000,2895679.000000,1315.619718,1954.000000,257.000000,0.628200,t002_0_1
9A,1379078.000000,626.568832,2986.000000,57.000000,2641427.000000,1200.103135,1902.000000,281.000000,0.628200,t002_0_1
10A,1164153.000000,528.920036,2287.000000,57.000000,2337253.000000,1061.905043,1856.000000,238.000000,0.628200,t002_0_1
11A,1676928.000000,761.893685,2652.000000,84.000000,2521644.000000,1145.681054,1779.000000,269.000000,0.628200,t002_0_1
12A,2008738.000000,912.647887,2910.000000,72.000000,2402725.000000,1091.651522,1690.000000,258.000000,0.628200,t002_0_1
13A,1979182.000000,899.219446,2639.000000,69.000000,2437356.000000,1107.385734,1669.000000,259.000000,0.628200,t002_0_1
14A,1907726.000000,866.754203,2359.000000,57.000000,2643296.000000,1200.952294,1706.000000,249.000000,0.628200,t002_0_1
15A,1747223.000000,793.831440,2339.000000,77.000000,2597119.000000,1179.972285,1754.000000,277.000000,0.628200,t002_0_1
16A,1956292.000000,888.819627,2460.000000,74.000000,2620345.000000,1190.524761,1831.000000,312.000000,0.628200,t002_0_1
17A,1833221.000000,832.903680,2382.000000,67.000000,2736269.000000,1243.193548,1859.000000,297.000000,0.628200,t002_0_1
18A,1831958.000000,832.329850,2290.000000,49.000000,3052177.000000,1386.722853,1862.000000,336.000000,0.628200,t002_0_1
19A,704984.000000,320.301681,1899.000000,38.000000,3324980.000000,1510.667878,1937.000000,427.000000,0.628200,t002_0_1
20A,141985.000000,64.509314,162.000000,24.000000,4363532.000000,1982.522490,2062.000000,1911.000000,0.628200,t002_0_1
1A,327318.000000,148.713312,538.000000,25.000000,2859698.000000,1299.272149,2122.000000,832.000000,1.256400,t003_0_1
2A,446909.000000,203.048160,877.000000,24.000000,3236675.000000,1470.547478,2133.000000,955.000000,1.256400,t003_0_1
3A,833203.000000,378.556565,1554.000000,25.000000,3191427.000000,1449.989550,2123.000000,897.000000,1.256400,t003_0_1
4A,1643658.000000,746.777828,2800.000000,27.000000,3175282.000000,1442.654248,2090.000000,890.000000,1.256400,t003_0_1
5A,2071648.000000,941.230350,3906.000000,28.000000,2990099.000000,1358.518401,2051.000000,629.000000,1.256400,t003_0_1
6A,2119878.000000,963.143117,4095.000000,28.000000,2835234.000000,1288.157201,2021.000000,426.000000,1.256400,t003_0_1
7A,931860.000000,423.380282,2920.000000,52.000000,2796094.000000,1270.374375,1985.000000,336.000000,1.256400,t003_0_1
8A,1259528.000000,572.252612,2871.000000,63.000000,2899929.000000,1317.550659,1963.000000,261.000000,1.256400,t003_0_1
9A,1384925.000000,629.225352,2931.000000,59.000000,2645463.000000,1201.936847,1899.000000,283.000000,1.256400,t003_0_1
10A,1163949.000000,528.827351,2191.000000,59.000000,2339627.000000,1062.983644,1859.000000,247.000000,1.256400,t003_0_1
11A,1664803.000000,756.384825,2578.000000,68.000000,2524815.000000,1147.121763,1789.000000,270.000000,1.256400,t003_0_1
12A,2001152.000000,909.201272,2753.000000,76.000000,2402878.000000,1091.721036,1688.000000,256.000000,1.256400,t003_0_1
13A,1975736.000000,897.653794,2629.000000,68.000000,2439777.000000,1108.485688,1672.000000,263.000000,1.256400,t003_0_1
14A,1897152.000000,861.950023,2423.000000,64.000000,2646399.000000,1202.362108,1704.000000,250.000000,1.256400,t003_0_1
15A,1747301.000000,793.866879,2399.000000,73.000000,2597946.000000,1180.348024,1757.000000,275.000000,1.256400,t003_0_1
16A,1948634.000000,885.340300,2334.000000,71.000000,2620355.000000,1190.529305,1811.000000,314.000000,1.256400,t003_0_1
17A,1832848.000000,832.734212,2439.000000,61.000000,2736669.000000,1243.375284,1859.000000,290.000000,1.256400,t003_0_1
18A,1821766.000000,827.699228,2342.000000,61.000000,3049599.000000,1385.551567,1857.000000,336.000000,1.256400,t003_0_1
19A,750086.000000,340.793276,2000.000000,36.000000,3319718.000000,1508.277147,1931.000000,429.000000,1.256400,t003_0_1
20A,141333.000000,64.213085,169.000000,26.000000,4354814.000000,1978.561563,2064.000000,1908.000000,1.256400,t003_0_1
