ROI ID,Total Intensity,Time,Frame Id
1A,3931277,0,t001_0_1
2A,3520211,0,t001_0_1
3A,4047969,0,t001_0_1
4A,3779412,0,t001_0_1
5A,3340982,0,t001_0_1
6A,2415499,0,t001_0_1
7A,1392568,0,t001_0_1
8A,1086098,0,t001_0_1
9A,842471,0,t001_0_1
10A,925969,0,t001_0_1
11A,1015991,0,t001_0_1
12A,943098,0,t001_0_1
13A,739624,0,t001_0_1
14A,525091,0,t001_0_1
15A,462154,0,t001_0_1
16A,463076,0,t001_0_1
17A,376726,0,t001_0_1
18A,336724,0,t001_0_1
19A,347496,0,t001_0_1
20A,261835,0,t001_0_1
1A,3378481,0.659448,t002_0_1
2A,3498972,0.659448,t002_0_1
3A,4040775,0.659448,t002_0_1
4A,3773421,0.659448,t002_0_1
5A,3361507,0.659448,t002_0_1
6A,2487197,0.659448,t002_0_1
7A,1466011,0.659448,t002_0_1
8A,1093992,0.659448,t002_0_1
9A,842641,0.659448,t002_0_1
10A,933227,0.659448,t002_0_1
11A,1027194,0.659448,t002_0_1
12A,978785,0.659448,t002_0_1
13A,752483,0.659448,t002_0_1
14A,522729,0.659448,t002_0_1
15A,468255,0.659448,t002_0_1
16A,469150,0.659448,t002_0_1
17A,373800,0.659448,t002_0_1
18A,330587,0.659448,t002_0_1
19A,349163,0.659448,t002_0_1
20A,262983,0.659448,t002_0_1
1A,2762958,1.318896,t003_0_1
2A,3478164,1.318896,t003_0_1
3A,4024435,1.318896,t003_0_1
4A,3794823,1.318896,t003_0_1
5A,3394789,1.318896,t003_0_1
6A,2540061,1.318896,t003_0_1
7A,1515909,1.318896,t003_0_1
8A,1117268,1.318896,t003_0_1
9A,851396,1.318896,t003_0_1
10A,947331,1.318896,t003_0_1
11A,1046691,1.318896,t003_0_1
12A,992522,1.318896,t003_0_1
13A,768484,1.318896,t003_0_1
14A,532433,1.318896,t003_0_1
15A,475500,1.318896,t003_0_1
16A,463466,1.318896,t003_0_1
17A,376541,1.318896,t003_0_1
18A,327118,1.318896,t003_0_1
19A,349763,1.318896,t003_0_1
20A,262562,1.318896,t003_0_1
1A,2297211,1.978344,t004_0_1
2A,3436474,1.978344,t004_0_1
3A,4018359,1.978344,t004_0_1
4A,3774311,1.978344,t004_0_1
5A,3428460,1.978344,t004_0_1
6A,2569406,1.978344,t004_0_1
7A,1558068,1.978344,t004_0_1
8A,1107490,1.978344,t004_0_1
9A,850164,1.978344,t004_0_1
10A,947960,1.978344,t004_0_1
11A,1044999,1.978344,t004_0_1
12A,1006435,1.978344,t004_0_1
13A,772435,1.978344,t004_0_1
14A,534438,1.978344,t004_0_1
15A,470231,1.978344,t004_0_1
16A,462350,1.978344,t004_0_1
17A,378320,1.978344,t004_0_1
18A,325282,1.978344,t004_0_1
19A,352798,1.978344,t004_0_1
20A,262004,1.978344,t004_0_1
1A,1889343,2.637792,t005_0_1
2A,3227381,2.637792,t005_0_1
3A,4034804,2.637792,t005_0_1
4A,3808362,2.637792,t005_0_1
5A,3430658,2.637792,t005_0_1
6A,2615233,2.637792,t005_0_1
7A,1578070,2.637792,t005_0_1
8A,1109067,2.637792,t005_0_1
9A,852920,2.637792,t005_0_1
10A,959092,2.637792,t005_0_1
11A,1067384,2.637792,t005_0_1
12A,1002455,2.637792,t005_0_1
13A,772139,2.637792,t005_0_1
14A,528231,2.637792,t005_0_1
15A,476622,2.637792,t005_0_1
16A,463625,2.637792,t005_0_1
17A,378637,2.637792,t005_0_1
18A,333315,2.637792,t005_0_1
19A,352751,2.637792,t005_0_1
20A,263055,2.637792,t005_0_1
1A,1547756,3.29724,t006_0_1
2A,2901083,3.29724,t006_0_1
3A,4067654,3.29724,t006_0_1
4A,3809935,3.29724,t006_0_1
5A,3475186,3.29724,t006_0_1
6A,2648500,3.29724,t006_0_1
7A,1600381,3.29724,t006_0_1
8A,1095578,3.29724,t006_0_1
9A,847821,3.29724,t006_0_1
10A,959965,3.29724,t006_0_1
11A,1067813,3.29724,t006_0_1
12A,986219,3.29724,t006_0_1
13A,768225,3.29724,t006_0_1
14A,518963,3.29724,t006_0_1
15A,473248,3.29724,t006_0_1
16A,467896,3.29724,t006_0_1
17A,378002,3.29724,t006_0_1
18A,335297,3.29724,t006_0_1
19A,351552,3.29724,t006_0_1
20A,262076,3.29724,t006_0_1
1A,1337078,3.956688,t007_0_1
2A,2657401,3.956688,t007_0_1
3A,4084608,3.956688,t007_0_1
4A,3825039,3.956688,t007_0_1
5A,3492791,3.956688,t007_0_1
6A,2697995,3.956688,t007_0_1
7A,1594103,3.956688,t007_0_1
8A,1092678,3.956688,t007_0_1
9A,854110,3.956688,t007_0_1
10A,965759,3.956688,t007_0_1
11A,1048739,3.956688,t007_0_1
12A,969961,3.956688,t007_0_1
13A,741383,3.956688,t007_0_1
14A,516416,3.956688,t007_0_1
15A,476117,3.956688,t007_0_1
16A,470653,3.956688,t007_0_1
17A,379604,3.956688,t007_0_1
18A,342270,3.956688,t007_0_1
19A,345296,3.956688,t007_0_1
20A,262508,3.956688,t007_0_1
1A,1223314,4.616136,t008_0_1
2A,2461221,4.616136,t008_0_1
3A,4103494,4.616136,t008_0_1
4A,3848966,4.616136,t008_0_1
5A,3491209,4.616136,t008_0_1
6A,2697032,4.616136,t008_0_1
7A,1585330,4.616136,t008_0_1
8A,1078473,4.616136,t008_0_1
9A,855237,4.616136,t008_0_1
10A,953890,4.616136,t008_0_1
11A,1039432,4.616136,t008_0_1
12A,948570,4.616136,t008_0_1
13A,727134,4.616136,t008_0_1
14A,517193,4.616136,t008_0_1
15A,481600,4.616136,t008_0_1
16A,470647,4.616136,t008_0_1
17A,376462,4.616136,t008_0_1
18A,343022,4.616136,t008_0_1
19A,346351,4.616136,t008_0_1
20A,262117,4.616136,t008_0_1
1A,1167521,5.275584,t009_0_1
2A,2198287,5.275584,t009_0_1
3A,4115051,5.275584,t009_0_1
4A,3848035,5.275584,t009_0_1
5A,3510679,5.275584,t009_0_1
6A,2738121,5.275584,t009_0_1
7A,1590268,5.275584,t009_0_1
8A,1090734,5.275584,t009_0_1
9A,854814,5.275584,t009_0_1
10A,955514,5.275584,t009_0_1
11A,1006395,5.275584,t009_0_1
12A,929906,5.275584,t009_0_1
13A,710182,5.275584,t009_0_1
14A,518952,5.275584,t009_0_1
15A,484007,5.275584,t009_0_1
16A,466128,5.275584,t009_0_1
17A,376813,5.275584,t009_0_1
18A,347021,5.275584,t009_0_1
19A,346832,5.275584,t009_0_1
20A,262975,5.275584,t009_0_1
1A,1149256,5.935032,t010_0_1
2A,1837630,5.935032,t010_0_1
3A,4076869,5.935032,t010_0_1
4A,3858404,5.935032,t010_0_1
5A,3543566,5.935032,t010_0_1
6A,2741638,5.935032,t010_0_1
7A,1584867,5.935032,t010_0_1
8A,1111241,5.935032,t010_0_1
9A,862562,5.935032,t010_0_1
10A,954227,5.935032,t010_0_1
11A,1002504,5.935032,t010_0_1
12A,917947,5.935032,t010_0_1
13A,709891,5.935032,t010_0_1
14A,516597,5.935032,t010_0_1
15A,483322,5.935032,t010_0_1
16A,469204,5.935032,t010_0_1
