ROI ID,Total Intensity,Time,Frame Id
1A,1097078,0,t001_0_1
2A,1301034,0,t001_0_1
3A,1283623,0,t001_0_1
4A,1314547,0,t001_0_1
5A,970449,0,t001_0_1
6A,806357,0,t001_0_1
7A,650204,0,t001_0_1
8A,556047,0,t001_0_1
9A,993519,0,t001_0_1
10A,942327,0,t001_0_1
11A,846402,0,t001_0_1
12A,891901,0,t001_0_1
13A,999330,0,t001_0_1
14A,1032707,0,t001_0_1
15A,990726,0,t001_0_1
16A,776196,0,t001_0_1
17A,775973,0,t001_0_1
18A,577207,0,t001_0_1
19A,707213,0,t001_0_1
20A,260841,0,t001_0_1
1A,1104009,0.592548,t002_0_1
2A,1309845,0.592548,t002_0_1
3A,1298119,0.592548,t002_0_1
4A,1285183,0.592548,t002_0_1
5A,960409,0.592548,t002_0_1
6A,807367,0.592548,t002_0_1
7A,651828,0.592548,t002_0_1
8A,560755,0.592548,t002_0_1
9A,978874,0.592548,t002_0_1
10A,933761,0.592548,t002_0_1
11A,854583,0.592548,t002_0_1
12A,900073,0.592548,t002_0_1
13A,986330,0.592548,t002_0_1
14A,1029640,0.592548,t002_0_1
15A,984736,0.592548,t002_0_1
16A,767240,0.592548,t002_0_1
17A,780999,0.592548,t002_0_1
18A,566979,0.592548,t002_0_1
19A,709470,0.592548,t002_0_1
20A,260978,0.592548,t002_0_1
1A,1097367,1.185096,t003_0_1
2A,1309981,1.185096,t003_0_1
3A,1299685,1.185096,t003_0_1
4A,1251392,1.185096,t003_0_1
5A,954483,1.185096,t003_0_1
6A,815398,1.185096,t003_0_1
7A,653968,1.185096,t003_0_1
8A,564430,1.185096,t003_0_1
9A,988060,1.185096,t003_0_1
10A,944027,1.185096,t003_0_1
11A,856531,1.185096,t003_0_1
12A,909797,1.185096,t003_0_1
13A,989525,1.185096,t003_0_1
14A,1039728,1.185096,t003_0_1
15A,993721,1.185096,t003_0_1
16A,783227,1.185096,t003_0_1
17A,792169,1.185096,t003_0_1
18A,560872,1.185096,t003_0_1
19A,722943,1.185096,t003_0_1
20A,260632,1.185096,t003_0_1
1A,1097398,1.777644,t004_0_1
2A,1320680,1.777644,t004_0_1
3A,1310873,1.777644,t004_0_1
4A,1163407,1.777644,t004_0_1
5A,972328,1.777644,t004_0_1
6A,838561,1.777644,t004_0_1
7A,652959,1.777644,t004_0_1
8A,556977,1.777644,t004_0_1
9A,993440,1.777644,t004_0_1
10A,943942,1.777644,t004_0_1
11A,856813,1.777644,t004_0_1
12A,902891,1.777644,t004_0_1
13A,985681,1.777644,t004_0_1
14A,1034914,1.777644,t004_0_1
15A,987873,1.777644,t004_0_1
16A,772126,1.777644,t004_0_1
17A,780426,1.777644,t004_0_1
18A,576999,1.777644,t004_0_1
19A,718216,1.777644,t004_0_1
20A,260985,1.777644,t004_0_1
1A,1099912,2.370192,t005_0_1
2A,1318670,2.370192,t005_0_1
3A,1295396,2.370192,t005_0_1
4A,1101231,2.370192,t005_0_1
5A,979206,2.370192,t005_0_1
