ROI ID,Total Intensity,Time,Frame Id
1A,1438710,0,t001_0_1
2A,962580,0,t001_0_1
3A,1688663,0,t001_0_1
4A,2974989,0,t001_0_1
5A,3131450,0,t001_0_1
6A,2451233,0,t001_0_1
7A,2218978,0,t001_0_1
8A,2214220,0,t001_0_1
9A,2116649,0,t001_0_1
10A,2171314,0,t001_0_1
11A,2263087,0,t001_0_1
12A,2043803,0,t001_0_1
13A,1855719,0,t001_0_1
14A,1554295,0,t001_0_1
15A,1253248,0,t001_0_1
16A,794305,0,t001_0_1
17A,857674,0,t001_0_1
18A,830100,0,t001_0_1
19A,684570,0,t001_0_1
20A,264919,0,t001_0_1
1A,1453942,0.659448,t002_0_1
2A,771558,0.659448,t002_0_1
3A,1761713,0.659448,t002_0_1
4A,2943373,0.659448,t002_0_1
5A,3090112,0.659448,t002_0_1
6A,2430485,0.659448,t002_0_1
7A,2203427,0.659448,t002_0_1
8A,2222315,0.659448,t002_0_1
9A,2113959,0.659448,t002_0_1
10A,2148481,0.659448,t002_0_1
11A,2248965,0.659448,t002_0_1
12A,2042874,0.659448,t002_0_1
13A,1858729,0.659448,t002_0_1
14A,1535448,0.659448,t002_0_1
15A,1239188,0.659448,t002_0_1
16A,809580,0.659448,t002_0_1
17A,854559,0.659448,t002_0_1
18A,817889,0.659448,t002_0_1
19A,685541,0.659448,t002_0_1
20A,264372,0.659448,t002_0_1
1A,1478162,1.318896,t003_0_1
2A,710028,1.318896,t003_0_1
3A,1805142,1.318896,t003_0_1
4A,2944373,1.318896,t003_0_1
5A,3092126,1.318896,t003_0_1
6A,2414894,1.318896,t003_0_1
7A,2216946,1.318896,t003_0_1
8A,2223109,1.318896,t003_0_1
9A,2114756,1.318896,t003_0_1
10A,2155407,1.318896,t003_0_1
11A,2243187,1.318896,t003_0_1
12A,2042068,1.318896,t003_0_1
13A,1871148,1.318896,t003_0_1
14A,1546519,1.318896,t003_0_1
15A,1218674,1.318896,t003_0_1
16A,819258,1.318896,t003_0_1
17A,848106,1.318896,t003_0_1
18A,817213,1.318896,t003_0_1
19A,687145,1.318896,t003_0_1
20A,264111,1.318896,t003_0_1
1A,1460329,1.978344,t004_0_1
2A,680777,1.978344,t004_0_1
3A,1801876,1.978344,t004_0_1
4A,2946079,1.978344,t004_0_1
5A,3099005,1.978344,t004_0_1
6A,2412355,1.978344,t004_0_1
7A,2209174,1.978344,t004_0_1
8A,2220485,1.978344,t004_0_1
9A,2112654,1.978344,t004_0_1
10A,2149855,1.978344,t004_0_1
11A,2236244,1.978344,t004_0_1
12A,2037138,1.978344,t004_0_1
13A,1862537,1.978344,t004_0_1
14A,1532168,1.978344,t004_0_1
15A,1207584,1.978344,t004_0_1
16A,825410,1.978344,t004_0_1
17A,857627,1.978344,t004_0_1
18A,815443,1.978344,t004_0_1
19A,689578,1.978344,t004_0_1
20A,264608,1.978344,t004_0_1
1A,1457693,2.637792,t005_0_1
2A,676791,2.637792,t005_0_1
3A,1809985,2.637792,t005_0_1
4A,2948123,2.637792,t005_0_1
5A,3093712,2.637792,t005_0_1
6A,2430173,2.637792,t005_0_1
7A,2213062,2.637792,t005_0_1
8A,2228112,2.637792,t005_0_1
9A,2120447,2.637792,t005_0_1
10A,2133358,2.637792,t005_0_1
11A,2241510,2.637792,t005_0_1
12A,2025139,2.637792,t005_0_1
13A,1830450,2.637792,t005_0_1
14A,1530489,2.637792,t005_0_1
15A,1178016,2.637792,t005_0_1
16A,843606,2.637792,t005_0_1
17A,859607,2.637792,t005_0_1
18A,820031,2.637792,t005_0_1
19A,692456,2.637792,t005_0_1
20A,264282,2.637792,t005_0_1
1A,1447997,3.29724,t006_0_1
2A,692871,3.29724,t006_0_1
3A,1801669,3.29724,t006_0_1
4A,2983186,3.29724,t006_0_1
5A,3109210,3.29724,t006_0_1
6A,2418560,3.29724,t006_0_1
7A,2212712,3.29724,t006_0_1
8A,2206349,3.29724,t006_0_1
9A,2110977,3.29724,t006_0_1
10A,2133229,3.29724,t006_0_1
11A,2234331,3.29724,t006_0_1
12A,2004784,3.29724,t006_0_1
13A,1826615,3.29724,t006_0_1
14A,1521777,3.29724,t006_0_1
15A,1174513,3.29724,t006_0_1
16A,850725,3.29724,t006_0_1
17A,853501,3.29724,t006_0_1
18A,801710,3.29724,t006_0_1
19A,692607,3.29724,t006_0_1
